fromNode	toNode	weight	direction	fromAltName	toAltName
C10orf10	PNRC1	0.0263172124994434	undirected	C10orf10	PNRC1
ELN	HEYL	0.0205960976968167	undirected	ELN	HEYL
ELN	CYBRD1	0.0264472108930709	undirected	ELN	CYBRD1
ELN	ECHDC2	0.0251496164555218	undirected	ELN	ECHDC2
ELN	CISD1	0.0218149041400196	undirected	ELN	CISD1
ELN	CALCOCO1	0.0239299142892893	undirected	ELN	CALCOCO1
ELN	PSMD14	0.030633191533458	undirected	ELN	PSMD14
ELN	TOM1L2	0.0207968178530108	undirected	ELN	TOM1L2
ELN	OSTC	0.0213164216090212	undirected	ELN	OSTC
ELN	FAM49B	0.0330512891599969	undirected	ELN	FAM49B
ELN	PPIL1	0.0316506698003432	undirected	ELN	PPIL1
ELN	TARS	0.0233745787022026	undirected	ELN	TARS
ELN	NLN	0.025279628609922	undirected	ELN	NLN
ELN	GTF3C6	0.0250506490499251	undirected	ELN	GTF3C6
ELN	POGZ	0.0249837887882804	undirected	ELN	POGZ
ELN	SSR1	0.0317223946970163	undirected	ELN	SSR1
ELN	ACTR3	0.0260605409299489	undirected	ELN	ACTR3
PEBP4	LGI3	0.0207424008657148	undirected	PEBP4	LGI3
PEBP4	SUSD2	0.0211244466383195	undirected	PEBP4	SUSD2
PEBP4	PMM1	0.0295697065154325	undirected	PEBP4	PMM1
PEBP4	CYBRD1	0.0240342607301098	undirected	PEBP4	CYBRD1
PEBP4	SELENBP1	0.0204529782908143	undirected	PEBP4	SELENBP1
PEBP4	ACSF2	0.0210440760155199	undirected	PEBP4	ACSF2
PEBP4	PSMD14	0.0202533802659725	undirected	PEBP4	PSMD14
PEBP4	FOLR1	0.0220723750355105	undirected	PEBP4	FOLR1
PEBP4	HSP90B1	0.0206033077207618	undirected	PEBP4	HSP90B1
PEBP4	ACTR3	0.0219319013074646	undirected	PEBP4	ACTR3
LINC00969	ECHDC2	0.0211667797679078	undirected	LINC00969	ECHDC2
LINC00969	SDHAP2///SDHAP1///LOC220729	0.0239036839720205	undirected	LINC00969	SDHAP2///SDHAP1///LOC220729
LINC00969	SDHAP3///SDHAP2///SDHAP1///SDHA	0.0371626014974783	undirected	LINC00969	SDHAP3///SDHAP2///SDHAP1///SDHA
LINC00969	FAM49B	0.0211611985956008	undirected	LINC00969	FAM49B
LINC00969	PPIL1	0.0205190343440556	undirected	LINC00969	PPIL1
HSD17B6	PLA2G1B	0.0351655495408853	undirected	HSD17B6	PLA2G1B
HSD17B6	LGI3	0.03094490838209	undirected	HSD17B6	LGI3
HSD17B6	CACNA2D2	0.0283330855882485	undirected	HSD17B6	CACNA2D2
HSD17B6	SUSD2	0.0421340865991367	undirected	HSD17B6	SUSD2
HSD17B6	CYBRD1	0.0346658310909306	undirected	HSD17B6	CYBRD1
HSD17B6	AK1	0.0275465066396359	undirected	HSD17B6	AK1
HSD17B6	SELENBP1	0.0440655022497031	undirected	HSD17B6	SELENBP1
HSD17B6	ECHDC2	0.0220564730456474	undirected	HSD17B6	ECHDC2
HSD17B6	ACSF2	0.0248460734324367	undirected	HSD17B6	ACSF2
HSD17B6	CTSF	0.0203097819195217	undirected	HSD17B6	CTSF
HSD17B6	CALCOCO1	0.0205728727299647	undirected	HSD17B6	CALCOCO1
HSD17B6	PSMD14	0.0317314020915535	undirected	HSD17B6	PSMD14
HSD17B6	CAT	0.0314627138636465	undirected	HSD17B6	CAT
HSD17B6	FOLR1	0.0472085101105684	undirected	HSD17B6	FOLR1
HSD17B6	HSP90B1	0.0227290668790901	undirected	HSD17B6	HSP90B1
HSD17B6	FAM49B	0.0218829843617007	undirected	HSD17B6	FAM49B
HSD17B6	GTF3C6	0.0286244202575675	undirected	HSD17B6	GTF3C6
HSD17B6	SSR1	0.0251428298089354	undirected	HSD17B6	SSR1
HSD17B6	PSMD1	0.0263324396642423	undirected	HSD17B6	PSMD1
PLA2G1B	LGI3	0.0356591016771877	undirected	PLA2G1B	LGI3
PLA2G1B	CACNA2D2	0.0333387068354502	undirected	PLA2G1B	CACNA2D2
