fromNode	toNode	weight	direction	fromAltName	toAltName
TNFRSF12A	TRIM23	0.0250379569645659	undirected	TNFRSF12A	TRIM23
TNFRSF12A	MAPKAPK2	0.0385145775472965	undirected	TNFRSF12A	MAPKAPK2
TNFRSF12A	SEPSECS	0.0292175290063236	undirected	TNFRSF12A	SEPSECS
TNFRSF12A	ZNF292	0.0239253783208025	undirected	TNFRSF12A	ZNF292
TNFRSF12A	ERMARD	0.0207908289733448	undirected	TNFRSF12A	ERMARD
TNFRSF12A	ZNF280D	0.0314092940896635	undirected	TNFRSF12A	ZNF280D
TNFRSF12A	SNAPC3	0.0204210478880561	undirected	TNFRSF12A	SNAPC3
TNFRSF12A	C2CD5	0.050040179368667	undirected	TNFRSF12A	C2CD5
TNFRSF12A	SACM1L	0.0210808487014791	undirected	TNFRSF12A	SACM1L
TNFRSF12A	ZNF518A	0.0213499691604323	undirected	TNFRSF12A	ZNF518A
TNFRSF12A	STAT3	0.0230042632230384	undirected	TNFRSF12A	STAT3
TNFRSF12A	SH2B3	0.021989945711588	undirected	TNFRSF12A	SH2B3
TNFRSF12A	BIVM-ERCC5///ERCC5	0.0212979677946793	undirected	TNFRSF12A	BIVM-ERCC5///ERCC5
TNFRSF12A	AKAP10	0.0207982844462874	undirected	TNFRSF12A	AKAP10
IL4R	LYPLAL1	0.0239095733066609	undirected	IL4R	LYPLAL1
IL4R	TBC1D19	0.0246769371279894	undirected	IL4R	TBC1D19
IL4R	TNFRSF1A	0.0221728154825103	undirected	IL4R	TNFRSF1A
IL4R	FURIN	0.0207192025027043	undirected	IL4R	FURIN
IL4R	MAPKAPK2	0.0287505730380503	undirected	IL4R	MAPKAPK2
IL4R	RELA	0.0235750873478217	undirected	IL4R	RELA
IL4R	ANKRD26	0.0223141872218063	undirected	IL4R	ANKRD26
IL4R	COG6	0.0205922489547592	undirected	IL4R	COG6
IL4R	TTC8	0.0243885884500756	undirected	IL4R	TTC8
IL4R	CDC42EP4	0.0254862851690554	undirected	IL4R	CDC42EP4
IL4R	ZNF292	0.0252531449852955	undirected	IL4R	ZNF292
IL4R	ZNF280D	0.0334164804808299	undirected	IL4R	ZNF280D
IL4R	C2CD5	0.0204604718479084	undirected	IL4R	C2CD5
IL4R	ZNF518A	0.0251635877483273	undirected	IL4R	ZNF518A
IL4R	STAT3	0.0276545244720899	undirected	IL4R	STAT3
TAS2R14	TAS2R20	0.105886311206694	undirected	TAS2R14	TAS2R20
TAS2R14	TAS2R31	0.0864184291450966	undirected	TAS2R14	TAS2R31
TAS2R14	LYPLAL1	0.0304395745568134	undirected	TAS2R14	LYPLAL1
TAS2R14	TAS2R13	0.0966670880210439	undirected	TAS2R14	TAS2R13
TAS2R14	TAS2R50	0.0930920422728334	undirected	TAS2R14	TAS2R50
TAS2R14	TRIM23	0.0365871930341734	undirected	TAS2R14	TRIM23
TAS2R14	TAS2R19	0.0965211400592509	undirected	TAS2R14	TAS2R19
TAS2R14	TAS2R46	0.0815646857805578	undirected	TAS2R14	TAS2R46
TAS2R14	ZNF594	0.0205313529701521	undirected	TAS2R14	ZNF594
TAS2R14	FPGT-TNNI3K///FPGT	0.0208635374522031	undirected	TAS2R14	FPGT-TNNI3K///FPGT
TAS2R14	TBC1D19	0.0221841495693235	undirected	TAS2R14	TBC1D19
TAS2R14	ZNF780B	0.0342742881301809	undirected	TAS2R14	ZNF780B
TAS2R14	CBR4	0.0215784332208313	undirected	TAS2R14	CBR4
TAS2R14	ZNF780A	0.020313587628024	undirected	TAS2R14	ZNF780A
TAS2R14	CEP44	0.02672806648412	undirected	TAS2R14	CEP44
TAS2R14	FURIN	0.0293414148818007	undirected	TAS2R14	FURIN
