fromNode	toNode	weight	direction	fromAltName	toAltName
ADGRE5	CEP290	0.0230827597523631	undirected	ADGRE5	CEP290
ADGRE5	COPS2	0.0200107989557274	undirected	ADGRE5	COPS2
ADGRE5	NDUFA5	0.0278742413727947	undirected	ADGRE5	NDUFA5
ADGRE5	ACTR6	0.0209676614045408	undirected	ADGRE5	ACTR6
LOC100287934///LOC100287497	CEP290	0.0298288292593279	undirected	LOC100287934///LOC100287497	CEP290
LOC100287934///LOC100287497	TMEM267	0.0247267371453511	undirected	LOC100287934///LOC100287497	TMEM267
LOC100287934///LOC100287497	MYSM1	0.0274325450270745	undirected	LOC100287934///LOC100287497	MYSM1
LOC100287934///LOC100287497	TMEM168	0.0252583941280929	undirected	LOC100287934///LOC100287497	TMEM168
LOC100287934///LOC100287497	DCUN1D1	0.0236910728221493	undirected	LOC100287934///LOC100287497	DCUN1D1
LOC100287934///LOC100287497	ATAD1	0.0271000047711391	undirected	LOC100287934///LOC100287497	ATAD1
LOC100287934///LOC100287497	NDUFA5	0.0235637188419545	undirected	LOC100287934///LOC100287497	NDUFA5
LOC100287934///LOC100287497	CUL5	0.0304533997144737	undirected	LOC100287934///LOC100287497	CUL5
LOC100287934///LOC100287497	ACTR6	0.020415679437975	undirected	LOC100287934///LOC100287497	ACTR6
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2	CUL5	0.0228651877994358	undirected	GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2	CUL5
DPH6	ZNF326	0.0260492209414439	undirected	DPH6	ZNF326
DPH6	NUBPL	0.0201173250494238	undirected	DPH6	NUBPL
DPH6	CEP290	0.0326033417571884	undirected	DPH6	CEP290
DPH6	CSNK1G3	0.0214535456113594	undirected	DPH6	CSNK1G3
DPH6	ZDHHC17	0.0209311060959114	undirected	DPH6	ZDHHC17
DPH6	MYSM1	0.0294488913666952	undirected	DPH6	MYSM1
DPH6	LIN7C	0.0204711806862772	undirected	DPH6	LIN7C
DPH6	TMEM168	0.0220355097520686	undirected	DPH6	TMEM168
DPH6	DCUN1D1	0.0228146717926223	undirected	DPH6	DCUN1D1
DPH6	ATAD1	0.0233183148033942	undirected	DPH6	ATAD1
DPH6	NDUFA5	0.024729644319682	undirected	DPH6	NDUFA5
DPH6	STAG1	0.0210806501269056	undirected	DPH6	STAG1
DPH6	CUL5	0.0261933460273565	undirected	DPH6	CUL5
DPH6	ACTR6	0.0227804310557017	undirected	DPH6	ACTR6
APOOL	ACTR6	0.0208862129166115	undirected	APOOL	ACTR6
MYEF2	ZNF326	0.0260590192107949	undirected	MYEF2	ZNF326
MYEF2	CEP290	0.0354813580175664	undirected	MYEF2	CEP290
MYEF2	MYSM1	0.022008270889388	undirected	MYEF2	MYSM1
MYEF2	LIN7C	0.0208508567986539	undirected	MYEF2	LIN7C
MYEF2	DCUN1D1	0.0210791539353849	undirected	MYEF2	DCUN1D1
MYEF2	ATAD1	0.0227470670054577	undirected	MYEF2	ATAD1
MYEF2	NDUFA5	0.0212928516994825	undirected	MYEF2	NDUFA5
MYEF2	CUL5	0.026003671209245	undirected	MYEF2	CUL5
MYEF2	ACTR6	0.0202344113178917	undirected	MYEF2	ACTR6
KIAA1586	CEP290	0.0331568891144806	undirected	KIAA1586	CEP290
KIAA1586	COPS2	0.02259556762476	undirected	KIAA1586	COPS2
KIAA1586	CSNK1G3	0.0226907763421971	undirected	KIAA1586	CSNK1G3
KIAA1586	MYSM1	0.0264661135578821	undirected	KIAA1586	MYSM1
KIAA1586	LIN7C	0.0233957088869543	undirected	KIAA1586	LIN7C
KIAA1586	EMC2	0.0286238872394367	undirected	KIAA1586	EMC2
KIAA1586	DCUN1D1	0.0249650535044661	undirected	KIAA1586	DCUN1D1
KIAA1586	ATAD1	0.0226496489687596	undirected	KIAA1586	ATAD1
KIAA1586	NDUFA5	0.0204129352835689	undirected	KIAA1586	NDUFA5
KIAA1586	CUL5	0.0294847883302912	undirected	KIAA1586	CUL5
KIAA1586	ACTR6	0.0293353735151487	undirected	KIAA1586	ACTR6
LRP1	LGALS3BP	0.0385107105239195	undirected	LRP1	LGALS3BP
LRP1	PYGB	0.0286033780002204	undirected	LRP1	PYGB
LRP1	ANXA6	0.0251157106391677	undirected	LRP1	ANXA6
LRP1	ESYT1	0.0365980842978758	undirected	LRP1	ESYT1
LRP1	ARHGAP1	0.0393721495789877	undirected	LRP1	ARHGAP1
LRP1	ZYX	0.0285248408840177	undirected	LRP1	ZYX
LRP1	POLR2A	0.0295172736663274	undirected	LRP1	POLR2A
LRP1	PLXNB2	0.0425056215965673	undirected	LRP1	PLXNB2
LRP1	RSL24D1	0.0262604836189364	undirected	LRP1	RSL24D1
LRP1	UPF1	0.0268806642053746	undirected	LRP1	UPF1
LRP1	ANAPC10	0.0257837328964847	undirected	LRP1	ANAPC10
LRP1	LYRM5	0.0201144720613494	undirected	LRP1	LYRM5
LRP1	POC1B	0.0247921507336024	undirected	LRP1	POC1B
LRP1	NOTCH2	0.0363638014464316	undirected	LRP1	NOTCH2
LRP1	ESCO1	0.0206264234594283	undirected	LRP1	ESCO1
LRP1	ZNF644	0.0274615157334376	undirected	LRP1	ZNF644
LRP1	LASP1	0.0289736207696735	undirected	LRP1	LASP1
LRP1	CHD4	0.0201525742605939	undirected	LRP1	CHD4
LRP1	NDUFA5	0.0235965714106748	undirected	LRP1	NDUFA5
LRP1	FAM204A	0.0203524868868599	undirected	LRP1	FAM204A
LRP1	TNXB///ATF6B	0.0258543198247782	undirected	LRP1	TNXB///ATF6B
LRP1	THAP12	0.0277191764617923	undirected	LRP1	THAP12
LRP1	DAG1	0.0229500679983255	undirected	LRP1	DAG1
LRP1	CYB5R3	0.0318171162151902	undirected	LRP1	CYB5R3
LRP1	RAB11B	0.0270062262835379	undirected	LRP1	RAB11B
LRP1	SCOC	0.0223087090873922	undirected	LRP1	SCOC
LRP1	FAM234A	0.0289623871023121	undirected	LRP1	FAM234A
LRP1	ACTR6	0.0213220828807434	undirected	LRP1	ACTR6
ZNF625-ZNF20	RCN2	0.0239257446574098	undirected	ZNF625-ZNF20	RCN2
ZNF625-ZNF20	CEP290	0.0209557951755193	undirected	ZNF625-ZNF20	CEP290
ZNF625-ZNF20	DCUN1D1	0.0243252392818521	undirected	ZNF625-ZNF20	DCUN1D1
ZNF625-ZNF20	ACTR6	0.0215739209643132	undirected	ZNF625-ZNF20	ACTR6
LGALS3BP	THAP12	0.021884848362761	undirected	LGALS3BP	THAP12
MOCS2	RCN2	0.0279577919643653	undirected	MOCS2	RCN2
MOCS2	CEP290	0.0213607977609693	undirected	MOCS2	CEP290
MOCS2	COPS2	0.0210090149348541	undirected	MOCS2	COPS2
MOCS2	CSNK1G3	0.02700930186515	undirected	MOCS2	CSNK1G3
MOCS2	CCDC126	0.0363517359248625	undirected	MOCS2	CCDC126
MOCS2	RAP1A	0.0266417639217183	undirected	MOCS2	RAP1A
MOCS2	LIN7C	0.022830871698169	undirected	MOCS2	LIN7C
MOCS2	DCUN1D1	0.0301638522183203	undirected	MOCS2	DCUN1D1
MOCS2	ATAD1	0.0213735332835072	undirected	MOCS2	ATAD1
MOCS2	SUGT1	0.0206172921908433	undirected	MOCS2	SUGT1
MOCS2	NDUFA5	0.0216853145256181	undirected	MOCS2	NDUFA5
MOCS2	SREK1IP1	0.0240867366201982	undirected	MOCS2	SREK1IP1
MOCS2	CUL5	0.0210507582213782	undirected	MOCS2	CUL5
MOCS2	ACTR6	0.0302582530896015	undirected	MOCS2	ACTR6
TMEM65	CEP290	0.0209210717743152	undirected	TMEM65	CEP290
TMEM65	CSNK1G3	0.0207096189762936	undirected	TMEM65	CSNK1G3
TMEM65	ZDHHC17	0.0310293831940161	undirected	TMEM65	ZDHHC17
TMEM65	STAG1	0.0208165829943019	undirected	TMEM65	STAG1
PYGB	CSNK1G3	0.0216621800763517	undirected	PYGB	CSNK1G3
PYGB	PLXNB2	0.0246625213910739	undirected	PYGB	PLXNB2
PYGB	EMC2	0.0205666087849615	undirected	PYGB	EMC2
PYGB	CYB5R3	0.0219354312025971	undirected	PYGB	CYB5R3
ZNF721	CCDC91	0.027099368281765	undirected	ZNF721	CCDC91
ZNF721	CEP290	0.0385341769521244	undirected	ZNF721	CEP290
ZNF721	COPS2	0.0229010216414697	undirected	ZNF721	COPS2
ZNF721	ABCA11P	0.0219261917814187	undirected	ZNF721	ABCA11P
ZNF721	CSNK1G3	0.021405412789356	undirected	ZNF721	CSNK1G3
ZNF721	POLR2A	0.0209897927473697	undirected	ZNF721	POLR2A
ZNF721	MYSM1	0.0305739906389157	undirected	ZNF721	MYSM1
ZNF721	ESCO1	0.0282096777264788	undirected	ZNF721	ESCO1
ZNF721	LIN7C	0.0211036693706251	undirected	ZNF721	LIN7C
ZNF721	EMC2	0.0253088640617277	undirected	ZNF721	EMC2
ZNF721	TMEM168	0.0213368266333897	undirected	ZNF721	TMEM168
ZNF721	DCUN1D1	0.0306966230986362	undirected	ZNF721	DCUN1D1
ZNF721	ATAD1	0.0265282203302696	undirected	ZNF721	ATAD1
ZNF721	NDUFA5	0.0309801377974838	undirected	ZNF721	NDUFA5
ZNF721	PIBF1	0.028057876853061	undirected	ZNF721	PIBF1
ZNF721	CUL5	0.0312952954493146	undirected	ZNF721	CUL5
ZNF721	ACTR6	0.0276888616627842	undirected	ZNF721	ACTR6
SLC35B3	CEP290	0.0403096334821656	undirected	SLC35B3	CEP290
SLC35B3	LIN7C	0.0225483296380569	undirected	SLC35B3	LIN7C
SLC35B3	TMEM168	0.0214171858624692	undirected	SLC35B3	TMEM168
SLC35B3	ATAD1	0.02041100812885	undirected	SLC35B3	ATAD1
SLC35B3	FAR1	0.027822321164169	undirected	SLC35B3	FAR1
SLC35B3	CUL5	0.0324669822181134	undirected	SLC35B3	CUL5
SLC35B3	ACTR6	0.0215323140301409	undirected	SLC35B3	ACTR6
THUMPD2	ZNF326	0.0243934670142921	undirected	THUMPD2	ZNF326
THUMPD2	CEP290	0.0329516670356579	undirected	THUMPD2	CEP290
