fromNode	toNode	weight	direction	fromAltName	toAltName
THY1	TM4SF18	0.0204601870471648	undirected	THY1	TM4SF18
THY1	COL6A6	0.0231719506303121	undirected	THY1	COL6A6
THY1	CCDC80	0.0539957327620934	undirected	THY1	CCDC80
THY1	SFRP4	0.0330111147826405	undirected	THY1	SFRP4
THY1	NREP	0.0314403732635249	undirected	THY1	NREP
THY1	FRAS1	0.028054672064513	undirected	THY1	FRAS1
THY1	LTBP2	0.0266180829549756	undirected	THY1	LTBP2
THY1	MXRA5	0.0509093821318903	undirected	THY1	MXRA5
THY1	CXCL12	0.0413079095415715	undirected	THY1	CXCL12
THY1	PIEZO2	0.0425589282481791	undirected	THY1	PIEZO2
THY1	CCL21	0.0430176656600108	undirected	THY1	CCL21
THY1	HMCN1	0.0235173956198794	undirected	THY1	HMCN1
THY1	H19///RPS12	0.0201025633487518	undirected	THY1	H19///RPS12
THY1	TSHZ2	0.0326012683517221	undirected	THY1	TSHZ2
THY1	COL14A1	0.0288689871559383	undirected	THY1	COL14A1
THY1	PDE7B	0.0271473941611568	undirected	THY1	PDE7B
THY1	GLT8D2	0.0268011892377924	undirected	THY1	GLT8D2
THY1	COL15A1	0.0247876353428952	undirected	THY1	COL15A1
THY1	PLPPR4	0.0345889398900777	undirected	THY1	PLPPR4
THY1	PAMR1	0.0232133792104983	undirected	THY1	PAMR1
THY1	ANGPTL2	0.0272440603807529	undirected	THY1	ANGPTL2
THY1	CFH	0.0245245512212084	undirected	THY1	CFH
THY1	ANTXR1	0.039595700968977	undirected	THY1	ANTXR1
THY1	MFAP2	0.0328225424780988	undirected	THY1	MFAP2
THY1	FRMD6	0.0324042754738383	undirected	THY1	FRMD6
THY1	SULF1	0.0276134905944844	undirected	THY1	SULF1
THY1	GXYLT2	0.0222855349817237	undirected	THY1	GXYLT2
THY1	ENAH	0.0297510774827765	undirected	THY1	ENAH
THY1	BICC1	0.0318113446483543	undirected	THY1	BICC1
THY1	FLRT2	0.0218883562543244	undirected	THY1	FLRT2
THY1	LUM	0.0302109038145535	undirected	THY1	LUM
THY1	CACNA1C	0.0202501434929126	undirected	THY1	CACNA1C
THY1	ROBO1	0.0266120025794253	undirected	THY1	ROBO1
THY1	ANK2	0.0260267037444016	undirected	THY1	ANK2
THY1	IGFBP7	0.0345443590287882	undirected	THY1	IGFBP7
THY1	LAMP5	0.0202599089565463	undirected	THY1	LAMP5
THY1	CPXM2	0.0200459932894766	undirected	THY1	CPXM2
THY1	PDGFRL	0.0214601428400376	undirected	THY1	PDGFRL
THY1	BNC2	0.0272009897635296	undirected	THY1	BNC2
THY1	FBLN2	0.0310240720335098	undirected	THY1	FBLN2
THY1	ADGRA2	0.0267819314844681	undirected	THY1	ADGRA2
THY1	SEPT8	0.0246542280570731	undirected	THY1	SEPT8
THY1	MGC24103	0.0241713203010717	undirected	THY1	MGC24103
THY1	RBFOX2	0.0208472313682555	undirected	THY1	RBFOX2
THY1	KCNE4	0.0348036958430238	undirected	THY1	KCNE4
THY1	FNDC1	0.0229100344642107	undirected	THY1	FNDC1
THY1	BOC	0.0229912102126063	undirected	THY1	BOC
