fromNode	toNode	weight	direction	fromAltName	toAltName
IL1R2	CD163	0.0439020889597062	undirected	IL1R2	CD163
IL1R2	SERPINA3	0.0254395247144962	undirected	IL1R2	SERPINA3
IL1R2	GLDN	0.0216666234718312	undirected	IL1R2	GLDN
IL1R2	IL18RAP	0.0663795493905277	undirected	IL1R2	IL18RAP
IL1R2	FAM65B	0.0416487351054728	undirected	IL1R2	FAM65B
IL1R2	SULT1B1	0.0480733852385673	undirected	IL1R2	SULT1B1
IL1R2	CTNNAL1	0.0201763907837152	undirected	IL1R2	CTNNAL1
IL1R2	FMN1	0.0253300802748859	undirected	IL1R2	FMN1
IL1R2	MERTK	0.0271942758729221	undirected	IL1R2	MERTK
IL1R2	VNN1	0.0429193910186684	undirected	IL1R2	VNN1
IL1R2	BCAT1	0.028513820106917	undirected	IL1R2	BCAT1
IL1R2	SMAP2	0.0292924313991438	undirected	IL1R2	SMAP2
IL1R2	TCN2	0.0219166161878861	undirected	IL1R2	TCN2
IL1R2	HCLS1	0.0335097148498836	undirected	IL1R2	HCLS1
IL1R2	FGR	0.0434420647836008	undirected	IL1R2	FGR
IL1R2	TMIGD3///ADORA3///TMIGD3///ADORA3	0.0263910558822421	undirected	IL1R2	TMIGD3///ADORA3///TMIGD3///ADORA3
IL1R2	PREX1	0.0329923039170789	undirected	IL1R2	PREX1
IL1R2	C3AR1	0.0242431703141708	undirected	IL1R2	C3AR1
IL1R2	PMEPA1	0.0230124455639075	undirected	IL1R2	PMEPA1
IL1R2	PRR5L	0.0255225680018472	undirected	IL1R2	PRR5L
IL1R2	TLR4	0.058981863786535	undirected	IL1R2	TLR4
IL1R2	ADAMTS2	0.0242397089481176	undirected	IL1R2	ADAMTS2
IL1R2	ARHGAP20	0.024521392798458	undirected	IL1R2	ARHGAP20
IL1R2	MAFB	0.0200880639075216	undirected	IL1R2	MAFB
IL1R2	C1orf54	0.0322930304280066	undirected	IL1R2	C1orf54
IL1R2	DLC1	0.0245053326315616	undirected	IL1R2	DLC1
IL1R2	TBXAS1	0.0456415704019284	undirected	IL1R2	TBXAS1
IL1R2	DSE	0.0281420446745318	undirected	IL1R2	DSE
IL1R2	MEF2C	0.0201523090738484	undirected	IL1R2	MEF2C
IL1R2	GLUL	0.0368414794469981	undirected	IL1R2	GLUL
IL1R2	SAMHD1	0.0241774797712007	undirected	IL1R2	SAMHD1
IL1R2	EIF2B2	0.0267836805576034	undirected	IL1R2	EIF2B2
IL1R2	ST8SIA1	0.0393926322127785	undirected	IL1R2	ST8SIA1
IL1R2	ARG1	0.0777280852893118	undirected	IL1R2	ARG1
IL1R2	DCBLD1	0.0202686771035763	undirected	IL1R2	DCBLD1
IL1R2	TMEM255A	0.0219652981439278	undirected	IL1R2	TMEM255A
IL1R2	FLT3	0.034419065129675	undirected	IL1R2	FLT3
IL1R2	DNM2	0.0229619007622761	undirected	IL1R2	DNM2
IL1R2	TSPAN14	0.0244005699061985	undirected	IL1R2	TSPAN14
IL1R2	DTNB	0.0406094396684316	undirected	IL1R2	DTNB
IL1R2	OSBPL10	0.0368738433620249	undirected	IL1R2	OSBPL10
IL1R2	NR3C1	0.0285089494054479	undirected	IL1R2	NR3C1
IL1R2	C2CD2	0.0272706357627086	undirected	IL1R2	C2CD2
IL1R2	ZCCHC6	0.0248289458701896	undirected	IL1R2	ZCCHC6
IL1R2	RILPL2	0.0303400614759419	undirected	IL1R2	RILPL2
IL1R2	FAM214B	0.0336819554181271	undirected	IL1R2	FAM214B
IL1R2	TBC1D16	0.021223913528634	undirected	IL1R2	TBC1D16
IL1R2	CEACAM4	0.0606984313023251	undirected	IL1R2	CEACAM4
IL1R2	ARMCX3	0.0205814374732795	undirected	IL1R2	ARMCX3
CD163	SERPINA3	0.0357089452204223	undirected	CD163	SERPINA3
CD163	SLC1A3	0.0684243056506591	undirected	CD163	SLC1A3
CD163	GLDN	0.04786774008927	undirected	CD163	GLDN
CD163	IL18RAP	0.0210923414139576	undirected	CD163	IL18RAP
CD163	SH3PXD2B	0.0543113510832534	undirected	CD163	SH3PXD2B
CD163	FAM65B	0.0275721856044156	undirected	CD163	FAM65B
CD163	SULT1B1	0.0322320525695696	undirected	CD163	SULT1B1
CD163	CTNNAL1	0.0585741300108237	undirected	CD163	CTNNAL1
CD163	FMN1	0.0740483676683611	undirected	CD163	FMN1
CD163	SLC11A1	0.0382850698277435	undirected	CD163	SLC11A1
CD163	SLA	0.045456634283373	undirected	CD163	SLA
CD163	MERTK	0.0783998545219244	undirected	CD163	MERTK
CD163	VNN1	0.0316739637912463	undirected	CD163	VNN1
CD163	BCAT1	0.0526178705004223	undirected	CD163	BCAT1
CD163	SMAP2	0.0642575860691648	undirected	CD163	SMAP2
CD163	GGT5	0.0470747170379994	undirected	CD163	GGT5
CD163	SLAMF8	0.0307104268410178	undirected	CD163	SLAMF8
CD163	TCN2	0.047206125785604	undirected	CD163	TCN2
CD163	HCLS1	0.0683267731166028	undirected	CD163	HCLS1
CD163	PLIN2	0.0334892350803344	undirected	CD163	PLIN2
CD163	FGR	0.033911122887425	undirected	CD163	FGR
CD163	TMIGD3///ADORA3///TMIGD3///ADORA3	0.066945561475853	undirected	CD163	TMIGD3///ADORA3///TMIGD3///ADORA3
CD163	PREX1	0.0293585930553921	undirected	CD163	PREX1
CD163	C3AR1	0.0498675363047096	undirected	CD163	C3AR1
CD163	CD84	0.0353015964177912	undirected	CD163	CD84
CD163	MS4A4A	0.0550726167706968	undirected	CD163	MS4A4A
CD163	CDON	0.0449296582890292	undirected	CD163	CDON
CD163	NRN1	0.0340842575208536	undirected	CD163	NRN1
CD163	GPR34	0.0458675322654066	undirected	CD163	GPR34
CD163	BCL6B	0.0331246136095714	undirected	CD163	BCL6B
CD163	RNASE6	0.0739315469082605	undirected	CD163	RNASE6
CD163	CCND1	0.0384821492460186	undirected	CD163	CCND1
CD163	SLC7A8	0.0472734564694066	undirected	CD163	SLC7A8
CD163	PMEPA1	0.0463029388455297	undirected	CD163	PMEPA1
CD163	PRR5L	0.0470654522990237	undirected	CD163	PRR5L
CD163	MRC1	0.0341715314747115	undirected	CD163	MRC1
CD163	TLR4	0.044675375656597	undirected	CD163	TLR4
CD163	ADAMTS2	0.0385698233401519	undirected	CD163	ADAMTS2
CD163	VEGFA	0.0618674289976153	undirected	CD163	VEGFA
CD163	SLC31A2	0.0460718569984317	undirected	CD163	SLC31A2
CD163	ARHGAP20	0.0502046705094827	undirected	CD163	ARHGAP20
CD163	MAFB	0.0585958924787588	undirected	CD163	MAFB
CD163	MS4A6A	0.0354277630419924	undirected	CD163	MS4A6A
CD163	C1orf54	0.0465431021698492	undirected	CD163	C1orf54
CD163	MCU	0.0235588634455726	undirected	CD163	MCU
CD163	DLC1	0.0558776120068793	undirected	CD163	DLC1
CD163	SH2D4A	0.0408893757149637	undirected	CD163	SH2D4A
CD163	TBXAS1	0.0583634513383709	undirected	CD163	TBXAS1
CD163	CD82	0.0240760197732685	undirected	CD163	CD82
CD163	DSE	0.0354232709972295	undirected	CD163	DSE
CD163	C10orf11	0.0338697723036922	undirected	CD163	C10orf11
CD163	MEF2C	0.0356027501554861	undirected	CD163	MEF2C
CD163	SOAT1	0.0317452729669575	undirected	CD163	SOAT1
CD163	PIK3R5	0.0436815786944233	undirected	CD163	PIK3R5
CD163	GLS	0.0284697522737917	undirected	CD163	GLS
CD163	GLUL	0.0760074916300202	undirected	CD163	GLUL
CD163	SAMHD1	0.0586092784611045	undirected	CD163	SAMHD1
CD163	EIF2B2	0.0330613931699606	undirected	CD163	EIF2B2
CD163	ST8SIA1	0.0411853924281983	undirected	CD163	ST8SIA1
CD163	ARG1	0.0262376278780494	undirected	CD163	ARG1
CD163	KCNMA1	0.0333683959776969	undirected	CD163	KCNMA1
CD163	DCBLD1	0.0321569678383912	undirected	CD163	DCBLD1
CD163	ADGRA3	0.0330345561846852	undirected	CD163	ADGRA3
CD163	TMEM255A	0.0396131269732062	undirected	CD163	TMEM255A
CD163	FLT3	0.0500463881690912	undirected	CD163	FLT3
CD163	CHST11	0.0434868872961754	undirected	CD163	CHST11
CD163	EVI2A	0.0317856444969248	undirected	CD163	EVI2A
CD163	DNM2	0.0354426090989294	undirected	CD163	DNM2
CD163	TSPAN14	0.0398975045836893	undirected	CD163	TSPAN14
CD163	CMKLR1	0.0264717909145706	undirected	CD163	CMKLR1
CD163	DTNB	0.0208628653573653	undirected	CD163	DTNB
CD163	MDM2	0.0384137023244464	undirected	CD163	MDM2
CD163	MTMR9LP	0.0379074620799002	undirected	CD163	MTMR9LP
CD163	PKP4	0.0436801148259618	undirected	CD163	PKP4
CD163	OSBPL10	0.0455031964674455	undirected	CD163	OSBPL10
CD163	ACE	0.03721377344922	undirected	CD163	ACE
CD163	NR3C1	0.0521443630307498	undirected	CD163	NR3C1
CD163	C2CD2	0.0466380064242665	undirected	CD163	C2CD2
CD163	MAPK8	0.0295571455787606	undirected	CD163	MAPK8
CD163	TEX2	0.0263064769385716	undirected	CD163	TEX2
CD163	ZCCHC6	0.0323015986681642	undirected	CD163	ZCCHC6
CD163	HS3ST2	0.0323460459387241	undirected	CD163	HS3ST2
CD163	CCDC6	0.023306073784193	undirected	CD163	CCDC6
CD163	PREP	0.0387708337171203	undirected	CD163	PREP
CD163	MARCKSL1	0.0262719087702092	undirected	CD163	MARCKSL1
CD163	TBC1D16	0.0505780628957103	undirected	CD163	TBC1D16
CD163	SERTAD4	0.0438585879046352	undirected	CD163	SERTAD4
CD163	CEACAM4	0.0329794403965214	undirected	CD163	CEACAM4
CD163	ARMCX3	0.0305294818493487	undirected	CD163	ARMCX3
CD163	CTBS	0.0274355218670884	undirected	CD163	CTBS
SERPINA3	GLDN	0.0223316125019413	undirected	SERPINA3	GLDN
SERPINA3	SH3PXD2B	0.0276934368407586	undirected	SERPINA3	SH3PXD2B
SERPINA3	CTNNAL1	0.0229954054506504	undirected	SERPINA3	CTNNAL1
SERPINA3	BCAT1	0.0249492500184475	undirected	SERPINA3	BCAT1
SERPINA3	GGT5	0.0224093970332149	undirected	SERPINA3	GGT5
SERPINA3	HCLS1	0.0255019902480711	undirected	SERPINA3	HCLS1
SERPINA3	FGR	0.0246046167672586	undirected	SERPINA3	FGR
SERPINA3	C3AR1	0.0211082380201773	undirected	SERPINA3	C3AR1
SERPINA3	SLC7A8	0.0280696941619896	undirected	SERPINA3	SLC7A8
SERPINA3	C1orf54	0.0229502917621504	undirected	SERPINA3	C1orf54
SERPINA3	TBXAS1	0.032713057413189	undirected	SERPINA3	TBXAS1
SERPINA3	C10orf11	0.025058962007361	undirected	SERPINA3	C10orf11
SERPINA3	GLUL	0.0268776447950135	undirected	SERPINA3	GLUL
SERPINA3	SAMHD1	0.0226351230746906	undirected	SERPINA3	SAMHD1
SERPINA3	ST8SIA1	0.0239211291338598	undirected	SERPINA3	ST8SIA1
SERPINA3	DCBLD1	0.0263913773513387	undirected	SERPINA3	DCBLD1
SERPINA3	DNM2	0.0232247077424347	undirected	SERPINA3	DNM2
SERPINA3	DTNB	0.0212290620701458	undirected	SERPINA3	DTNB
SERPINA3	NR3C1	0.0340485321287359	undirected	SERPINA3	NR3C1
SLC1A3	GLDN	0.0211385498875901	undirected	SLC1A3	GLDN
SLC1A3	SH3PXD2B	0.0422392652284837	undirected	SLC1A3	SH3PXD2B
SLC1A3	CTNNAL1	0.0398858303947737	undirected	SLC1A3	CTNNAL1
SLC1A3	FMN1	0.047558207424912	undirected	SLC1A3	FMN1
SLC1A3	SLC11A1	0.0220242187809176	undirected	SLC1A3	SLC11A1
SLC1A3	SLA	0.0359232041427774	undirected	SLC1A3	SLA
SLC1A3	MERTK	0.0479904782721583	undirected	SLC1A3	MERTK
SLC1A3	BCAT1	0.0240250690191279	undirected	SLC1A3	BCAT1
SLC1A3	SMAP2	0.0458611476188041	undirected	SLC1A3	SMAP2
SLC1A3	GGT5	0.0353404285807691	undirected	SLC1A3	GGT5
SLC1A3	SLAMF8	0.0370882912176167	undirected	SLC1A3	SLAMF8
SLC1A3	HCLS1	0.0494509402397004	undirected	SLC1A3	HCLS1
SLC1A3	PLIN2	0.030914347342193	undirected	SLC1A3	PLIN2
SLC1A3	FGR	0.0201277095541807	undirected	SLC1A3	FGR
SLC1A3	TMIGD3///ADORA3///TMIGD3///ADORA3	0.0315128452546702	undirected	SLC1A3	TMIGD3///ADORA3///TMIGD3///ADORA3
SLC1A3	C3AR1	0.0382545365843066	undirected	SLC1A3	C3AR1
SLC1A3	CD84	0.0225714973508248	undirected	SLC1A3	CD84
SLC1A3	MS4A4A	0.0476512944928022	undirected	SLC1A3	MS4A4A
SLC1A3	CDON	0.0221517996984892	undirected	SLC1A3	CDON
SLC1A3	NRN1	0.0218203614000146	undirected	SLC1A3	NRN1
SLC1A3	GPR34	0.0280654534918777	undirected	SLC1A3	GPR34
SLC1A3	BCL6B	0.0297213705302679	undirected	SLC1A3	BCL6B
SLC1A3	RNASE6	0.0401051522310504	undirected	SLC1A3	RNASE6
SLC1A3	SLC7A8	0.0320938410331726	undirected	SLC1A3	SLC7A8
SLC1A3	PRR5L	0.0284563958612671	undirected	SLC1A3	PRR5L
SLC1A3	MRC1	0.0249506180338613	undirected	SLC1A3	MRC1
SLC1A3	VEGFA	0.0299254991883542	undirected	SLC1A3	VEGFA
SLC1A3	SLC31A2	0.0298772743366821	undirected	SLC1A3	SLC31A2
SLC1A3	ARHGAP20	0.0388555679755208	undirected	SLC1A3	ARHGAP20
SLC1A3	MAFB	0.0451007269780241	undirected	SLC1A3	MAFB
SLC1A3	DLC1	0.0317403014029436	undirected	SLC1A3	DLC1
SLC1A3	SH2D4A	0.0250153611324432	undirected	SLC1A3	SH2D4A
SLC1A3	TBXAS1	0.0432717955730921	undirected	SLC1A3	TBXAS1
SLC1A3	MEF2C	0.0337699833349809	undirected	SLC1A3	MEF2C
SLC1A3	SOAT1	0.0278617131668773	undirected	SLC1A3	SOAT1
SLC1A3	PIK3R5	0.0400234708261223	undirected	SLC1A3	PIK3R5
SLC1A3	GLUL	0.0533347705333397	undirected	SLC1A3	GLUL
SLC1A3	SAMHD1	0.0360513770629806	undirected	SLC1A3	SAMHD1
SLC1A3	FLT3	0.020872619134054	undirected	SLC1A3	FLT3
SLC1A3	CHST11	0.0338103103914703	undirected	SLC1A3	CHST11
SLC1A3	EVI2A	0.0213104916657745	undirected	SLC1A3	EVI2A
SLC1A3	DNM2	0.0296609371942747	undirected	SLC1A3	DNM2
SLC1A3	MDM2	0.038663377539292	undirected	SLC1A3	MDM2
SLC1A3	MTMR9LP	0.0258501630757445	undirected	SLC1A3	MTMR9LP
