fromNode	toNode	weight	direction	fromAltName	toAltName
IGK///IGKC	IGHM///IGHV3-48///IGHV3-69-1	0.627277248561712	undirected	IGK///IGKC	IGHM///IGHV3-48///IGHV3-69-1
IGK///IGKC	IGKC	0.555319658392449	undirected	IGK///IGKC	IGKC
IGK///IGKC	LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH	0.546037930784762	undirected	IGK///IGKC	LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH
IGK///IGKC	IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7	0.635645687912469	undirected	IGK///IGKC	IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7
IGK///IGKC	SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	0.630885445082881	undirected	IGK///IGKC	SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7
IGK///IGKC	JCHAIN	0.509408505944486	undirected	IGK///IGKC	JCHAIN
IGK///IGKC	SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	0.628233712398398	undirected	IGK///IGKC	SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7
IGK///IGKC	SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1	0.636251315636213	undirected	IGK///IGKC	SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1
IGK///IGKC	IGHV3-69-1///IGHV3OR16-7	0.610186060325019	undirected	IGK///IGKC	IGHV3-69-1///IGHV3OR16-7
IGK///IGKC	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	0.614898400887979	undirected	IGK///IGKC	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1
IGK///IGKC	IGHV3-48///IGHV3-69-1///IGHV3OR16-7	0.616782131057988	undirected	IGK///IGKC	IGHV3-48///IGHV3-69-1///IGHV3OR16-7
IGK///IGKC	SCFV///IGHM///SCFV///IGHV3-30	0.613375303860842	undirected	IGK///IGKC	SCFV///IGHM///SCFV///IGHV3-30
IGK///IGKC	IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1	0.607715960232641	undirected	IGK///IGKC	IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1
IGK///IGKC	PIM2	0.139361680994616	undirected	IGK///IGKC	PIM2
IGK///IGKC	IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH	0.499013077073945	undirected	IGK///IGKC	IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH
IGK///IGKC	FAM46C	0.269313275055526	undirected	IGK///IGKC	FAM46C
IGK///IGKC	ITM2C	0.135527188708821	undirected	IGK///IGKC	ITM2C
IGK///IGKC	KLHL6	0.0413221644361777	undirected	IGK///IGKC	KLHL6
IGK///IGKC	MZB1	0.293065387530955	undirected	IGK///IGKC	MZB1
IGK///IGKC	PDK1	0.186163123943819	undirected	IGK///IGKC	PDK1
IGK///IGKC	BCL2L11	0.0671707520446507	undirected	IGK///IGKC	BCL2L11
IGK///IGKC	ST6GAL1	0.029444373712914	undirected	IGK///IGKC	ST6GAL1
IGK///IGKC	FCGR2B	0.0519978104427827	undirected	IGK///IGKC	FCGR2B
IGK///IGKC	PKI55	0.0873253970278574	undirected	IGK///IGKC	PKI55
IGK///IGKC	RAB30	0.124237348780462	undirected	IGK///IGKC	RAB30
IGK///IGKC	CD79A	0.104631302852705	undirected	IGK///IGKC	CD79A
IGK///IGKC	HERPUD1	0.0532403014223385	undirected	IGK///IGKC	HERPUD1
IGK///IGKC	BMF	0.0246360700871644	undirected	IGK///IGKC	BMF
IGK///IGKC	EEF1E1-BLOC1S5///BLOC1S5-TXNDC5///TXNDC5///BLOC1S5	0.0469894551013574	undirected	IGK///IGKC	EEF1E1-BLOC1S5///BLOC1S5-TXNDC5///TXNDC5///BLOC1S5
IGK///IGKC	FUT8	0.0748161761775608	undirected	IGK///IGKC	FUT8
IGK///IGKC	FCRL5	0.15356820743265	undirected	IGK///IGKC	FCRL5
IGK///IGKC	DERL3	0.287807054856206	undirected	IGK///IGKC	DERL3
IGK///IGKC	FAM69A	0.0495659790571968	undirected	IGK///IGKC	FAM69A
IGK///IGKC	CTSG	0.0250695724482646	undirected	IGK///IGKC	CTSG
IGK///IGKC	RALGPS2	0.063216978460295	undirected	IGK///IGKC	RALGPS2
IGK///IGKC	CFAP97	0.0278071841114527	undirected	IGK///IGKC	CFAP97
IGK///IGKC	BAG1	0.0307902159969685	undirected	IGK///IGKC	BAG1
IGK///IGKC	IGLL3P///IGLL1	0.250617996911401	undirected	IGK///IGKC	IGLL3P///IGLL1
IGK///IGKC	C11orf80	0.0243863361074038	undirected	IGK///IGKC	C11orf80
IGK///IGKC	IRF4	0.106883393728006	undirected	IGK///IGKC	IRF4
IGK///IGKC	ZNF215	0.0887533541452163	undirected	IGK///IGKC	ZNF215
IGK///IGKC	DENND5B	0.0366720069838163	undirected	IGK///IGKC	DENND5B
IGK///IGKC	HSH2D	0.0585665189978493	undirected	IGK///IGKC	HSH2D
IGK///IGKC	MRPS21	0.0446333605733536	undirected	IGK///IGKC	MRPS21
IGHM///IGHV3-48///IGHV3-69-1	IGKC	0.605858491890897	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGKC
IGHM///IGHV3-48///IGHV3-69-1	LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH	0.59193823492915	undirected	IGHM///IGHV3-48///IGHV3-69-1	LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH
IGHM///IGHV3-48///IGHV3-69-1	IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7	0.713736546033739	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7
IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	0.714591144174366	undirected	IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7
IGHM///IGHV3-48///IGHV3-69-1	JCHAIN	0.581841880151149	undirected	IGHM///IGHV3-48///IGHV3-69-1	JCHAIN
IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	0.724637574822883	undirected	IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7
IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1	0.714633739256285	undirected	IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1
IGHM///IGHV3-48///IGHV3-69-1	IGHV3-69-1///IGHV3OR16-7	0.689000995769172	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGHV3-69-1///IGHV3OR16-7
IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	0.708309995917971	undirected	IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1
IGHM///IGHV3-48///IGHV3-69-1	IGHV3-48///IGHV3-69-1///IGHV3OR16-7	0.696024828815089	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGHV3-48///IGHV3-69-1///IGHV3OR16-7
IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGHM///SCFV///IGHV3-30	0.686221005754376	undirected	IGHM///IGHV3-48///IGHV3-69-1	SCFV///IGHM///SCFV///IGHV3-30
IGHM///IGHV3-48///IGHV3-69-1	IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1	0.698317169761643	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1
IGHM///IGHV3-48///IGHV3-69-1	PIM2	0.128313933813085	undirected	IGHM///IGHV3-48///IGHV3-69-1	PIM2
IGHM///IGHV3-48///IGHV3-69-1	IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH	0.543875033124817	undirected	IGHM///IGHV3-48///IGHV3-69-1	IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH
IGHM///IGHV3-48///IGHV3-69-1	FAM46C	0.259441411509275	undirected	IGHM///IGHV3-48///IGHV3-69-1	FAM46C
IGHM///IGHV3-48///IGHV3-69-1	ITM2C	0.136364942808305	undirected	IGHM///IGHV3-48///IGHV3-69-1	ITM2C
IGHM///IGHV3-48///IGHV3-69-1	KLHL6	0.0394002487634452	undirected	IGHM///IGHV3-48///IGHV3-69-1	KLHL6
IGHM///IGHV3-48///IGHV3-69-1	MZB1	0.281843416939951	undirected	IGHM///IGHV3-48///IGHV3-69-1	MZB1
IGHM///IGHV3-48///IGHV3-69-1	PDK1	0.171503113728797	undirected	IGHM///IGHV3-48///IGHV3-69-1	PDK1
IGHM///IGHV3-48///IGHV3-69-1	BCL2L11	0.05133517142226	undirected	IGHM///IGHV3-48///IGHV3-69-1	BCL2L11
IGHM///IGHV3-48///IGHV3-69-1	ST6GAL1	0.0258207807646171	undirected	IGHM///IGHV3-48///IGHV3-69-1	ST6GAL1
IGHM///IGHV3-48///IGHV3-69-1	FCGR2B	0.0560840775206616	undirected	IGHM///IGHV3-48///IGHV3-69-1	FCGR2B
IGHM///IGHV3-48///IGHV3-69-1	PKI55	0.0810139803818861	undirected	IGHM///IGHV3-48///IGHV3-69-1	PKI55
IGHM///IGHV3-48///IGHV3-69-1	RAB30	0.110075067595108	undirected	IGHM///IGHV3-48///IGHV3-69-1	RAB30
