fromNode	toNode	weight	direction	fromAltName	toAltName
ESM1	BMP6///BMP6	0.0303577395742011	undirected	ESM1	BMP6///BMP6
RGS5	CBSL///CBS	0.0219101180169967	undirected	RGS5	CBSL///CBS
RGS5	MEGF9	0.0218655985721672	undirected	RGS5	MEGF9
RGS5	MLX	0.0247775813162608	undirected	RGS5	MLX
BMP6///BMP6	MFSD13A	0.0200949103164927	undirected	BMP6///BMP6	MFSD13A
AKR1C2	NQO1	0.0218759978838058	undirected	AKR1C2	NQO1
AKR1C2	AKR1C3	0.0460155610709908	undirected	AKR1C2	AKR1C3
AKR1C2	AKR1C1	0.0703842635907504	undirected	AKR1C2	AKR1C1
AKR1C2	RFTN1	0.0280522892047828	undirected	AKR1C2	RFTN1
AKR1C2	SLC25A24	0.0220902708628867	undirected	AKR1C2	SLC25A24
FASN	SHMT1	0.0210708303653373	undirected	FASN	SHMT1
FASN	LSS	0.0284933670292609	undirected	FASN	LSS
FASN	PRKCD	0.0242126387965527	undirected	FASN	PRKCD
FASN	PCYT2	0.0201412552209491	undirected	FASN	PCYT2
FASN	MLX	0.02318081309155	undirected	FASN	MLX
FASN	CPT2	0.0208627410795748	undirected	FASN	CPT2
FASN	AKAP1	0.021041810228941	undirected	FASN	AKAP1
FASN	SLC25A5	0.0200111608994989	undirected	FASN	SLC25A5
FASN	MCCC2	0.0218764924364901	undirected	FASN	MCCC2
FASN	ERGIC1	0.0204855571966938	undirected	FASN	ERGIC1
FASN	ACOX1	0.0227262671788176	undirected	FASN	ACOX1
SELP	SMOX	0.0254193915271695	undirected	SELP	SMOX
NQO1	AKR1C3	0.0201498384617983	undirected	NQO1	AKR1C3
NQO1	AKR1C1	0.021443005862687	undirected	NQO1	AKR1C1
NQO1	MGST1	0.0202040336690106	undirected	NQO1	MGST1
NQO1	ASPH	0.0207386610042308	undirected	NQO1	ASPH
AKR1C3	AKR1C1	0.0612836479249728	undirected	AKR1C3	AKR1C1
STC1	CREM	0.0307200455388218	undirected	STC1	CREM
AKR1C1	RFTN1	0.0267098821338034	undirected	AKR1C1	RFTN1
AKR1C1	SLC25A24	0.0232525890174993	undirected	AKR1C1	SLC25A24
AKR1C1	NOD1	0.0222929086758238	undirected	AKR1C1	NOD1
TMEM45B	CLDN12	0.0236672545130222	undirected	TMEM45B	CLDN12
PHLDB2	GJA1	0.0243794647170484	undirected	PHLDB2	GJA1
PHLDB2	GSTA4	0.0202664025758373	undirected	PHLDB2	GSTA4
PHLDB2	MTMR4	0.0221128260860602	undirected	PHLDB2	MTMR4
PHLDB2	CDK17	0.0227158873358592	undirected	PHLDB2	CDK17
PHLDB2	DPY19L1	0.0223255242166957	undirected	PHLDB2	DPY19L1
PHLDB2	CHD1	0.0202588522755186	undirected	PHLDB2	CHD1
PHLDB2	CREM	0.0241241407907523	undirected	PHLDB2	CREM
GJA1	CREM	0.0264624845126407	undirected	GJA1	CREM
GSTA4	MLX	0.0217297570832034	undirected	GSTA4	MLX
GSTA4	AKAP1	0.0243747263322792	undirected	GSTA4	AKAP1
GSTA4	MRPS25	0.02332720454508	undirected	GSTA4	MRPS25
GSTA4	HSD17B4	0.0229914770645937	undirected	GSTA4	HSD17B4
ACSM3	HSD17B4	0.0330897677259935	undirected	ACSM3	HSD17B4
CBSL///CBS	MGST1	0.0239682887529882	undirected	CBSL///CBS	MGST1
