fromNode	toNode	weight	direction	fromAltName	toAltName
POSTN	HCK	0.0224966109092405	undirected	POSTN	HCK
POSTN	FCER1G	0.0260956452896449	undirected	POSTN	FCER1G
POSTN	MYO1F	0.0216374623425498	undirected	POSTN	MYO1F
POSTN	TLR8	0.0215688136294695	undirected	POSTN	TLR8
POSTN	APBB1IP	0.0253644276578354	undirected	POSTN	APBB1IP
POSTN	TALDO1	0.0297773808814271	undirected	POSTN	TALDO1
POSTN	HK3	0.0206152136643293	undirected	POSTN	HK3
POSTN	SYK	0.0213669941510116	undirected	POSTN	SYK
POSTN	G6PD	0.0350896713208933	undirected	POSTN	G6PD
POSTN	STXBP2	0.0309919309649857	undirected	POSTN	STXBP2
POSTN	TRPC1	0.0216907237170054	undirected	POSTN	TRPC1
POSTN	SPI1	0.025383345626701	undirected	POSTN	SPI1
POSTN	ARRB2	0.0346632776141616	undirected	POSTN	ARRB2
POSTN	GRB2	0.0241243465459188	undirected	POSTN	GRB2
POSTN	SHKBP1	0.0301294433158223	undirected	POSTN	SHKBP1
POSTN	H2AFY	0.0256234083305432	undirected	POSTN	H2AFY
VSIG4	ANPEP	0.0284417469032283	undirected	VSIG4	ANPEP
VSIG4	HCK	0.0223932487434032	undirected	VSIG4	HCK
VSIG4	ITGAX	0.0209656156217785	undirected	VSIG4	ITGAX
VSIG4	NCF2	0.0232667758183074	undirected	VSIG4	NCF2
VSIG4	FCER1G	0.037361217961564	undirected	VSIG4	FCER1G
VSIG4	MYO1F	0.0284411293880444	undirected	VSIG4	MYO1F
VSIG4	ITGB2	0.030084286098112	undirected	VSIG4	ITGB2
VSIG4	IFI30	0.0231054197625165	undirected	VSIG4	IFI30
VSIG4	TLR8	0.028687849864219	undirected	VSIG4	TLR8
VSIG4	MARK1	0.0315818975145138	undirected	VSIG4	MARK1
VSIG4	KCNAB2	0.0552565510850329	undirected	VSIG4	KCNAB2
VSIG4	ID4	0.0291189688197861	undirected	VSIG4	ID4
VSIG4	C1orf162	0.0555768355775275	undirected	VSIG4	C1orf162
VSIG4	APBB1IP	0.0455425983329897	undirected	VSIG4	APBB1IP
VSIG4	FLVCR2	0.0296655457479743	undirected	VSIG4	FLVCR2
VSIG4	SNORD113-4	0.0240347996782022	undirected	VSIG4	SNORD113-4
VSIG4	TLR2	0.0264712191298226	undirected	VSIG4	TLR2
VSIG4	SNORD114-2	0.0240216775588624	undirected	VSIG4	SNORD114-2
VSIG4	NLRC4	0.0328274969500851	undirected	VSIG4	NLRC4
VSIG4	CD53	0.0405442950703219	undirected	VSIG4	CD53
VSIG4	FGD2	0.0448054103266024	undirected	VSIG4	FGD2
