fromNode	toNode	weight	direction	fromAltName	toAltName
GRIA1	CDH13	0.0255672371269527	undirected	GRIA1	CDH13
GRIA1	FGFR4	0.0204406145500493	undirected	GRIA1	FGFR4
GRIA1	PRDX4	0.0246920892470354	undirected	GRIA1	PRDX4
GRIA1	CAMK2N1	0.0208853533458076	undirected	GRIA1	CAMK2N1
GRIA1	PEAK1	0.0202842484102968	undirected	GRIA1	PEAK1
GRIA1	FHL1	0.0282185540439922	undirected	GRIA1	FHL1
GRIA1	TNS1	0.0207180831834527	undirected	GRIA1	TNS1
GRIA1	SLC44A2	0.0225895780295624	undirected	GRIA1	SLC44A2
GRIA1	SPTBN1	0.05126746840113	undirected	GRIA1	SPTBN1
GRIA1	AHNAK	0.0279651820036794	undirected	GRIA1	AHNAK
AGR2	PRELP	0.0241344234394139	undirected	AGR2	PRELP
AGR2	FBLN5	0.0335785671062525	undirected	AGR2	FBLN5
AGR2	PRDX4	0.0250534333490264	undirected	AGR2	PRDX4
AGR2	FHL1	0.0229258837262056	undirected	AGR2	FHL1
AGR2	TNS1	0.0305062637844682	undirected	AGR2	TNS1
AGR2	APOO	0.0252183106095643	undirected	AGR2	APOO
AGR2	SPTBN1	0.0355471760171668	undirected	AGR2	SPTBN1
AGR2	AHNAK	0.0292205568882878	undirected	AGR2	AHNAK
CDH13	AOC3	0.0235792442386856	undirected	CDH13	AOC3
CDH13	FBLN5	0.0244474413671358	undirected	CDH13	FBLN5
CDH13	CAMK2N1	0.0220136115270091	undirected	CDH13	CAMK2N1
CDH13	PEAK1	0.0223330313771959	undirected	CDH13	PEAK1
CDH13	FHL1	0.0203364703843371	undirected	CDH13	FHL1
CDH13	TNS1	0.0355153695410784	undirected	CDH13	TNS1
CDH13	ADARB1	0.0265165695209184	undirected	CDH13	ADARB1
CDH13	SLC44A2	0.0213737961950596	undirected	CDH13	SLC44A2
CDH13	SPTBN1	0.0393696474402974	undirected	CDH13	SPTBN1
CDH13	AHNAK	0.0367857644625141	undirected	CDH13	AHNAK
ADAMTSL3	FBLN5	0.0251463299719726	undirected	ADAMTSL3	FBLN5
ADAMTSL3	PRDX4	0.0205780013220747	undirected	ADAMTSL3	PRDX4
ADAMTSL3	PEAK1	0.0265213124520119	undirected	ADAMTSL3	PEAK1
ADAMTSL3	FHL1	0.0262899000218999	undirected	ADAMTSL3	FHL1
ADAMTSL3	TNS1	0.0220626073727243	undirected	ADAMTSL3	TNS1
ADAMTSL3	ADARB1	0.0239794996398699	undirected	ADAMTSL3	ADARB1
ADAMTSL3	SLC44A2	0.0248549653295681	undirected	ADAMTSL3	SLC44A2
ADAMTSL3	SPTBN1	0.0518409584701172	undirected	ADAMTSL3	SPTBN1
ADAMTSL3	AHNAK	0.0280823255464468	undirected	ADAMTSL3	AHNAK
PRELP	SVEP1///SVEP1	0.0242835758231618	undirected	PRELP	SVEP1///SVEP1
PRELP	AOC3	0.0306209406249925	undirected	PRELP	AOC3
PRELP	PTPRS	0.0275653365758205	undirected	PRELP	PTPRS
PRELP	ADGRD1	0.0361087066087804	undirected	PRELP	ADGRD1
PRELP	IGFBP5	0.029752124479254	undirected	PRELP	IGFBP5
PRELP	FBLN5	0.0397023069928944	undirected	PRELP	FBLN5
PRELP	CHRDL1	0.0392996316934818	undirected	PRELP	CHRDL1
PRELP	TNS1	0.0380128257733314	undirected	PRELP	TNS1
PRELP	APOO	0.0204816184080455	undirected	PRELP	APOO
PRELP	SPTBN1	0.0236799611915262	undirected	PRELP	SPTBN1
PRELP	DKK3	0.0239260350663678	undirected	PRELP	DKK3
PRELP	TJP2	0.0282830403861008	undirected	PRELP	TJP2
PRELP	ADD1	0.0258909515217882	undirected	PRELP	ADD1
PRELP	AHNAK	0.0273507736443847	undirected	PRELP	AHNAK
PRELP	MYO1C	0.0210428880211994	undirected	PRELP	MYO1C
SVEP1///SVEP1	AOC3	0.0395128100943436	undirected	SVEP1///SVEP1	AOC3
SVEP1///SVEP1	PTPRS	0.0259438238699073	undirected	SVEP1///SVEP1	PTPRS
SVEP1///SVEP1	FBLN5	0.0551387537220532	undirected	SVEP1///SVEP1	FBLN5
SVEP1///SVEP1	CHRDL1	0.0336886787548981	undirected	SVEP1///SVEP1	CHRDL1
SVEP1///SVEP1	CAMK2N1	0.0311308247116599	undirected	SVEP1///SVEP1	CAMK2N1
SVEP1///SVEP1	PEAK1	0.0234384726284651	undirected	SVEP1///SVEP1	PEAK1
SVEP1///SVEP1	FHL1	0.0340645584856141	undirected	SVEP1///SVEP1	FHL1
SVEP1///SVEP1	TNS1	0.0535695115691083	undirected	SVEP1///SVEP1	TNS1
SVEP1///SVEP1	KANK2	0.022024533044562	undirected	SVEP1///SVEP1	KANK2
SVEP1///SVEP1	ADARB1	0.033423094750035	undirected	SVEP1///SVEP1	ADARB1
SVEP1///SVEP1	LAMB2	0.021010487082057	undirected	SVEP1///SVEP1	LAMB2
SVEP1///SVEP1	SPTBN1	0.0277840564536761	undirected	SVEP1///SVEP1	SPTBN1
SVEP1///SVEP1	DKK3	0.0349694538720405	undirected	SVEP1///SVEP1	DKK3
SVEP1///SVEP1	AHNAK	0.0353137711872409	undirected	SVEP1///SVEP1	AHNAK
HIP1	PRDX4	0.0207625017222712	undirected	HIP1	PRDX4
HIP1	SPTBN1	0.0370067871968604	undirected	HIP1	SPTBN1
AOC3	PTPRS	0.0356354313748886	undirected	AOC3	PTPRS
AOC3	FGFR4	0.0405115417151404	undirected	AOC3	FGFR4
AOC3	ADGRD1	0.0215162509341839	undirected	AOC3	ADGRD1
AOC3	IGFBP5	0.0327027496572853	undirected	AOC3	IGFBP5
AOC3	FBLN5	0.0493770336674349	undirected	AOC3	FBLN5
AOC3	CHRDL1	0.0390244889249304	undirected	AOC3	CHRDL1
AOC3	PEAK1	0.024338053107914	undirected	AOC3	PEAK1
AOC3	MAL	0.025181640543004	undirected	AOC3	MAL
AOC3	TNS1	0.055339818391386	undirected	AOC3	TNS1
AOC3	KANK2	0.0259681908943096	undirected	AOC3	KANK2
AOC3	ADARB1	0.0267068011825625	undirected	AOC3	ADARB1
AOC3	LAMB2	0.0226759086238653	undirected	AOC3	LAMB2
AOC3	SLC44A2	0.0305270649048095	undirected	AOC3	SLC44A2
AOC3	PTRF	0.0249196195234536	undirected	AOC3	PTRF
AOC3	SPTBN1	0.031158778353116	undirected	AOC3	SPTBN1
AOC3	DKK3	0.0227144638245881	undirected	AOC3	DKK3
AOC3	ADD1	0.0325620124308209	undirected	AOC3	ADD1
AOC3	AHNAK	0.0381232854178832	undirected	AOC3	AHNAK
AOC3	MYO1C	0.0298772584816088	undirected	AOC3	MYO1C
PTPRS	FGFR4	0.0237409280465385	undirected	PTPRS	FGFR4
PTPRS	ADGRD1	0.0231418131778764	undirected	PTPRS	ADGRD1
PTPRS	IGFBP5	0.0262285751126169	undirected	PTPRS	IGFBP5
PTPRS	FBLN5	0.0377752820349378	undirected	PTPRS	FBLN5
PTPRS	CHRDL1	0.0254572416347331	undirected	PTPRS	CHRDL1
PTPRS	TNS1	0.0392932790545509	undirected	PTPRS	TNS1
PTPRS	AHNAK	0.0212004624873866	undirected	PTPRS	AHNAK
FGFR4	FBLN5	0.031018189695462	undirected	FGFR4	FBLN5
FGFR4	CAMK2N1	0.0349851226222526	undirected	FGFR4	CAMK2N1
FGFR4	PEAK1	0.0209294526711226	undirected	FGFR4	PEAK1
FGFR4	MAL	0.021822207277141	undirected	FGFR4	MAL
FGFR4	FHL1	0.0291044219747647	undirected	FGFR4	FHL1
FGFR4	TNS1	0.035822908616659	undirected	FGFR4	TNS1
FGFR4	KANK2	0.0291494631391225	undirected	FGFR4	KANK2
FGFR4	ADARB1	0.0329591310151536	undirected	FGFR4	ADARB1
FGFR4	SLC44A2	0.0324287145630446	undirected	FGFR4	SLC44A2
FGFR4	SPTBN1	0.0398896232568677	undirected	FGFR4	SPTBN1
FGFR4	DKK3	0.021783684424482	undirected	FGFR4	DKK3
FGFR4	AHNAK	0.0293666099747245	undirected	FGFR4	AHNAK
FGFR4	MYO1C	0.0215520291288969	undirected	FGFR4	MYO1C
ADGRD1	FBLN5	0.0387088377856372	undirected	ADGRD1	FBLN5
ADGRD1	CHRDL1	0.0208921391501484	undirected	ADGRD1	CHRDL1
ADGRD1	PRDX4	0.0222606232871478	undirected	ADGRD1	PRDX4
ADGRD1	SEC11C	0.0201014774689608	undirected	ADGRD1	SEC11C
ADGRD1	TNS1	0.0360538722437442	undirected	ADGRD1	TNS1
ADGRD1	SPTBN1	0.0300151825971239	undirected	ADGRD1	SPTBN1
ADGRD1	TJP2	0.0202175352576861	undirected	ADGRD1	TJP2
ADGRD1	AHNAK	0.0263791635837284	undirected	ADGRD1	AHNAK
IGFBP5	FBLN5	0.0388288929109212	undirected	IGFBP5	FBLN5
IGFBP5	TNS1	0.0394691029693155	undirected	IGFBP5	TNS1
IGFBP5	SPTBN1	0.0237922104772152	undirected	IGFBP5	SPTBN1
IGFBP5	ADD1	0.0243406073391698	undirected	IGFBP5	ADD1
IGFBP5	AHNAK	0.0326451799094761	undirected	IGFBP5	AHNAK
ADCY9	FBLN5	0.0214471339847281	undirected	ADCY9	FBLN5
ADCY9	TNS1	0.029355172986218	undirected	ADCY9	TNS1
ADCY9	PPP1R13B	0.0221244920694946	undirected	ADCY9	PPP1R13B
