fromNode	toNode	weight	direction	fromAltName	toAltName
FGG	LRP2	0.0375543227474262	undirected	FGG	LRP2
FGG	SLC5A8	0.0565011847587329	undirected	FGG	SLC5A8
FGG	SOD2	0.0206867073775419	undirected	FGG	SOD2
FGG	FGA	0.111153728270044	undirected	FGG	FGA
FOSB	IL6	0.0362626137686693	undirected	FOSB	IL6
FOSB	SERPINE1	0.0226121460695663	undirected	FOSB	SERPINE1
FOSB	PTGS2	0.051002415748919	undirected	FOSB	PTGS2
FOSB	CXCL2	0.112695295219634	undirected	FOSB	CXCL2
FOSB	SOCS3	0.0655948607776452	undirected	FOSB	SOCS3
FOSB	AREG	0.0505129127069474	undirected	FOSB	AREG
FOSB	FOS	0.136239384666478	undirected	FOSB	FOS
FOSB	MIR21	0.0264490101168433	undirected	FOSB	MIR21
FOSB	NR4A2	0.0979176742797478	undirected	FOSB	NR4A2
FOSB	CH25H	0.0206024957969108	undirected	FOSB	CH25H
FOSB	NR4A1	0.107835230097543	undirected	FOSB	NR4A1
FOSB	CYR61	0.0940265599602597	undirected	FOSB	CYR61
FOSB	EGR1	0.0912975498490155	undirected	FOSB	EGR1
FOSB	CXCL1	0.0531820986872796	undirected	FOSB	CXCL1
FOSB	ZFP36	0.106849779841216	undirected	FOSB	ZFP36
FOSB	PDLIM3	0.053007429409687	undirected	FOSB	PDLIM3
FOSB	RND1	0.0868287275230998	undirected	FOSB	RND1
FOSB	MMP19	0.0298736682171493	undirected	FOSB	MMP19
FOSB	IER3	0.049478222664937	undirected	FOSB	IER3
FOSB	ICAM1	0.0472141726657538	undirected	FOSB	ICAM1
FOSB	TNFAIP3	0.0255470657919507	undirected	FOSB	TNFAIP3
FOSB	ELF3	0.0654514341811819	undirected	FOSB	ELF3
FOSB	THBS1	0.0237454210788217	undirected	FOSB	THBS1
FOSB	NR4A3	0.0683719540851444	undirected	FOSB	NR4A3
FOSB	BMP2	0.0585737089306229	undirected	FOSB	BMP2
FOSB	WEE1	0.0796657948839338	undirected	FOSB	WEE1
FOSB	SPRY4	0.0238860404239279	undirected	FOSB	SPRY4
FOSB	JUNB	0.119474892702165	undirected	FOSB	JUNB
FOSB	RNF122	0.0235409172051705	undirected	FOSB	RNF122
FOSB	HBEGF	0.0497604308807733	undirected	FOSB	HBEGF
FOSB	MIR27A	0.145260298975836	undirected	FOSB	MIR27A
FOSB	TRIB1	0.109161326582536	undirected	FOSB	TRIB1
FOSB	GADD45B	0.0488257865218154	undirected	FOSB	GADD45B
FOSB	JUND	0.0982489897629113	undirected	FOSB	JUND
FOSB	RGS16	0.0373775041369196	undirected	FOSB	RGS16
FOSB	BHLHE40	0.029269520342463	undirected	FOSB	BHLHE40
FOSB	CD83	0.0474356073189856	undirected	FOSB	CD83
FOSB	C8orf4	0.0520114951364727	undirected	FOSB	C8orf4
FOSB	JUN	0.0885466197489055	undirected	FOSB	JUN
FOSB	LOC102724428///SIK1	0.0569950369232184	undirected	FOSB	LOC102724428///SIK1
FOSB	PPP1R15A	0.101849026007009	undirected	FOSB	PPP1R15A
FOSB	ADAMTS1	0.0229767423692271	undirected	FOSB	ADAMTS1
FOSB	NFKBIZ	0.0988385100075359	undirected	FOSB	NFKBIZ
FOSB	PLK3	0.0885063456536987	undirected	FOSB	PLK3
FOSB	ITPKC	0.0403501953391884	undirected	FOSB	ITPKC
FOSB	NFIL3	0.0223322050582794	undirected	FOSB	NFIL3
FOSB	TMEM88	0.0340225510786082	undirected	FOSB	TMEM88
FOSB	MYC	0.0416686565929991	undirected	FOSB	MYC
FOSB	C11orf96	0.0588048341147202	undirected	FOSB	C11orf96
FOSB	IER2	0.0696797165788424	undirected	FOSB	IER2
FOSB	DUSP5	0.0292102016279377	undirected	FOSB	DUSP5
FOSB	CMAHP	0.028880637050137	undirected	FOSB	CMAHP
FOSB	BTG2	0.050348730820941	undirected	FOSB	BTG2
FOSB	DUSP1	0.0478395416714771	undirected	FOSB	DUSP1
FOSB	SLC7A2	0.0238198887925044	undirected	FOSB	SLC7A2
FOSB	MIR24-2	0.133161258628802	undirected	FOSB	MIR24-2
FOSB	EGR2	0.0515697779446914	undirected	FOSB	EGR2
FOSB	UAP1	0.0205325553742892	undirected	FOSB	UAP1
FOSB	FOSL2	0.0393713435502641	undirected	FOSB	FOSL2
FOSB	KLF6	0.128938865331341	undirected	FOSB	KLF6
FOSB	DNAJB1	0.0259014806507735	undirected	FOSB	DNAJB1
FOSB	DUSP6	0.0427716138263264	undirected	FOSB	DUSP6
FOSB	PIGA	0.0873128239893414	undirected	FOSB	PIGA
FOSB	MIDN	0.0220009073864886	undirected	FOSB	MIDN
FOSB	TIPARP	0.0535703362180129	undirected	FOSB	TIPARP
FOSB	ATF3	0.11363999193312	undirected	FOSB	ATF3
FOSB	MAP3K8	0.0266502655312484	undirected	FOSB	MAP3K8
FOSB	CDKN1A	0.0452473296247063	undirected	FOSB	CDKN1A
FOSB	EMP1	0.0424760712013599	undirected	FOSB	EMP1
FOSB	DCUN1D3	0.0202198837828749	undirected	FOSB	DCUN1D3
FOSB	MYADM	0.0254966109140062	undirected	FOSB	MYADM
FOSB	LMNA	0.0723935573381014	undirected	FOSB	LMNA
FOSB	PELI1	0.0435682000053796	undirected	FOSB	PELI1
FOSB	ZC3H12A	0.0483036006963614	undirected	FOSB	ZC3H12A
FOSB	MOP-1	0.0264993623058075	undirected	FOSB	MOP-1
FOSB	SGMS2	0.0234323201732647	undirected	FOSB	SGMS2
FOSB	ARID5B	0.020934981010585	undirected	FOSB	ARID5B
FOSB	ZBTB21	0.0565167309933035	undirected	FOSB	ZBTB21
FOSB	ADAMTSL4-AS1	0.0688198351409666	undirected	FOSB	ADAMTSL4-AS1
FOSB	DUSP16	0.0250297072846566	undirected	FOSB	DUSP16
FOSB	LRRFIP1	0.0490234218571086	undirected	FOSB	LRRFIP1
FOSB	AKAP12	0.0212443015424511	undirected	FOSB	AKAP12
FOSB	LDLR	0.0332579911892383	undirected	FOSB	LDLR
FOSB	ICAM4	0.0662411998969817	undirected	FOSB	ICAM4
FOSB	NFKB1	0.0200558886882972	undirected	FOSB	NFKB1
