fromNode	toNode	weight	direction	fromAltName	toAltName
SAA2	WIF1	0.0393948398633813	undirected	SAA2	WIF1
SAA2	LCN2	0.0365094426274562	undirected	SAA2	LCN2
SAA2	SAA1	0.0679110201310141	undirected	SAA2	SAA1
SAA2	ANOS1	0.0202834691903194	undirected	SAA2	ANOS1
SAA2	SEMA5A	0.0276435574430644	undirected	SAA2	SEMA5A
SAA2	FAM189A2	0.0453880726393662	undirected	SAA2	FAM189A2
SAA2	LAMA3	0.0319250400131952	undirected	SAA2	LAMA3
SAA2	NCKAP5	0.0313644501659118	undirected	SAA2	NCKAP5
SAA2	PTCH2	0.0250271075818315	undirected	SAA2	PTCH2
SAA2	PLEKHH2	0.0214279699266569	undirected	SAA2	PLEKHH2
SAA2	GPM6A	0.0225302866235457	undirected	SAA2	GPM6A
SAA2	COL4A3	0.0390668341671162	undirected	SAA2	COL4A3
SAA2	ANKRD29	0.0401328217269748	undirected	SAA2	ANKRD29
SAA2	PTPN21	0.0200302293987771	undirected	SAA2	PTPN21
SAA2	PDZD2	0.0244782419067949	undirected	SAA2	PDZD2
SAA2	TSPAN13	0.0221761915053979	undirected	SAA2	TSPAN13
SAA2	CGNL1	0.0265829688318718	undirected	SAA2	CGNL1
SAA2	MAGI1	0.021888500536432	undirected	SAA2	MAGI1
SAA2	LIMD1	0.0301622232985811	undirected	SAA2	LIMD1
SAA2	PLEKHA1	0.0268920654638568	undirected	SAA2	PLEKHA1
SAA2	SIGLEC10	0.0558176754960496	undirected	SAA2	SIGLEC10
SAA2	GAB1	0.0225491448453953	undirected	SAA2	GAB1
SAA2	ZFYVE9	0.0317163292025384	undirected	SAA2	ZFYVE9
SAA2	LIMCH1	0.0382864427083274	undirected	SAA2	LIMCH1
SAA2	SHANK2	0.0244843340309094	undirected	SAA2	SHANK2
SAA2	NBEAL1	0.036166540863388	undirected	SAA2	NBEAL1
SAA2	TMEM47	0.02059117434065	undirected	SAA2	TMEM47
SAA2	SCAPER	0.0297458430200445	undirected	SAA2	SCAPER
SAA2	COL4A4	0.0226401558030879	undirected	SAA2	COL4A4
SAA2	GPRASP1	0.0264758990824799	undirected	SAA2	GPRASP1
SAA2	RUFY3	0.0247881729331382	undirected	SAA2	RUFY3
SAA2	SFTPC	0.0262899770571365	undirected	SAA2	SFTPC
SAA2	PATJ	0.031416180935436	undirected	SAA2	PATJ
SAA2	AMPD3	0.0276622911480274	undirected	SAA2	AMPD3
SAA2	MDGA1	0.0200193841893532	undirected	SAA2	MDGA1
SAA2	ADCY6	0.0225700028150361	undirected	SAA2	ADCY6
SAA2	LUC7L	0.0301291045335617	undirected	SAA2	LUC7L
SAA2	SPAG9	0.0223328284301857	undirected	SAA2	SPAG9
SAA2	CD9	0.0281312026410957	undirected	SAA2	CD9
SAA2	MYO9A	0.0235462388616337	undirected	SAA2	MYO9A
CPB2	WIF1	0.0240070973610794	undirected	CPB2	WIF1
CPB2	ACADL	0.0430247565460767	undirected	CPB2	ACADL
CPB2	FAM189A2	0.0325415599593328	undirected	CPB2	FAM189A2
CPB2	LAMA3	0.0272777148729138	undirected	CPB2	LAMA3
CPB2	NCKAP5	0.0261711346470812	undirected	CPB2	NCKAP5
CPB2	OR5P3	0.0209254523563941	undirected	CPB2	OR5P3
CPB2	PLEKHH2	0.0293815345782315	undirected	CPB2	PLEKHH2
CPB2	DAPK2	0.0303406752413519	undirected	CPB2	DAPK2
CPB2	GPM6A	0.0298070252111469	undirected	CPB2	GPM6A
CPB2	ADGRF1	0.0228870640497853	undirected	CPB2	ADGRF1
CPB2	OR5P1P	0.0262827238722857	undirected	CPB2	OR5P1P
