fromNode	toNode	weight	direction	fromAltName	toAltName
CEMIP	ALDH1L2	0.0224117372497374	undirected	CEMIP	ALDH1L2
CEMIP	TGFBI	0.0299595865957949	undirected	CEMIP	TGFBI
CEMIP	EMILIN1	0.0356110758491545	undirected	CEMIP	EMILIN1
CEMIP	UCHL1	0.0238649739325706	undirected	CEMIP	UCHL1
CEMIP	TTYH3	0.0294163527483593	undirected	CEMIP	TTYH3
CEMIP	GAL3ST4	0.0242315177474326	undirected	CEMIP	GAL3ST4
CEMIP	RCN3	0.0279522459719781	undirected	CEMIP	RCN3
ALDH1L2	TMEM45A	0.0240702917683459	undirected	ALDH1L2	TMEM45A
ALDH1L2	TGFBI	0.0219050635638421	undirected	ALDH1L2	TGFBI
ALDH1L2	KDELR3	0.032436393242611	undirected	ALDH1L2	KDELR3
ALDH1L2	EMILIN1	0.0246604781948554	undirected	ALDH1L2	EMILIN1
ALDH1L2	UCHL1	0.0370530701994151	undirected	ALDH1L2	UCHL1
ALDH1L2	ECM1	0.0214427024746952	undirected	ALDH1L2	ECM1
ALDH1L2	KDELC2	0.0525281672932356	undirected	ALDH1L2	KDELC2
ALDH1L2	HELLS	0.0213090506050247	undirected	ALDH1L2	HELLS
ALDH1L2	GAL3ST4	0.0217614917389585	undirected	ALDH1L2	GAL3ST4
ALDH1L2	RCN3	0.0359944839494854	undirected	ALDH1L2	RCN3
ALDH1L2	NCAPG2	0.0202135902069346	undirected	ALDH1L2	NCAPG2
ALDH1L2	LGI2	0.0212130049503423	undirected	ALDH1L2	LGI2
HIST1H3I	HIST1H2BM	0.0909933943469279	undirected	HIST1H3I	HIST1H2BM
HIST1H3I	DHFR	0.0200495889571703	undirected	HIST1H3I	DHFR
HIST1H3I	HIST1H3B	0.106018379717785	undirected	HIST1H3I	HIST1H3B
HIST1H3I	HIST1H2BF	0.0557271843344568	undirected	HIST1H3I	HIST1H2BF
HIST1H3I	CKAP2	0.0268849315256383	undirected	HIST1H3I	CKAP2
HIST1H3I	HIST1H2BK///H2BFS///HIST1H2BO///HIST1H2BD	0.0597683059979209	undirected	HIST1H3I	HIST1H2BK///H2BFS///HIST1H2BO///HIST1H2BD
HIST1H3I	HIST2H3D///HIST2H3A///HIST2H3C	0.0851649625456274	undirected	HIST1H3I	HIST2H3D///HIST2H3A///HIST2H3C
HIST1H3I	HIST1H1B	0.108597860344697	undirected	HIST1H3I	HIST1H1B
HIST1H3I	IDH2	0.0335983729852096	undirected	HIST1H3I	IDH2
HIST1H3I	TYMS	0.0683487070050073	undirected	HIST1H3I	TYMS
