fromNode	toNode	weight	direction	fromAltName	toAltName
ENG	EIF4G1	0.0260653623864436	undirected	ENG	EIF4G1
ENG	TRIM28	0.0201894616495184	undirected	ENG	TRIM28
ENG	PTBP1	0.0295900304014831	undirected	ENG	PTBP1
ENG	VCP	0.0222022910203559	undirected	ENG	VCP
ITGB3BP	EIF4G1	0.021529027848973	undirected	ITGB3BP	EIF4G1
ITGB3BP	PTBP1	0.0205748057423538	undirected	ITGB3BP	PTBP1
PTMS	EIF4G1	0.027512627935702	undirected	PTMS	EIF4G1
PTMS	PTBP1	0.02438855876308	undirected	PTMS	PTBP1
TGM2	TPP1	0.0292865781426425	undirected	TGM2	TPP1
TGM2	SLC35A4	0.0381117645186235	undirected	TGM2	SLC35A4
TGM2	FLNA	0.0234062756395235	undirected	TGM2	FLNA
TGM2	NMT1	0.0216735524845867	undirected	TGM2	NMT1
TGM2	EIF4G1	0.0497226725436267	undirected	TGM2	EIF4G1
TGM2	MYH9	0.0237055595452557	undirected	TGM2	MYH9
TGM2	PPP2R1A	0.032672488554036	undirected	TGM2	PPP2R1A
TGM2	TRIM28	0.0295354901773573	undirected	TGM2	TRIM28
TGM2	TLN1	0.0271002853798344	undirected	TGM2	TLN1
TGM2	NUCB1	0.0230720139762575	undirected	TGM2	NUCB1
TGM2	PTBP1	0.0448897651028528	undirected	TGM2	PTBP1
TGM2	NEK7	0.0319082574784753	undirected	TGM2	NEK7
TGM2	OGDH	0.0228180619817171	undirected	TGM2	OGDH
TGM2	VCP	0.0326930240021929	undirected	TGM2	VCP
TGM2	SRPRA	0.0421697370972348	undirected	TGM2	SRPRA
TGM2	SRP68	0.02154662770303	undirected	TGM2	SRP68
TGM2	TM9SF4	0.0322262086255392	undirected	TGM2	TM9SF4
TGM2	MSN	0.0235783367258585	undirected	TGM2	MSN
TGM2	FLII	0.0301956790054216	undirected	TGM2	FLII
TGM2	SF3B3	0.0356508719800681	undirected	TGM2	SF3B3
TGM2	PRKCSH	0.025107343261877	undirected	TGM2	PRKCSH
TGM2	PRRC2A	0.0248360076953758	undirected	TGM2	PRRC2A
TGM2	ACTB	0.0318911192418107	undirected	TGM2	ACTB
TGM2	CLPTM1	0.0290415229719022	undirected	TGM2	CLPTM1
LOC729737///LINC01002	MOB3A	0.0241995536311216	undirected	LOC729737///LINC01002	MOB3A
LOC729737///LINC01002	SLC35A4	0.0310253809607246	undirected	LOC729737///LINC01002	SLC35A4
LOC729737///LINC01002	LOC107987457///PPP1R18	0.0269411941530619	undirected	LOC729737///LINC01002	LOC107987457///PPP1R18
LOC729737///LINC01002	EIF4G1	0.0451466240906752	undirected	LOC729737///LINC01002	EIF4G1
LOC729737///LINC01002	PTBP1	0.0340029549531391	undirected	LOC729737///LINC01002	PTBP1
LOC729737///LINC01002	NEK7	0.0215610710977374	undirected	LOC729737///LINC01002	NEK7
LOC729737///LINC01002	VCP	0.0253851455471707	undirected	LOC729737///LINC01002	VCP
LOC729737///LINC01002	SRPRA	0.034308232291066	undirected	LOC729737///LINC01002	SRPRA
