nodeName	altName	nodeAttr[nodesPresent, ]
C10orf10	C10orf10	black
ELN	ELN	black
PEBP4	PEBP4	black
LINC00969	LINC00969	black
HSD17B6	HSD17B6	black
PLA2G1B	PLA2G1B	black
SLC7A11	SLC7A11	black
LGI3	LGI3	black
CACNA2D2	CACNA2D2	black
CKB	CKB	black
RARRES2	RARRES2	black
SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	black
CFD	CFD	black
TCF21	TCF21	black
UPK3BL///POLR2J3///POLR2J2///POLR2J4	UPK3BL///POLR2J3///POLR2J2///POLR2J4	black
SUSD2	SUSD2	black
AVPI1	AVPI1	black
HEYL	HEYL	black
ZNF845	ZNF845	black
PMM1	PMM1	black
LTBP4	LTBP4	black
FXYD1	FXYD1	black
PLCXD1	PLCXD1	black
PYROXD1	PYROXD1	black
TIPIN	TIPIN	black
PDSS1	PDSS1	black
WDR89	WDR89	black
CYBRD1	CYBRD1	black
AK1	AK1	black
SELENBP1	SELENBP1	black
TIGAR	TIGAR	black
ECHDC2	ECHDC2	black
NMI	NMI	black
POLR3B	POLR3B	black
RIOK2	RIOK2	black
ACSF2	ACSF2	black
RNF141	RNF141	black
LTBP3	LTBP3	black
SEPT4	SEPT4	black
GGCT	GGCT	black
HAUS6	HAUS6	black
PGM2	PGM2	black
CLEC5A	CLEC5A	black
EPHX1	EPHX1	black
BCAM	BCAM	black
GAS6	GAS6	black
PSMC6	PSMC6	black
FKBP14	FKBP14	black
CTSF	CTSF	black
C1D	C1D	black
AXL	AXL	black
LSM3	LSM3	black
PGAP2	PGAP2	black
TMEM38B	TMEM38B	black
FAM98A	FAM98A	black
CISD1	CISD1	black
LRP5	LRP5	black
PARG	PARG	black
CITED2	CITED2	black
MIS12	MIS12	black
ECT2	ECT2	black
FASTKD1	FASTKD1	black
TIMP2	TIMP2	black
PPDPF	PPDPF	black
GATSL2///GATS	GATSL2///GATS	black
MINOS1-NBL1///NBL1	MINOS1-NBL1///NBL1	black
UBE2D1	UBE2D1	black
JUP	JUP	black
UPK3BL///POLR2J3///POLR2J2///POLR2J4///POLR2J	UPK3BL///POLR2J3///POLR2J2///POLR2J4///POLR2J	black
ZFP36L2	ZFP36L2	black
CMSS1	CMSS1	black
CBX7	CBX7	black
PGGT1B	PGGT1B	black
C12orf29	C12orf29	black
CLU	CLU	black
CALCOCO1	CALCOCO1	black
SNX16	SNX16	black
SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-30///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	black
NDRG1	NDRG1	black
MRPL35	MRPL35	black
SERPING1	SERPING1	black
DPH3	DPH3	black
ZNF252P	ZNF252P	black
CALU	CALU	black
CARNMT1	CARNMT1	black
HSPA13	HSPA13	black
SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	SNORD115-24///SNORD115-44///SNORD115-43///SNORD115-42///SNORD115-41///SNORD115-40///SNORD115-39///SNORD115-38///SNORD115-36///SNORD115-34///SNORD115-31///SNORD115-29///SNORD115-26///SNORD115-25///SNORD115-22///SNORD115-21///SNORD115-20///SNORD115-19///SNORD115-18///SNORD115-17///SNORD115-16///SNORD115-15///SNORD115-14///SNORD115-13///SNORD115-12///SNORD115-11///SNORD115-10///SNORD115-9///SNORD115-8///SNORD115-7///SNORD115-6///SNORD115-5///SNORD115-4///SNORD115-3///SNORD115-1///SNRPN	black
DDX55	DDX55	black
TRMT10C	TRMT10C	black
ALKBH8	ALKBH8	black
CCDC59	CCDC59	black
PPID	PPID	black
GPN3	GPN3	black
TRMT61B	TRMT61B	black
ANP32E	ANP32E	black
WDR6	WDR6	black
ZHX2	ZHX2	black
MRPS35	MRPS35	black
XPOT	XPOT	black
SPCS3	SPCS3	black
RFC4	RFC4	black
DNAJB9	DNAJB9	black
GORAB	GORAB	black
EFNA1	EFNA1	black
MXRA7	MXRA7	black
NDUFAF1	NDUFAF1	black
NDUFB6	NDUFB6	black
TCEA3	TCEA3	black
SNRPE	SNRPE	black
LYSMD3	LYSMD3	black
PNRC1	PNRC1	black
MSANTD4	MSANTD4	black
PSMD14	PSMD14	black
TDG	TDG	black
RFC3	RFC3	black
FAM173B	FAM173B	black
EPB41L4A-AS1	EPB41L4A-AS1	black
GSKIP	GSKIP	black
EPRS	EPRS	black
RRM2B	RRM2B	black
H3F3AP4///H3F3A	H3F3AP4///H3F3A	black
MRPS28///TPD52	MRPS28///TPD52	black
NUP37	NUP37	black
TOM1L2	TOM1L2	black
NUDT9	NUDT9	black
RNF219	RNF219	black
BLOC1S2	BLOC1S2	black
CAT	CAT	black
LMBR1L	LMBR1L	black
C12orf4	C12orf4	black
TSEN15	TSEN15	black
TMA16	TMA16	black
CHMP2B	CHMP2B	black
USP54	USP54	black
RANBP6	RANBP6	black
FN3KRP	FN3KRP	black
THUMPD3	THUMPD3	black
TEFM	TEFM	black
PIGB	PIGB	black
LINC00998	LINC00998	black
PHF1	PHF1	black
KTI12///TXNDC12	KTI12///TXNDC12	black
OTUD6B	OTUD6B	black
NOL8	NOL8	black
HDAC5	HDAC5	black
UGGT2	UGGT2	black
AGRN	AGRN	black
ASNS	ASNS	black
YAE1D1	YAE1D1	black
PUS7L	PUS7L	black
PTS	PTS	black
ZC3H8	ZC3H8	black
SDHAP2///SDHAP1///LOC220729	SDHAP2///SDHAP1///LOC220729	black
JRKL	JRKL	black
IL17RE	IL17RE	black
RANBP1	RANBP1	black
FBXO4	FBXO4	black
ZNHIT6	ZNHIT6	black
DLG5	DLG5	black
ITGA3	ITGA3	black
UBLCP1	UBLCP1	black
EXOSC3	EXOSC3	black
GFPT1	GFPT1	black
CLSTN2	CLSTN2	black
RPL22L1	RPL22L1	black
GTF2H1	GTF2H1	black
ZNF143	ZNF143	black
TYW5	TYW5	black
PEBP1	PEBP1	black
MORF4L2	MORF4L2	black
DDAH2	DDAH2	black
ALDH2	ALDH2	black
ZMPSTE24	ZMPSTE24	black
RP2	RP2	black
TWF1	TWF1	black
MTFR1	MTFR1	black
LSM5	LSM5	black
LNPK	LNPK	black
