nodeName	altName	nodeAttr[nodesPresent, ]
BPIFB1	BPIFB1	blue
MS4A8	MS4A8	blue
CLDN1	CLDN1	blue
C20orf85	C20orf85	blue
FAM216B	FAM216B	blue
CP	CP	blue
TSPAN1	TSPAN1	blue
CDHR3	CDHR3	blue
SPAG6	SPAG6	blue
SCGB3A1	SCGB3A1	blue
DNAAF1	DNAAF1	blue
CFAP43	CFAP43	blue
DNAH12	DNAH12	blue
HYDIN2///HYDIN	HYDIN2///HYDIN	blue
DTHD1	DTHD1	blue
SCGB1A1	SCGB1A1	blue
ROPN1L	ROPN1L	blue
MUC15	MUC15	blue
SYNPO2	SYNPO2	blue
C1orf194	C1orf194	blue
DNAH5	DNAH5	blue
SNTN	SNTN	blue
CD24	CD24	blue
CFAP47	CFAP47	blue
TMEM212	TMEM212	blue
CAPS	CAPS	blue
CNN1	CNN1	blue
DNAH11	DNAH11	blue
SCGB3A2	SCGB3A2	blue
MSMB	MSMB	blue
TMEM232	TMEM232	blue
PLN	PLN	blue
WDR49	WDR49	blue
SPATA18	SPATA18	blue
ZBBX	ZBBX	blue
KIAA1324	KIAA1324	blue
PIFO	PIFO	blue
SAXO2	SAXO2	blue
ACTG2	ACTG2	blue
RP1	RP1	blue
LTF	LTF	blue
MYH11	MYH11	blue
RSPH1	RSPH1	blue
MAP1B	MAP1B	blue
CHST9	CHST9	blue
GSTA1	GSTA1	blue
LRRC46	LRRC46	blue
CFAP44	CFAP44	blue
LOC100506990	LOC100506990	blue
CAP2	CAP2	blue
PRSS12	PRSS12	blue
DES	DES	blue
SLC27A2	SLC27A2	blue
RSPH4A	RSPH4A	blue
TPPP3	TPPP3	blue
FHDC1	FHDC1	blue
DSP	DSP	blue
DNAJA4	DNAJA4	blue
DRC3	DRC3	blue
CASQ2	CASQ2	blue
CCDC146	CCDC146	blue
SLC46A2	SLC46A2	blue
ABCA13	ABCA13	blue
AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	blue
DNAH6	DNAH6	blue
CLIC6	CLIC6	blue
ALOX15	ALOX15	blue
UBXN10	UBXN10	blue
GRAMD3	GRAMD3	blue
DNAH7	DNAH7	blue
CFAP69	CFAP69	blue
SMOC2	SMOC2	blue
PLAC8	PLAC8	blue
SPATA17	SPATA17	blue
DNAH9	DNAH9	blue
PRUNE2	PRUNE2	blue
HYDIN	HYDIN	blue
EFCAB1	EFCAB1	blue
FABP6	FABP6	blue
FANK1	FANK1	blue
EHF	EHF	blue
GCLC	GCLC	blue
NOV	NOV	blue
PPIL6	PPIL6	blue
LOC100131581	LOC100131581	blue
STK33	STK33	blue
SPAG17	SPAG17	blue
PROM1	PROM1	blue
TPM2	TPM2	blue
DNAH10	DNAH10	blue
FAM106CP///FAM106A	FAM106CP///FAM106A	blue
SLITRK6	SLITRK6	blue
FAM183A	FAM183A	blue
ARMC3	ARMC3	blue
LRRC23	LRRC23	blue
WDR78	WDR78	blue
AGR3	AGR3	blue
KIF27	KIF27	blue
AKAP6	AKAP6	blue
LDLRAD1	LDLRAD1	blue
SLC44A4	SLC44A4	blue
CFAP157	CFAP157	blue
TCTN2	TCTN2	blue
DLEC1	DLEC1	blue
PRH1-PRR4///PRR4	PRH1-PRR4///PRR4	blue
LRRIQ1	LRRIQ1	blue
PACRG	PACRG	blue
CCDC113	CCDC113	blue
RSPH10B2///RSPH10B	RSPH10B2///RSPH10B	blue
C1orf87	C1orf87	blue
C12orf75	C12orf75	blue
ENKUR	ENKUR	blue
CEP126	CEP126	blue
IGFBP2	IGFBP2	blue
MLF1	MLF1	blue
TEKT1	TEKT1	blue
ACTA2	ACTA2	blue
LY75-CD302///LY75	LY75-CD302///LY75	blue
KLK11	KLK11	blue
DYNC2H1	DYNC2H1	blue
TSPAN6	TSPAN6	blue
C11orf88	C11orf88	blue
CFAP206	CFAP206	blue
EFHC1	EFHC1	blue
KIAA0825	KIAA0825	blue
C10orf107	C10orf107	blue
MYOCD	MYOCD	blue
ERICH3	ERICH3	blue
VWA3A	VWA3A	blue
CFAP126	CFAP126	blue
KCNE1	KCNE1	blue
PLEKHS1	PLEKHS1	blue
IQCG	IQCG	blue
ALDH1A1	ALDH1A1	blue
ZMYND10	ZMYND10	blue
RCAN2	RCAN2	blue
C2orf40	C2orf40	blue
CCDC17	CCDC17	blue
NEK10	NEK10	blue
CISH	CISH	blue
FAM227A	FAM227A	blue
ADAM28	ADAM28	blue
TMEM231	TMEM231	blue
BPIFA1	BPIFA1	blue
VWA3B	VWA3B	blue
FLNC	FLNC	blue
FAM81B	FAM81B	blue
EFCAB2	EFCAB2	blue
CFAP54	CFAP54	blue
IFT57	IFT57	blue
NEK5	NEK5	blue
LIMD1-AS1	LIMD1-AS1	blue
DZIP3	DZIP3	blue
C1orf168	C1orf168	blue
LPAR3	LPAR3	blue
CETN2	CETN2	blue
DNAH3	DNAH3	blue
CAPS2	CAPS2	blue
IFITM10	IFITM10	blue
ALS2CR12	ALS2CR12	blue
PRKAA2	PRKAA2	blue
MORN2	MORN2	blue
CXCL14	CXCL14	blue
WDR66	WDR66	blue
DNAI1	DNAI1	blue
CFAP221	CFAP221	blue
SLC2A1	SLC2A1	blue
TAGLN	TAGLN	blue
WDR38	WDR38	blue
WFDC2	WFDC2	blue
CAPN13	CAPN13	blue
INPP4B	INPP4B	blue
FRMPD2	FRMPD2	blue
PFN2	PFN2	blue
CC2D2A	CC2D2A	blue
IFT172	IFT172	blue
TMEM67	TMEM67	blue
USP32P2///USP32P1	USP32P2///USP32P1	blue
CFAP70	CFAP70	blue
DNALI1	DNALI1	blue
ABCC4	ABCC4	blue
CFAP52	CFAP52	blue
THNSL2	THNSL2	blue
C8orf34	C8orf34	blue
AGBL2	AGBL2	blue
ERP27	ERP27	blue
ZNF474	ZNF474	blue
VNN3	VNN3	blue
PTPN20	PTPN20	blue
MAPK10	MAPK10	blue
SORD	SORD	blue
PLXND1	PLXND1	blue
ZNF487	ZNF487	blue
NUDT7	NUDT7	blue
LRIG1	LRIG1	blue
DAW1	DAW1	blue
