nodeName	altName	nodeAttr[nodesPresent, ]
ITGA2	ITGA2	brown
PTX3	PTX3	brown
PPP1R3C	PPP1R3C	brown
SNORD6///TAF1D	SNORD6///TAF1D	brown
ABCA9	ABCA9	brown
MTHFD1L	MTHFD1L	brown
CYP4B1	CYP4B1	brown
NABP1	NABP1	brown
SLC7A1	SLC7A1	brown
MAMDC2	MAMDC2	brown
SFN	SFN	brown
SNORD45B	SNORD45B	brown
SNORA75	SNORA75	brown
ADHFE1	ADHFE1	brown
SLC39A14	SLC39A14	brown
PAPPA	PAPPA	brown
SNORA62	SNORA62	brown
3-Mar	3-Mar	brown
MIR22HG	MIR22HG	brown
GK3P///GK	GK3P///GK	brown
SNORD30	SNORD30	brown
FAXDC2	FAXDC2	brown
DDX21	DDX21	brown
MIR4435-2HG///LINC00152	MIR4435-2HG///LINC00152	brown
ABCA6	ABCA6	brown
PNP	PNP	brown
EID3	EID3	brown
SNORD74	SNORD74	brown
GAS5///SNORD80	GAS5///SNORD80	brown
SNORD78	SNORD78	brown
GK3P	GK3P	brown
LIPG	LIPG	brown
SNORD109B///SNORD109A	SNORD109B///SNORD109A	brown
SNORD34	SNORD34	brown
RNF182	RNF182	brown
KLHL24	KLHL24	brown
RNU4-2	RNU4-2	brown
HSPH1	HSPH1	brown
PDK2	PDK2	brown
ATP13A3	ATP13A3	brown
SLC16A7	SLC16A7	brown
SNORD49A	SNORD49A	brown
SNHG1///SNORD27	SNHG1///SNORD27	brown
PIK3IP1	PIK3IP1	brown
TMEM37	TMEM37	brown
BAMBI	BAMBI	brown
SNORA9///SNHG15	SNORA9///SNHG15	brown
ARHGAP28	ARHGAP28	brown
PLSCR1	PLSCR1	brown
MCTP1	MCTP1	brown
KYNU	KYNU	brown
PTCH1	PTCH1	brown
TXNRD1	TXNRD1	brown
SNORD42B///CEP164	SNORD42B///CEP164	brown
RNU4-1	RNU4-1	brown
SLC41A2	SLC41A2	brown
SNORD43	SNORD43	brown
YPEL1	YPEL1	brown
SNHG17	SNHG17	brown
SNORD75	SNORD75	brown
SNORD53	SNORD53	brown
GAS5///SNORD47	GAS5///SNORD47	brown
SNRPD1	SNRPD1	brown
TOB1	TOB1	brown
SNORD58A	SNORD58A	brown
SNORD73A///RPS3A	SNORD73A///RPS3A	brown
SNORA40///TAF1D	SNORA40///TAF1D	brown
IL1RAP	IL1RAP	brown
SNORD45A	SNORD45A	brown
LTV1	LTV1	brown
SNORD50A	SNORD50A	brown
SNORA61///SNHG12	SNORA61///SNHG12	brown
SNHG1///SNORD26	SNHG1///SNORD26	brown
ACSS3	ACSS3	brown
SNORD50B	SNORD50B	brown
SNORD12C	SNORD12C	brown
CLDN11	CLDN11	brown
BZW2	BZW2	brown
SNORD44	SNORD44	brown
SNHG1///SNORD25	SNHG1///SNORD25	brown
ALPK1	ALPK1	brown
CCBE1	CCBE1	brown
SNORA1///TAF1D	SNORA1///TAF1D	brown
SLC25A27	SLC25A27	brown
TAF13	TAF13	brown
SPATA6	SPATA6	brown
NPNT	NPNT	brown
PANX1	PANX1	brown
PUM3	PUM3	brown
SNORD79	SNORD79	brown
HIF1A	HIF1A	brown
ALDH1B1	ALDH1B1	brown
SLC5A6	SLC5A6	brown
PDGFB	PDGFB	brown
UCHL3	UCHL3	brown
DNTTIP2	DNTTIP2	brown
TNFRSF11B	TNFRSF11B	brown
ZNF267	ZNF267	brown
SNORD5///TAF1D	SNORD5///TAF1D	brown
SNORD24///RPL7A	SNORD24///RPL7A	brown
YPEL2	YPEL2	brown
NOL6	NOL6	brown
SNHG17///SNORA71B	SNHG17///SNORA71B	brown
NYNRIN	NYNRIN	brown
ST20-MTHFS///MTHFS	ST20-MTHFS///MTHFS	brown
PLCG1	PLCG1	brown
GLCCI1	GLCCI1	brown
SH3D19	SH3D19	brown
KIAA1328	KIAA1328	brown
ETV1	ETV1	brown
MYLIP	MYLIP	brown
FKBP11	FKBP11	brown
SNORD52	SNORD52	brown
CEP192	CEP192	brown
PNO1///PNO1	PNO1///PNO1	brown
SLC40A1	SLC40A1	brown
DAAM2	DAAM2	brown
ZNF385D	ZNF385D	brown
PTPN2	PTPN2	brown
CTPS1	CTPS1	brown
NUFIP1	NUFIP1	brown
SNORD21	SNORD21	brown
SLC35E2	SLC35E2	brown
APBB2	APBB2	brown
RRP12	RRP12	brown
C1orf116	C1orf116	brown
CREBRF	CREBRF	brown
HBP1	HBP1	brown
FAM20C	FAM20C	brown
PIGW	PIGW	brown
NCR3LG1	NCR3LG1	brown
GNPNAT1	GNPNAT1	brown
SACS	SACS	brown
PUS7	PUS7	brown
SNHG1///SNORD31	SNHG1///SNORD31	brown
SLC7A5	SLC7A5	brown
NOC3L	NOC3L	brown
ESF1	ESF1	brown
P4HA1///P4HA1	P4HA1///P4HA1	brown
SNORD81	SNORD81	brown
SNORD1A	SNORD1A	brown
THRA	THRA	brown
GNL3	GNL3	brown
ALDH7A1	ALDH7A1	brown
UTP4	UTP4	brown
BNIPL	BNIPL	brown
SNORD54	SNORD54	brown
CTDSPL	CTDSPL	brown
DNAJA1	DNAJA1	brown
NOP2	NOP2	brown
ATXN7L1	ATXN7L1	brown
GPCPD1	GPCPD1	brown
MBOAT1	MBOAT1	brown
POLR1A///POLR1A	POLR1A///POLR1A	brown
PAK1IP1	PAK1IP1	brown
LLPH///LLPH-AS1///LLPH	LLPH///LLPH-AS1///LLPH	brown
ATG14	ATG14	brown
FAM185A	FAM185A	brown
AGPAT5	AGPAT5	brown
ARHGAP35	ARHGAP35	brown
SNORD15A	SNORD15A	brown
EBNA1BP2	EBNA1BP2	brown
SNORA38	SNORA38	brown
KCNJ8	KCNJ8	brown
LRRC37A2///LRRC37A6P///LRRC37A3///LRRC37A4P///LRRC37A	LRRC37A2///LRRC37A6P///LRRC37A3///LRRC37A4P///LRRC37A	brown
MPZL2	MPZL2	brown
LRRC59	LRRC59	brown
WWC1	WWC1	brown
IPO4	IPO4	brown
NOLC1	NOLC1	brown
ARNTL2	ARNTL2	brown
KDM3A	KDM3A	brown
UBASH3B	UBASH3B	brown
LYRM9	LYRM9	brown
EVC	EVC	brown
LDHA	LDHA	brown
GCLM	GCLM	brown
DAPK1	DAPK1	brown
ZNF69	ZNF69	brown
ABCE1	ABCE1	brown
ADD3	ADD3	brown
NIP7	NIP7	brown
WISP1	WISP1	brown
SLC35E2B	SLC35E2B	brown
TIMM17A	TIMM17A	brown
SEMA6B	SEMA6B	brown
RPF2	RPF2	brown
VDR	VDR	brown
SNORD36B	SNORD36B	brown
TAF1D	TAF1D	brown
SNORA24	SNORA24	brown
SEH1L	SEH1L	brown
KLHDC2	KLHDC2	brown
YPEL3	YPEL3	brown
STK17A	STK17A	brown
MAK16	MAK16	brown
