nodeName	altName	nodeAttr[nodesPresent, ]
TNFRSF12A	TNFRSF12A	cyan
IL4R	IL4R	cyan
TAS2R14	TAS2R14	cyan
TAS2R20	TAS2R20	cyan
FRRS1	FRRS1	cyan
TAS2R31	TAS2R31	cyan
ZDHHC9	ZDHHC9	cyan
GIMAP2	GIMAP2	cyan
SLFN12	SLFN12	cyan
TNFAIP1	TNFAIP1	cyan
SAMD9	SAMD9	cyan
TMEM14A	TMEM14A	cyan
SKA2	SKA2	cyan
ARL6	ARL6	cyan
LYPLAL1	LYPLAL1	cyan
TAS2R4	TAS2R4	cyan
CRYZ	CRYZ	cyan
HLTF	HLTF	cyan
TAS2R13	TAS2R13	cyan
MIR15A	MIR15A	cyan
MSH2	MSH2	cyan
ASF1A	ASF1A	cyan
TAS2R50	TAS2R50	cyan
DLEU2	DLEU2	cyan
PPIL3	PPIL3	cyan
TRIM23	TRIM23	cyan
ZNF320	ZNF320	cyan
C4orf46	C4orf46	cyan
TMEM184B	TMEM184B	cyan
TAS2R19	TAS2R19	cyan
SETDB2	SETDB2	cyan
TARBP1	TARBP1	cyan
WDSUB1	WDSUB1	cyan
C14orf28	C14orf28	cyan
TAS2R46	TAS2R46	cyan
FAM129B	FAM129B	cyan
C21orf91	C21orf91	cyan
ZNF594	ZNF594	cyan
ZNF761	ZNF761	cyan
SMIM8	SMIM8	cyan
RAP2A	RAP2A	cyan
KBTBD7	KBTBD7	cyan
CD40	CD40	cyan
PIM3	PIM3	cyan
AGO2	AGO2	cyan
IMPA1	IMPA1	cyan
ZNF616	ZNF616	cyan
C8orf44-SGK3///C8orf44	C8orf44-SGK3///C8orf44	cyan
NAPEPLD	NAPEPLD	cyan
FPGT-TNNI3K///FPGT	FPGT-TNNI3K///FPGT	cyan
CMIP	CMIP	cyan
TMPO	TMPO	cyan
HIBCH	HIBCH	cyan
TLR3	TLR3	cyan
NHLRC3	NHLRC3	cyan
TEAD3	TEAD3	cyan
TBC1D19	TBC1D19	cyan
LRIF1	LRIF1	cyan
ECHDC1	ECHDC1	cyan
RMDN1	RMDN1	cyan
LDAH	LDAH	cyan
TMLHE	TMLHE	cyan
HAUS3	HAUS3	cyan
PRIM1	PRIM1	cyan
ZNF780B	ZNF780B	cyan
CBR4	CBR4	cyan
PACSIN2	PACSIN2	cyan
MAP2K6	MAP2K6	cyan
SDHD	SDHD	cyan
C9orf85	C9orf85	cyan
OMA1	OMA1	cyan
SRF	SRF	cyan
ATG4C	ATG4C	cyan
SNRNP48	SNRNP48	cyan
MOSPD2	MOSPD2	cyan
CARD8	CARD8	cyan
SLC25A40	SLC25A40	cyan
ZNF441	ZNF441	cyan
ZNF260	ZNF260	cyan
TBC1D8B	TBC1D8B	cyan
PLEKHM1	PLEKHM1	cyan
MRE11A	MRE11A	cyan
METTL4	METTL4	cyan
TRMT13	TRMT13	cyan
ZNF816-ZNF321P///ZNF321P	ZNF816-ZNF321P///ZNF321P	cyan
PDLIM1	PDLIM1	cyan
TNFRSF1A	TNFRSF1A	cyan
ZNF234	ZNF234	cyan
AASDH	AASDH	cyan
AGL	AGL	cyan
ZNF780A	ZNF780A	cyan
RBM45	RBM45	cyan
CEP44	CEP44	cyan
RBM12B	RBM12B	cyan
MINPP1	MINPP1	cyan
VRK1	VRK1	cyan
ACVR1B	ACVR1B	cyan
CASP8AP2	CASP8AP2	cyan
ZNFX1	ZNFX1	cyan
RBM48	RBM48	cyan
FAM65A	FAM65A	cyan
ZFAND1	ZFAND1	cyan
CCDC25	CCDC25	cyan
TRIM8	TRIM8	cyan
ZBTB41	ZBTB41	cyan
KLHL28	KLHL28	cyan
DPY30	DPY30	cyan
TRMT1L	TRMT1L	cyan
ZNF799	ZNF799	cyan
JPX	JPX	cyan
GMCL1	GMCL1	cyan
FURIN	FURIN	cyan
MAPKAPK2	MAPKAPK2	cyan
TMEM56-RWDD3///RWDD3	TMEM56-RWDD3///RWDD3	cyan
ST3GAL1	ST3GAL1	cyan
BIN3	BIN3	cyan
ZMYM1	ZMYM1	cyan
ING3	ING3	cyan
ZNF253	ZNF253	cyan
LINC00909	LINC00909	cyan
POT1	POT1	cyan
CEP295	CEP295	cyan
GNPDA2	GNPDA2	cyan
MCEE	MCEE	cyan
SRBD1	SRBD1	cyan
RELA	RELA	cyan
ETAA1	ETAA1	cyan
ZNF32	ZNF32	cyan
FAM200B	FAM200B	cyan
ANKRD49	ANKRD49	cyan
PIGK	PIGK	cyan
RAD50	RAD50	cyan
ZNF627///ZNF627	ZNF627///ZNF627	cyan
ARMT1	ARMT1	cyan
SLX4IP	SLX4IP	cyan
DTD2	DTD2	cyan
NEDD1	NEDD1	cyan
ELMOD2	ELMOD2	cyan
ZNF566	ZNF566	cyan
ABHD10	ABHD10	cyan
IL6R	IL6R	cyan
LRIG2	LRIG2	cyan
L3HYPDH	L3HYPDH	cyan
SDCCAG8	SDCCAG8	cyan
ZBED8	ZBED8	cyan
JMJD6	JMJD6	cyan
ANKRD26	ANKRD26	cyan
SEPSECS	SEPSECS	cyan
ZNF701	ZNF701	cyan
BPNT1	BPNT1	cyan
YEATS4	YEATS4	cyan
COG6	COG6	cyan
ETFDH	ETFDH	cyan
RTP4	RTP4	cyan
TTC8	TTC8	cyan
ZNF138	ZNF138	cyan
