nodeName	altName	nodeAttr[nodesPresent, ]
ADGRE5	ADGRE5	darkgreen
LOC100287934///LOC100287497	LOC100287934///LOC100287497	darkgreen
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2	GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2	darkgreen
DPH6	DPH6	darkgreen
APOOL	APOOL	darkgreen
MYEF2	MYEF2	darkgreen
KIAA1586	KIAA1586	darkgreen
LRP1	LRP1	darkgreen
ZNF625-ZNF20	ZNF625-ZNF20	darkgreen
LGALS3BP	LGALS3BP	darkgreen
MOCS2	MOCS2	darkgreen
TMEM65	TMEM65	darkgreen
PYGB	PYGB	darkgreen
ZNF721	ZNF721	darkgreen
SLC35B3	SLC35B3	darkgreen
THUMPD2	THUMPD2	darkgreen
MIR520C///MIR520B	MIR520C///MIR520B	darkgreen
COMMD2	COMMD2	darkgreen
NBN	NBN	darkgreen
MGAT4A	MGAT4A	darkgreen
FRG1	FRG1	darkgreen
C4orf33	C4orf33	darkgreen
GXYLT1	GXYLT1	darkgreen
EMD	EMD	darkgreen
PLS1	PLS1	darkgreen
G2E3	G2E3	darkgreen
NIPSNAP3A	NIPSNAP3A	darkgreen
ZNF326	ZNF326	darkgreen
SNORD115-14	SNORD115-14	darkgreen
FAM221A	FAM221A	darkgreen
ZMIZ1	ZMIZ1	darkgreen
ARL14EP	ARL14EP	darkgreen
ZNF790	ZNF790	darkgreen
WBP4	WBP4	darkgreen
NUBPL	NUBPL	darkgreen
PLEKHM2	PLEKHM2	darkgreen
MIPOL1	MIPOL1	darkgreen
ANXA6	ANXA6	darkgreen
RCN2	RCN2	darkgreen
CRYGS///CRYGS	CRYGS///CRYGS	darkgreen
ESYT1	ESYT1	darkgreen
ARHGAP1	ARHGAP1	darkgreen
GOLGA4	GOLGA4	darkgreen
ZYX	ZYX	darkgreen
SCLT1	SCLT1	darkgreen
CCDC91	CCDC91	darkgreen
SLC35A3	SLC35A3	darkgreen
CEP290	CEP290	darkgreen
COPS2	COPS2	darkgreen
EHD2	EHD2	darkgreen
ABCA11P	ABCA11P	darkgreen
CSNK1G3	CSNK1G3	darkgreen
HSBP1	HSBP1	darkgreen
ZNF33A	ZNF33A	darkgreen
RPE	RPE	darkgreen
ROCK1	ROCK1	darkgreen
IQSEC1	IQSEC1	darkgreen
POLR2A	POLR2A	darkgreen
PLXNB2	PLXNB2	darkgreen
SCYL2	SCYL2	darkgreen
SNORD115-4	SNORD115-4	darkgreen
PPT2-EGFL8///AGPAT1	PPT2-EGFL8///AGPAT1	darkgreen
CCDC126	CCDC126	darkgreen
ZNF22	ZNF22	darkgreen
CNN2	CNN2	darkgreen
ZDHHC17	ZDHHC17	darkgreen
RSL24D1	RSL24D1	darkgreen
TMEM267	TMEM267	darkgreen
RNMT	RNMT	darkgreen
MYSM1	MYSM1	darkgreen
SCARNA8	SCARNA8	darkgreen
UPF1	UPF1	darkgreen
ANAPC10	ANAPC10	darkgreen
LYRM5	LYRM5	darkgreen
TMTC3	TMTC3	darkgreen
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1	CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1	darkgreen
COX20	COX20	darkgreen
RAP1A	RAP1A	darkgreen
POC1B	POC1B	darkgreen
ZNF107	ZNF107	darkgreen
XPO4	XPO4	darkgreen
PACS1	PACS1	darkgreen
NOTCH2	NOTCH2	darkgreen
SEPT7	SEPT7	darkgreen
SNORD115-42///SNORD115-40///SNORD115-21///SNORD115-6	SNORD115-42///SNORD115-40///SNORD115-21///SNORD115-6	darkgreen
ESCO1	ESCO1	darkgreen
TRIP11	TRIP11	darkgreen
