nodeName	altName	nodeAttr[nodesPresent, ]
THY1	THY1	darkgrey
ASPN	ASPN	darkgrey
PRG4	PRG4	darkgrey
TM4SF18	TM4SF18	darkgrey
COL6A6	COL6A6	darkgrey
ITGBL1	ITGBL1	darkgrey
ROBO2	ROBO2	darkgrey
CCDC80	CCDC80	darkgrey
SFRP4	SFRP4	darkgrey
NREP	NREP	darkgrey
FRAS1	FRAS1	darkgrey
LYVE1	LYVE1	darkgrey
CD34	CD34	darkgrey
LTBP2	LTBP2	darkgrey
MXRA5	MXRA5	darkgrey
CXCL12	CXCL12	darkgrey
PIEZO2	PIEZO2	darkgrey
CCL21	CCL21	darkgrey
DPT	DPT	darkgrey
HMCN1	HMCN1	darkgrey
H19///RPS12	H19///RPS12	darkgrey
ENPEP	ENPEP	darkgrey
TSHZ2	TSHZ2	darkgrey
CEACAM6	CEACAM6	darkgrey
COL14A1	COL14A1	darkgrey
SEMA3D	SEMA3D	darkgrey
OLFML1	OLFML1	darkgrey
PDE7B	PDE7B	darkgrey
APLNR	APLNR	darkgrey
MEOX2	MEOX2	darkgrey
GLT8D2	GLT8D2	darkgrey
COL15A1	COL15A1	darkgrey
LINC01140	LINC01140	darkgrey
CA12	CA12	darkgrey
PLPPR4	PLPPR4	darkgrey
PTCHD4	PTCHD4	darkgrey
ECM2	ECM2	darkgrey
FREM1	FREM1	darkgrey
PAMR1	PAMR1	darkgrey
ANGPTL2	ANGPTL2	darkgrey
GPC6	GPC6	darkgrey
PLVAP	PLVAP	darkgrey
CTSK	CTSK	darkgrey
CFH	CFH	darkgrey
EPHA4	EPHA4	darkgrey
SEMA3C	SEMA3C	darkgrey
ANTXR1	ANTXR1	darkgrey
PSD3	PSD3	darkgrey
MFAP2	MFAP2	darkgrey
FRMD6	FRMD6	darkgrey
SULF1	SULF1	darkgrey
GXYLT2	GXYLT2	darkgrey
EPHA3	EPHA3	darkgrey
ENAH	ENAH	darkgrey
RYR2	RYR2	darkgrey
ADAMTS12	ADAMTS12	darkgrey
BICC1	BICC1	darkgrey
GPRC5B	GPRC5B	darkgrey
HEPH	HEPH	darkgrey
LOC100131826	LOC100131826	darkgrey
PDE1A	PDE1A	darkgrey
PDGFD	PDGFD	darkgrey
LOC100996333///ADGRA3	LOC100996333///ADGRA3	darkgrey
ITGA9	ITGA9	darkgrey
ABCB1	ABCB1	darkgrey
TMC7	TMC7	darkgrey
FLRT2	FLRT2	darkgrey
LRP4	LRP4	darkgrey
LUM	LUM	darkgrey
HSPG2	HSPG2	darkgrey
CACNA1C	CACNA1C	darkgrey
ASPA	ASPA	darkgrey
RASGRF2	RASGRF2	darkgrey
TBC1D8	TBC1D8	darkgrey
ROBO1	ROBO1	darkgrey
ANK2	ANK2	darkgrey
PDZRN3	PDZRN3	darkgrey
IGFBP7	IGFBP7	darkgrey
LAMP5	LAMP5	darkgrey
CPXM2	CPXM2	darkgrey
MGP	MGP	darkgrey
SYT11	SYT11	darkgrey
ZNF436	ZNF436	darkgrey
SPRY1	SPRY1	darkgrey
PDGFRL	PDGFRL	darkgrey
MICAL3	MICAL3	darkgrey
BNC2	BNC2	darkgrey
CCDC69	CCDC69	darkgrey
FBLN2	FBLN2	darkgrey
PRCP	PRCP	darkgrey
SLC29A1	SLC29A1	darkgrey
ENTPD1	ENTPD1	darkgrey
SOX5	SOX5	darkgrey
PLXDC1	PLXDC1	darkgrey
FAM180A	FAM180A	darkgrey
ADGRA2	ADGRA2	darkgrey
PDE2A	PDE2A	darkgrey
ADAMTSL1	ADAMTSL1	darkgrey
SEPT8	SEPT8	darkgrey
AFAP1	AFAP1	darkgrey
SERINC5	SERINC5	darkgrey
NFASC	NFASC	darkgrey
LRRC17	LRRC17	darkgrey
ATP1B2	ATP1B2	darkgrey
SCN4B	SCN4B	darkgrey
SCARA3	SCARA3	darkgrey
MGC24103	MGC24103	darkgrey
RBFOX2	RBFOX2	darkgrey
ARHGEF25	ARHGEF25	darkgrey
ACOX2	ACOX2	darkgrey
KCNE4	KCNE4	darkgrey
SH3PXD2A	SH3PXD2A	darkgrey
HPSE2	HPSE2	darkgrey
NFIX	NFIX	darkgrey
ANO3	ANO3	darkgrey
TTYH2	TTYH2	darkgrey
ARSE	ARSE	darkgrey
ANO4	ANO4	darkgrey
ADAMTS6	ADAMTS6	darkgrey
ST5	ST5	darkgrey
PRTFDC1	PRTFDC1	darkgrey
NALCN	NALCN	darkgrey
VIM	VIM	darkgrey
SCUBE2	SCUBE2	darkgrey
SLC4A5	SLC4A5	darkgrey
CACNB3	CACNB3	darkgrey
FNDC1	FNDC1	darkgrey
TP53BP1	TP53BP1	darkgrey
KDM5B	KDM5B	darkgrey
ST3GAL4	ST3GAL4	darkgrey
EFEMP1	EFEMP1	darkgrey
METTL24	METTL24	darkgrey
F2RL2	F2RL2	darkgrey
UNC5C	UNC5C	darkgrey
BOC	BOC	darkgrey
MDK	MDK	darkgrey
FOLH1B///FOLH1	FOLH1B///FOLH1	darkgrey
SGK223	SGK223	darkgrey
MLLT11	MLLT11	darkgrey
TRAK1	TRAK1	darkgrey
ABCA2	ABCA2	darkgrey
SLC6A1	SLC6A1	darkgrey
CTHRC1	CTHRC1	darkgrey
BCL11A	BCL11A	darkgrey
TNFRSF25	TNFRSF25	darkgrey
WHSC1	WHSC1	darkgrey
DPYS	DPYS	darkgrey
UBE2E2	UBE2E2	darkgrey
MMP16	MMP16	darkgrey
CDH2	CDH2	darkgrey
KLHL4	KLHL4	darkgrey
COL16A1	COL16A1	darkgrey
C3orf70	C3orf70	darkgrey
PAM	PAM	darkgrey
