nodeName	altName	nodeAttr[nodesPresent, ]
PI15	PI15	darkmagenta
COL3A1	COL3A1	darkmagenta
COL1A1	COL1A1	darkmagenta
FAP	FAP	darkmagenta
THBS2	THBS2	darkmagenta
EGFL6	EGFL6	darkmagenta
HGF	HGF	darkmagenta
MOXD1	MOXD1	darkmagenta
COL6A5	COL6A5	darkmagenta
COL5A2	COL5A2	darkmagenta
CDH6	CDH6	darkmagenta
PLAT	PLAT	darkmagenta
CCDC102B	CCDC102B	darkmagenta
COL6A3	COL6A3	darkmagenta
COL4A1	COL4A1	darkmagenta
NID2	NID2	darkmagenta
COL1A2///COL1A2	COL1A2///COL1A2	darkmagenta
IGF1	IGF1	darkmagenta
SULF2	SULF2	darkmagenta
COL4A2	COL4A2	darkmagenta
SLIT3	SLIT3	darkmagenta
CDH11	CDH11	darkmagenta
PCOLCE	PCOLCE	darkmagenta
MRC2	MRC2	darkmagenta
BGN	BGN	darkmagenta
KIRREL	KIRREL	darkmagenta
GJC1	GJC1	darkmagenta
AEBP1	AEBP1	darkmagenta
FBN1	FBN1	darkmagenta
MCAM	MCAM	darkmagenta
MMP2	MMP2	darkmagenta
PXDN	PXDN	darkmagenta
NCAM2	NCAM2	darkmagenta
GPX8	GPX8	darkmagenta
NR2F1	NR2F1	darkmagenta
MYO1E	MYO1E	darkmagenta
OLFML2B	OLFML2B	darkmagenta
SPATA20	SPATA20	darkmagenta
FKBP10	FKBP10	darkmagenta
PODN	PODN	darkmagenta
FBLN1	FBLN1	darkmagenta
NRCAM	NRCAM	darkmagenta
SPARC	SPARC	darkmagenta
NOTCH3	NOTCH3	darkmagenta
CD4	CD4	darkmagenta
CD248	CD248	darkmagenta
PPIC	PPIC	darkmagenta
FN1	FN1	darkmagenta
LOXL2	LOXL2	darkmagenta
RSPO3	RSPO3	darkmagenta
PDGFRB///PDGFRB	PDGFRB///PDGFRB	darkmagenta
COL6A1	COL6A1	darkmagenta
EFEMP2	EFEMP2	darkmagenta
EHD4	EHD4	darkmagenta
KDELC1	KDELC1	darkmagenta
FMOD	FMOD	darkmagenta
ITGB5	ITGB5	darkmagenta
TMEM119	TMEM119	darkmagenta
PMP22	PMP22	darkmagenta
SEPT11	SEPT11	darkmagenta
LXN	LXN	darkmagenta
HTRA1	HTRA1	darkmagenta
HS2ST1	HS2ST1	darkmagenta
ADAM9	ADAM9	darkmagenta
SMDT1	SMDT1	darkmagenta
EIF4E3	EIF4E3	darkmagenta
ROR2	ROR2	darkmagenta
COL6A2	COL6A2	darkmagenta
DBN1	DBN1	darkmagenta
LOXL1	LOXL1	darkmagenta
ADAM12	ADAM12	darkmagenta
SNX9	SNX9	darkmagenta
TRIO	TRIO	darkmagenta
MAGED1	MAGED1	darkmagenta
CHD3	CHD3	darkmagenta
COL5A1	COL5A1	darkmagenta
GNB4	GNB4	darkmagenta
CNPY4	CNPY4	darkmagenta
TIMM10B	TIMM10B	darkmagenta
MAGED4///MAGED4B	MAGED4///MAGED4B	darkmagenta
A2M	A2M	darkmagenta
