nodeName	altName	nodeAttr[nodesPresent, ]
IL1R2	IL1R2	darkolivegreen
CD163	CD163	darkolivegreen
SERPINA3	SERPINA3	darkolivegreen
SLC1A3	SLC1A3	darkolivegreen
GLDN	GLDN	darkolivegreen
IL18RAP	IL18RAP	darkolivegreen
SH3PXD2B	SH3PXD2B	darkolivegreen
FAM65B	FAM65B	darkolivegreen
SULT1B1	SULT1B1	darkolivegreen
CTNNAL1	CTNNAL1	darkolivegreen
FMN1	FMN1	darkolivegreen
SLC11A1	SLC11A1	darkolivegreen
SLA	SLA	darkolivegreen
MERTK	MERTK	darkolivegreen
VNN1	VNN1	darkolivegreen
BCAT1	BCAT1	darkolivegreen
SMAP2	SMAP2	darkolivegreen
GGT5	GGT5	darkolivegreen
SLAMF8	SLAMF8	darkolivegreen
TCN2	TCN2	darkolivegreen
HCLS1	HCLS1	darkolivegreen
PLIN2	PLIN2	darkolivegreen
FGR	FGR	darkolivegreen
TMIGD3///ADORA3///TMIGD3///ADORA3	TMIGD3///ADORA3///TMIGD3///ADORA3	darkolivegreen
PREX1	PREX1	darkolivegreen
C3AR1	C3AR1	darkolivegreen
CD84	CD84	darkolivegreen
MS4A4A	MS4A4A	darkolivegreen
CDON	CDON	darkolivegreen
NRN1	NRN1	darkolivegreen
GPR34	GPR34	darkolivegreen
BCL6B	BCL6B	darkolivegreen
RNASE6	RNASE6	darkolivegreen
CCND1	CCND1	darkolivegreen
PODXL	PODXL	darkolivegreen
SLC7A8	SLC7A8	darkolivegreen
PMEPA1	PMEPA1	darkolivegreen
PRR5L	PRR5L	darkolivegreen
MRC1	MRC1	darkolivegreen
TLR4	TLR4	darkolivegreen
ADAMTS2	ADAMTS2	darkolivegreen
VEGFA	VEGFA	darkolivegreen
SLC31A2	SLC31A2	darkolivegreen
ARHGAP20	ARHGAP20	darkolivegreen
MAFB	MAFB	darkolivegreen
MS4A6A	MS4A6A	darkolivegreen
C1orf54	C1orf54	darkolivegreen
MCU	MCU	darkolivegreen
DLC1	DLC1	darkolivegreen
SH2D4A	SH2D4A	darkolivegreen
TBXAS1	TBXAS1	darkolivegreen
CD82	CD82	darkolivegreen
DSE	DSE	darkolivegreen
C10orf11	C10orf11	darkolivegreen
MEF2C	MEF2C	darkolivegreen
SOAT1	SOAT1	darkolivegreen
PIK3R5	PIK3R5	darkolivegreen
GLS	GLS	darkolivegreen
GLUL	GLUL	darkolivegreen
SAMHD1	SAMHD1	darkolivegreen
EIF2B2	EIF2B2	darkolivegreen
ST8SIA1	ST8SIA1	darkolivegreen
ARG1	ARG1	darkolivegreen
KCNMA1	KCNMA1	darkolivegreen
DCBLD1	DCBLD1	darkolivegreen
ADGRA3	ADGRA3	darkolivegreen
TMEM255A	TMEM255A	darkolivegreen
FLT3	FLT3	darkolivegreen
CHST11	CHST11	darkolivegreen
EVI2A	EVI2A	darkolivegreen
DNM2	DNM2	darkolivegreen
TSPAN14	TSPAN14	darkolivegreen
CMKLR1	CMKLR1	darkolivegreen
DTNB	DTNB	darkolivegreen
MDM2	MDM2	darkolivegreen
MTMR9LP	MTMR9LP	darkolivegreen
PKP4	PKP4	darkolivegreen
OSBPL10	OSBPL10	darkolivegreen
ACE	ACE	darkolivegreen
NR3C1	NR3C1	darkolivegreen
C2CD2	C2CD2	darkolivegreen
MAPK8	MAPK8	darkolivegreen
TEX2	TEX2	darkolivegreen
ZCCHC6	ZCCHC6	darkolivegreen
HS3ST2	HS3ST2	darkolivegreen
RILPL2	RILPL2	darkolivegreen
CCDC6	CCDC6	darkolivegreen
TBC1D1	TBC1D1	darkolivegreen
FAM214B	FAM214B	darkolivegreen
PREP	PREP	darkolivegreen
MARCKSL1	MARCKSL1	darkolivegreen
TBC1D16	TBC1D16	darkolivegreen
SERTAD4	SERTAD4	darkolivegreen
CEACAM4	CEACAM4	darkolivegreen
ARMCX3	ARMCX3	darkolivegreen
CTBS	CTBS	darkolivegreen
MIR99AHG	MIR99AHG	darkolivegreen
