nodeName	altName	nodeAttr[nodesPresent, ]
RNU5D-1	RNU5D-1	darkorange
RNVU1-19	RNVU1-19	darkorange
RNVU1-15	RNVU1-15	darkorange
CDR1	CDR1	darkorange
HIST1H1E	HIST1H1E	darkorange
HIST1H3D///HIST1H2AD	HIST1H3D///HIST1H2AD	darkorange
HIST1H1C	HIST1H1C	darkorange
LOC100130876	LOC100130876	darkorange
HIST2H2BE	HIST2H2BE	darkorange
SNORA64///RPS2	SNORA64///RPS2	darkorange
HIST1H2BG	HIST1H2BG	darkorange
HIST1H4E	HIST1H4E	darkorange
RNU11	RNU11	darkorange
SLC22A31	SLC22A31	darkorange
HIST2H2AB///HIST2H2AB	HIST2H2AB///HIST2H2AB	darkorange
CKS2	CKS2	darkorange
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	darkorange
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	darkorange
HIST1H2BD	HIST1H2BD	darkorange
HIST1H2AE	HIST1H2AE	darkorange
SNHG3///SNORA73A	SNHG3///SNORA73A	darkorange
TMEM97	TMEM97	darkorange
HIST1H1D	HIST1H1D	darkorange
HIST1H4C	HIST1H4C	darkorange
S100A4	S100A4	darkorange
RNVU1-1	RNVU1-1	darkorange
COX7B	COX7B	darkorange
C14orf1	C14orf1	darkorange
BLVRB	BLVRB	darkorange
EBP	EBP	darkorange
GSTO1	GSTO1	darkorange
HIST1H4B	HIST1H4B	darkorange
TMED9	TMED9	darkorange
ZFAND2A	ZFAND2A	darkorange
HIST2H4B///HIST2H4A	HIST2H4B///HIST2H4A	darkorange
RNU4ATAC	RNU4ATAC	darkorange
NOP10	NOP10	darkorange
LY6G5B	LY6G5B	darkorange
RPS5	RPS5	darkorange
LGALS1	LGALS1	darkorange
STOML2	STOML2	darkorange
HIST2H2AC	HIST2H2AC	darkorange
HIST2H2BF///HIST2H2BA///HIST2H2BE	HIST2H2BF///HIST2H2BA///HIST2H2BE	darkorange
MRPS15	MRPS15	darkorange
TXN	TXN	darkorange
SEC61G	SEC61G	darkorange
SNRPG	SNRPG	darkorange
TMEM126A	TMEM126A	darkorange
TGIF2-C20orf24///C20orf24	TGIF2-C20orf24///C20orf24	darkorange
HIST2H2BF///HIST2H2BA	HIST2H2BF///HIST2H2BA	darkorange
