nodeName	altName	nodeAttr[nodesPresent, ]
ST6GALNAC2	ST6GALNAC2	darkorange2
CYP2B7P	CYP2B7P	darkorange2
LPL	LPL	darkorange2
TRHDE	TRHDE	darkorange2
PRSS8	PRSS8	darkorange2
LOC100508226	LOC100508226	darkorange2
LMTK2	LMTK2	darkorange2
RAB11FIP1	RAB11FIP1	darkorange2
NEDD4L	NEDD4L	darkorange2
TACSTD2	TACSTD2	darkorange2
CYP2B6	CYP2B6	darkorange2
DENND3	DENND3	darkorange2
FAM160A1	FAM160A1	darkorange2
MYO5B	MYO5B	darkorange2
CES1	CES1	darkorange2
GLIPR1	GLIPR1	darkorange2
TDRD10	TDRD10	darkorange2
ERBB3	ERBB3	darkorange2
FAM167A	FAM167A	darkorange2
SFXN1	SFXN1	darkorange2
MCUB	MCUB	darkorange2
WFS1	WFS1	darkorange2
TRPS1	TRPS1	darkorange2
ATP13A4	ATP13A4	darkorange2
FXYD3	FXYD3	darkorange2
LAMB3	LAMB3	darkorange2
FRMD3	FRMD3	darkorange2
CPAMD8	CPAMD8	darkorange2
PRKCZ	PRKCZ	darkorange2
CES1P1	CES1P1	darkorange2
C1orf21	C1orf21	darkorange2
GPRC5A	GPRC5A	darkorange2
ARHGAP32	ARHGAP32	darkorange2
CDH1	CDH1	darkorange2
CGN	CGN	darkorange2
EFR3B	EFR3B	darkorange2
C12orf49	C12orf49	darkorange2
SULT2B1	SULT2B1	darkorange2
ITPR2	ITPR2	darkorange2
C19orf33	C19orf33	darkorange2
LY75-CD302///CD302	LY75-CD302///CD302	darkorange2
PTPRF	PTPRF	darkorange2
PHTF1	PHTF1	darkorange2
TSTD1///F11R	TSTD1///F11R	darkorange2
MXI1	MXI1	darkorange2
POGK	POGK	darkorange2
MOAP1	MOAP1	darkorange2
MYH14	MYH14	darkorange2
AGK	AGK	darkorange2
