nodeName	altName	nodeAttr[nodesPresent, ]
C4B_2///C4B///C4A	C4B_2///C4B///C4A	darkred
MARCO	MARCO	darkred
GPNMB	GPNMB	darkred
SCN1A	SCN1A	darkred
ELF5	ELF5	darkred
PIGR	PIGR	darkred
APOC1	APOC1	darkred
ACP5	ACP5	darkred
C1QA	C1QA	darkred
CYP27A1	CYP27A1	darkred
CSPP1	CSPP1	darkred
ZNF667-AS1	ZNF667-AS1	darkred
LAIR1	LAIR1	darkred
C1QB	C1QB	darkred
APOE	APOE	darkred
HK2	HK2	darkred
CAPG	CAPG	darkred
C1QC	C1QC	darkred
NCEH1	NCEH1	darkred
SLC26A2	SLC26A2	darkred
CD37	CD37	darkred
SIAE	SIAE	darkred
PGD	PGD	darkred
SLCO2B1	SLCO2B1	darkred
NEU1	NEU1	darkred
NEK6	NEK6	darkred
SCD	SCD	darkred
GM2A	GM2A	darkred
DNAJB4	DNAJB4	darkred
ALOX5AP	ALOX5AP	darkred
CD68	CD68	darkred
CTSD	CTSD	darkred
PLBD1	PLBD1	darkred
GRN	GRN	darkred
LIPA	LIPA	darkred
CHORDC1	CHORDC1	darkred
CTSC	CTSC	darkred
CTSB	CTSB	darkred
LGALS9C///LGALS9B///LGALS9	LGALS9C///LGALS9B///LGALS9	darkred
ATP6V0D1	ATP6V0D1	darkred
DAB2	DAB2	darkred
CLCN7	CLCN7	darkred
P2RX7	P2RX7	darkred
SNORD61	SNORD61	darkred
HAVCR2	HAVCR2	darkred
LMO3	LMO3	darkred
PTBP2	PTBP2	darkred
GAA	GAA	darkred
IMPA2	IMPA2	darkred
MMP14	MMP14	darkred
DAAM1	DAAM1	darkred
PLBD2	PLBD2	darkred
MAN2B1	MAN2B1	darkred
TKT	TKT	darkred
ARPC1B	ARPC1B	darkred
EPB41L4A	EPB41L4A	darkred
ALG1	ALG1	darkred
TYROBP	TYROBP	darkred
KLHL5	KLHL5	darkred
PLA2G15	PLA2G15	darkred
QSOX1	QSOX1	darkred
CALD1	CALD1	darkred
MFSD5	MFSD5	darkred
AP1B1	AP1B1	darkred
CTSZ	CTSZ	darkred
S100A11	S100A11	darkred
RNF19A	RNF19A	darkred
CD300LF	CD300LF	darkred
RAB25	RAB25	darkred
CYBA	CYBA	darkred
