nodeName	altName	nodeAttr[nodesPresent, ]
SLC6A4	SLC6A4	darkturquoise
TMEM100	TMEM100	darkturquoise
VIPR1	VIPR1	darkturquoise
NPR3	NPR3	darkturquoise
FCN3	FCN3	darkturquoise
RXFP1	RXFP1	darkturquoise
HPGD	HPGD	darkturquoise
LOC102725104///ANKRD20A12P///ANKRD20A8P///ANKRD20A5P	LOC102725104///ANKRD20A12P///ANKRD20A8P///ANKRD20A5P	darkturquoise
CYP3A5	CYP3A5	darkturquoise
MYZAP///GCOM1	MYZAP///GCOM1	darkturquoise
BRINP1	BRINP1	darkturquoise
LOC102725104///ANKRD20A12P///ANKRD20A8P	LOC102725104///ANKRD20A12P///ANKRD20A8P	darkturquoise
B3GALNT1	B3GALNT1	darkturquoise
KL	KL	darkturquoise
SEMA6A	SEMA6A	darkturquoise
PTPRB	PTPRB	darkturquoise
CCDC68	CCDC68	darkturquoise
SULT1C4	SULT1C4	darkturquoise
ABHD6///ABHD6	ABHD6///ABHD6	darkturquoise
LINC00472	LINC00472	darkturquoise
GIMAP8	GIMAP8	darkturquoise
STXBP6	STXBP6	darkturquoise
SMAD6	SMAD6	darkturquoise
NOTCH4	NOTCH4	darkturquoise
ITGB8	ITGB8	darkturquoise
SLC6A6	SLC6A6	darkturquoise
COLEC10	COLEC10	darkturquoise
ADGRL2	ADGRL2	darkturquoise
ZNF331	ZNF331	darkturquoise
SAMD12	SAMD12	darkturquoise
ID1	ID1	darkturquoise
TSPAN7	TSPAN7	darkturquoise
SPIN4	SPIN4	darkturquoise
TEK	TEK	darkturquoise
LIFR	LIFR	darkturquoise
NOSTRIN	NOSTRIN	darkturquoise
FAM101B	FAM101B	darkturquoise
ZMAT3	ZMAT3	darkturquoise
IL7R	IL7R	darkturquoise
GATA2	GATA2	darkturquoise
VWF	VWF	darkturquoise
TBX3	TBX3	darkturquoise
ENPP1	ENPP1	darkturquoise
HECW2	HECW2	darkturquoise
LINC01123///LINC01106	LINC01123///LINC01106	darkturquoise
ARHGEF10	ARHGEF10	darkturquoise
MBOAT2	MBOAT2	darkturquoise
TMEM2	TMEM2	darkturquoise
SHE	SHE	darkturquoise
MEIS2	MEIS2	darkturquoise
ARHGAP29	ARHGAP29	darkturquoise
NXF3	NXF3	darkturquoise
SASH1	SASH1	darkturquoise
FRYL	FRYL	darkturquoise
RNF144B	RNF144B	darkturquoise
JAM3	JAM3	darkturquoise
SYCP2L	SYCP2L	darkturquoise
GOLM1	GOLM1	darkturquoise
CASZ1	CASZ1	darkturquoise
EDNRB	EDNRB	darkturquoise
RBMS2	RBMS2	darkturquoise
PTGFRN	PTGFRN	darkturquoise
ICAM2	ICAM2	darkturquoise
SEMA3F	SEMA3F	darkturquoise
GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5///GIMAP5	darkturquoise
EPAS1	EPAS1	darkturquoise
CLEC14A	CLEC14A	darkturquoise
FRK	FRK	darkturquoise
EPB41L2	EPB41L2	darkturquoise
MARVELD2	MARVELD2	darkturquoise
ACVRL1	ACVRL1	darkturquoise
INPP1	INPP1	darkturquoise
TPST2	TPST2	darkturquoise
LEPROT///LEPR	LEPROT///LEPR	darkturquoise
VAV3	VAV3	darkturquoise
KLRF1	KLRF1	darkturquoise
SH2D3C	SH2D3C	darkturquoise
FOXF1	FOXF1	darkturquoise
PHACTR2	PHACTR2	darkturquoise
CD300LG	CD300LG	darkturquoise
TNR	TNR	darkturquoise
EML1	EML1	darkturquoise
PDE1C	PDE1C	darkturquoise
CDC14A	CDC14A	darkturquoise
BMPR2	BMPR2	darkturquoise
RRAS	RRAS	darkturquoise
PLCXD3	PLCXD3	darkturquoise
BTBD3	BTBD3	darkturquoise
ZNF518B	ZNF518B	darkturquoise
RIN2	RIN2	darkturquoise
AQP1///AQP1	AQP1///AQP1	darkturquoise
HYAL1	HYAL1	darkturquoise
BACE2	BACE2	darkturquoise
MFSD6	MFSD6	darkturquoise
ADRB1	ADRB1	darkturquoise
LOC100129434	LOC100129434	darkturquoise
CCDC85A	CCDC85A	darkturquoise
SHANK3	SHANK3	darkturquoise
ARHGAP18	ARHGAP18	darkturquoise
SERPINB6	SERPINB6	darkturquoise
PRKCE	PRKCE	darkturquoise
HSPA12B	HSPA12B	darkturquoise
PRKX	PRKX	darkturquoise
PHACTR4	PHACTR4	darkturquoise
EHD3	EHD3	darkturquoise
S1PR1	S1PR1	darkturquoise
SYN2	SYN2	darkturquoise
CMTM8	CMTM8	darkturquoise
CREB3L1	CREB3L1	darkturquoise
VAMP5	VAMP5	darkturquoise
MAPKAPK5-AS1	MAPKAPK5-AS1	darkturquoise
SH3BP5	SH3BP5	darkturquoise
TENM3	TENM3	darkturquoise
PECAM1	PECAM1	darkturquoise
C10orf54	C10orf54	darkturquoise
MAP3K3	MAP3K3	darkturquoise
RASIP1	RASIP1	darkturquoise
PALD1	PALD1	darkturquoise
TOX2	TOX2	darkturquoise
CDH19	CDH19	darkturquoise
EFNA5	EFNA5	darkturquoise
ATP1B1	ATP1B1	darkturquoise
CAMK2D	CAMK2D	darkturquoise
HERC3	HERC3	darkturquoise
GBA2	GBA2	darkturquoise
NDEL1	NDEL1	darkturquoise
HMBOX1	HMBOX1	darkturquoise
MAP4K2	MAP4K2	darkturquoise
CDK14	CDK14	darkturquoise
RXRG	RXRG	darkturquoise
SPATA13	SPATA13	darkturquoise
ANKRD27	ANKRD27	darkturquoise
DDB2	DDB2	darkturquoise
FUT1	FUT1	darkturquoise
LTK	LTK	darkturquoise
GIT1	GIT1	darkturquoise
HID1	HID1	darkturquoise
CTBP2	CTBP2	darkturquoise
ANKH	ANKH	darkturquoise
BEX1	BEX1	darkturquoise
HSPC324	HSPC324	darkturquoise
SBF2	SBF2	darkturquoise
KLF3	KLF3	darkturquoise
PRPS2	PRPS2	darkturquoise
TGFBR2	TGFBR2	darkturquoise
TRPC3	TRPC3	darkturquoise
CHRM1	CHRM1	darkturquoise
EXOC3L1	EXOC3L1	darkturquoise
KAT6A	KAT6A	darkturquoise
EDA2R	EDA2R	darkturquoise
C1orf115	C1orf115	darkturquoise
SOX17	SOX17	darkturquoise
