nodeName	altName	nodeAttr[nodesPresent, ]
PLA2G7	PLA2G7	floralwhite
LOC441081	LOC441081	floralwhite
SPP1	SPP1	floralwhite
HMOX1	HMOX1	floralwhite
PDE3A	PDE3A	floralwhite
ETV5	ETV5	floralwhite
ANO2	ANO2	floralwhite
LOC100996747///RPS26	LOC100996747///RPS26	floralwhite
NPL	NPL	floralwhite
LGALSL///LGALSL	LGALSL///LGALSL	floralwhite
CCR1	CCR1	floralwhite
ARHGEF34P///OR2A7///OR2A25///OR2A4	ARHGEF34P///OR2A7///OR2A25///OR2A4	floralwhite
STAB1	STAB1	floralwhite
SLC16A6	SLC16A6	floralwhite
GFRA1	GFRA1	floralwhite
PLEKHG1///PLEKHG1	PLEKHG1///PLEKHG1	floralwhite
MUC21	MUC21	floralwhite
IDH1	IDH1	floralwhite
CCDC3	CCDC3	floralwhite
RPS26P11///RPS26	RPS26P11///RPS26	floralwhite
SOCS2	SOCS2	floralwhite
PHLDA1	PHLDA1	floralwhite
LOC100996747///RPS26P11///RPS26///PDPK1	LOC100996747///RPS26P11///RPS26///PDPK1	floralwhite
ADAP2	ADAP2	floralwhite
RIMKLB	RIMKLB	floralwhite
CD180	CD180	floralwhite
RND3	RND3	floralwhite
SHMT2	SHMT2	floralwhite
GNPDA1	GNPDA1	floralwhite
SNX10	SNX10	floralwhite
ME1	ME1	floralwhite
TFEC	TFEC	floralwhite
CLIC3	CLIC3	floralwhite
PDGFA	PDGFA	floralwhite
LOC102725117///ARHGEF34P///ARHGEF35///ARHGEF5	LOC102725117///ARHGEF34P///ARHGEF35///ARHGEF5	floralwhite
CCR2	CCR2	floralwhite
SLC36A1	SLC36A1	floralwhite
MYO15B	MYO15B	floralwhite
SPIRE1	SPIRE1	floralwhite
SPRED2	SPRED2	floralwhite
GAS2L3	GAS2L3	floralwhite
TLR6	TLR6	floralwhite
PHGDH	PHGDH	floralwhite
LONRF1	LONRF1	floralwhite
LOC100129112	LOC100129112	floralwhite
CD5L	CD5L	floralwhite
NQO2	NQO2	floralwhite
SLC38A6	SLC38A6	floralwhite
AGA	AGA	floralwhite
GLRX	GLRX	floralwhite
PSAT1	PSAT1	floralwhite
SEPW1	SEPW1	floralwhite
CCDC88A	CCDC88A	floralwhite
CRIM1	CRIM1	floralwhite
CTSL	CTSL	floralwhite
ZDHHC14	ZDHHC14	floralwhite
LY96	LY96	floralwhite
TM4SF19-TCTEX1D2///TM4SF19	TM4SF19-TCTEX1D2///TM4SF19	floralwhite
H1F0	H1F0	floralwhite
UBXN2B	UBXN2B	floralwhite
GSR	GSR	floralwhite
DSC2	DSC2	floralwhite
NXN	NXN	floralwhite
GABARAPL1	GABARAPL1	floralwhite
TMEM98	TMEM98	floralwhite
PXDC1	PXDC1	floralwhite
TMEM144	TMEM144	floralwhite
UST	UST	floralwhite
HEATR6	HEATR6	floralwhite
COBL	COBL	floralwhite
ACOT13	ACOT13	floralwhite
LYRM2///ZC3H11A	LYRM2///ZC3H11A	floralwhite
IGSF3	IGSF3	floralwhite
ASAH2B///ASAH2	ASAH2B///ASAH2	floralwhite
SMPDL3B	SMPDL3B	floralwhite
PIGM	PIGM	floralwhite
PDE9A	PDE9A	floralwhite
MTIF2	MTIF2	floralwhite
SLC36A4	SLC36A4	floralwhite
SH3RF1	SH3RF1	floralwhite
THOC5	THOC5	floralwhite
GLA	GLA	floralwhite
CREG1	CREG1	floralwhite
GUF1///GUF1	GUF1///GUF1	floralwhite
LACC1	LACC1	floralwhite
ZSCAN18	ZSCAN18	floralwhite
HTATIP2	HTATIP2	floralwhite
CYB5R4	CYB5R4	floralwhite
SFXN2	SFXN2	floralwhite
DUSP18	DUSP18	floralwhite
ABRACL	ABRACL	floralwhite
GCNT1	GCNT1	floralwhite
SNX33	SNX33	floralwhite
AIFM1	AIFM1	floralwhite
GAPDH	GAPDH	floralwhite
FUCA2	FUCA2	floralwhite
LOC100131860	LOC100131860	floralwhite
CRY2	CRY2	floralwhite
RNF135	RNF135	floralwhite
SCARNA17	SCARNA17	floralwhite
TRUB2///TRUB2	TRUB2///TRUB2	floralwhite
SLC37A2	SLC37A2	floralwhite
SGSM2	SGSM2	floralwhite
RNFT1	RNFT1	floralwhite
TM2D2	TM2D2	floralwhite
FGFR1	FGFR1	floralwhite
ABCB6	ABCB6	floralwhite
LHFPL2	LHFPL2	floralwhite
RAP1GDS1	RAP1GDS1	floralwhite
TMEM209	TMEM209	floralwhite
HTATSF1P2	HTATSF1P2	floralwhite
GTF2E1	GTF2E1	floralwhite
SLC39A11	SLC39A11	floralwhite
TP53BP2	TP53BP2	floralwhite
RALGAPA2	RALGAPA2	floralwhite
BCS1L	BCS1L	floralwhite
TXLNG	TXLNG	floralwhite
AMOTL1	AMOTL1	floralwhite
GTF2H3	GTF2H3	floralwhite
HPS3	HPS3	floralwhite
H3F3B	H3F3B	floralwhite
BCOR///BCOR	BCOR///BCOR	floralwhite
FANCF///FANCF	FANCF///FANCF	floralwhite
C9orf64	C9orf64	floralwhite
BACH2	BACH2	floralwhite
TLE2	TLE2	floralwhite
CALHM2	CALHM2	floralwhite
RENBP	RENBP	floralwhite
MTCH2	MTCH2	floralwhite
PPT1	PPT1	floralwhite
COMMD9	COMMD9	floralwhite
MYOZ1	MYOZ1	floralwhite
CEP170	CEP170	floralwhite
TPPP	TPPP	floralwhite
GPA33	GPA33	floralwhite
COX18	COX18	floralwhite
GATA6	GATA6	floralwhite
ME2	ME2	floralwhite
FARP2	FARP2	floralwhite
LILRB5	LILRB5	floralwhite
PHF20	PHF20	floralwhite
SNUPN	SNUPN	floralwhite
CDC40	CDC40	floralwhite
ATP6V1A	ATP6V1A	floralwhite
RAP2B	RAP2B	floralwhite
MDH1	MDH1	floralwhite
TMEM62	TMEM62	floralwhite
HNMT	HNMT	floralwhite
POC5	POC5	floralwhite
