nodeName	altName	nodeAttr[nodesPresent, ]
IFI44L	IFI44L	green
IFIT1	IFIT1	green
RSAD2	RSAD2	green
ITM2A	ITM2A	green
IFI44	IFI44	green
KHDRBS2	KHDRBS2	green
SLC16A10	SLC16A10	green
SERPINB8	SERPINB8	green
ZNF204P	ZNF204P	green
ANKRD44	ANKRD44	green
KRT7	KRT7	green
ZNF737///ZNF737	ZNF737///ZNF737	green
RANBP17	RANBP17	green
BICD1	BICD1	green
PLCB4	PLCB4	green
EFCC1	EFCC1	green
ZNF711	ZNF711	green
FCGR2A	FCGR2A	green
HERC6	HERC6	green
FLJ34503	FLJ34503	green
CLK1	CLK1	green
KRT8	KRT8	green
PWAR6	PWAR6	green
PRO2012	PRO2012	green
RSRP1	RSRP1	green
CLK4///CLK4	CLK4///CLK4	green
PTGER2	PTGER2	green
LOC644172///MAPK8IP1	LOC644172///MAPK8IP1	green
MIR186	MIR186	green
LRRC37A2///LRRC37A3///LRRC37A	LRRC37A2///LRRC37A3///LRRC37A	green
BCL6	BCL6	green
ARGLU1	ARGLU1	green
PDZK1IP1	PDZK1IP1	green
TUBB4B	TUBB4B	green
KLHDC1	KLHDC1	green
SNORA16B	SNORA16B	green
DDX60	DDX60	green
SESN3	SESN3	green
DUSP7	DUSP7	green
SLC1A5	SLC1A5	green
CDK6	CDK6	green
MGC57346	MGC57346	green
GRINA	GRINA	green
TIA1	TIA1	green
LGR4	LGR4	green
RABGAP1L	RABGAP1L	green
DYNC2LI1	DYNC2LI1	green
PLP2	PLP2	green
FMO4	FMO4	green
LOC100130428	LOC100130428	green
CLUH	CLUH	green
SLC9A9	SLC9A9	green
MIR622///KRT18	MIR622///KRT18	green
CENPC	CENPC	green
ZNF776	ZNF776	green
RMDN2	RMDN2	green
NEK3	NEK3	green
FAM111A	FAM111A	green
RNF180	RNF180	green
KATNAL1	KATNAL1	green
ZC2HC1A	ZC2HC1A	green
CLK4	CLK4	green
PCDHA5	PCDHA5	green
PRMT9	PRMT9	green
BORCS7-ASMT///AS3MT	BORCS7-ASMT///AS3MT	green
ZNF254	ZNF254	green
MICU3	MICU3	green
LETM1	LETM1	green
NMRK1	NMRK1	green
FER	FER	green
SUZ12P1	SUZ12P1	green
MTX3	MTX3	green
IGIP	IGIP	green
KLHL3	KLHL3	green
TMX2	TMX2	green
DNAJC18	DNAJC18	green
WDR48	WDR48	green
JMY	JMY	green
MLLT3	MLLT3	green
ECE1	ECE1	green
UFSP2	UFSP2	green
ZNF224	ZNF224	green
ARMCX1	ARMCX1	green
RNF150	RNF150	green
ISG20L2	ISG20L2	green
MAFG	MAFG	green
ANKRD46	ANKRD46	green
MBTD1	MBTD1	green
LYPLA2P2///LYPLA2	LYPLA2P2///LYPLA2	green
ZNF345	ZNF345	green
NKTR	NKTR	green
LUC7L3	LUC7L3	green
SLC43A2	SLC43A2	green
CAPN7	CAPN7	green
BAZ2B	BAZ2B	green
HINT3	HINT3	green
SLC25A36	SLC25A36	green
ANKAR	ANKAR	green
INSIG2	INSIG2	green
EIF2AK2	EIF2AK2	green
ARID4A	ARID4A	green
ZNF718	ZNF718	green
ZNF493	ZNF493	green
NR2C1	NR2C1	green
ZNF439	ZNF439	green
TUBB6	TUBB6	green
ZNF383	ZNF383	green
KIF3A	KIF3A	green
DNAJB14	DNAJB14	green
CRBN	CRBN	green
KIAA1107	KIAA1107	green
SH3YL1	SH3YL1	green
PDCL	PDCL	green
ARL15	ARL15	green
PNISR	PNISR	green
ZNF283	ZNF283	green
SPICE1	SPICE1	green
ZNF514	ZNF514	green
CNTLN	CNTLN	green
MROH1	MROH1	green
SMC4	SMC4	green
FZD6	FZD6	green
POLA1	POLA1	green
IPP	IPP	green
B4GALT3	B4GALT3	green
TTC14	TTC14	green
CEP57	CEP57	green
IFT80	IFT80	green
ZNF181	ZNF181	green
NARS2	NARS2	green
PRDM5	PRDM5	green
DPY19L4	DPY19L4	green
CEP112	CEP112	green
RNF125	RNF125	green
CCDC186	CCDC186	green
RB1CC1	RB1CC1	green
VPS4A	VPS4A	green
C5orf42	C5orf42	green
BBS9	BBS9	green
GPR21	GPR21	green
DTWD2	DTWD2	green
SLC2A12	SLC2A12	green
NPHP3-ACAD11///ACAD11	NPHP3-ACAD11///ACAD11	green
TMEM135	TMEM135	green
CWF19L2	CWF19L2	green
TOM1	TOM1	green
FAM127C	FAM127C	green
TUBD1	TUBD1	green
ZNF706	ZNF706	green
CRIPT	CRIPT	green
LRRC37B	LRRC37B	green
PDE7A	PDE7A	green
OXR1	OXR1	green
RPS20P27	RPS20P27	green
PCMTD1	PCMTD1	green
KPNA5	KPNA5	green
DENND1B	DENND1B	green
ZNF587	ZNF587	green
NUDC	NUDC	green
MTHFR	MTHFR	green
TRAPPC2	TRAPPC2	green
SNORA70B	SNORA70B	green
ARHGDIA	ARHGDIA	green
SENP7	SENP7	green
ERCC6L2	ERCC6L2	green
POLB	POLB	green
C1QTNF3-AMACR///C1QTNF3	C1QTNF3-AMACR///C1QTNF3	green
YIPF4	YIPF4	green
RAD23A	RAD23A	green
USP46	USP46	green
MPHOSPH8	MPHOSPH8	green
ADAM20P1	ADAM20P1	green
HSDL2	HSDL2	green
VPS13A	VPS13A	green
AP3D1	AP3D1	green
MAD2L2	MAD2L2	green
ZNF14	ZNF14	green
CCDC7	CCDC7	green
PCNX3	PCNX3	green
AKAP9	AKAP9	green
KRT18	KRT18	green
ZNF248	ZNF248	green
SRA1	SRA1	green
ZRANB2	ZRANB2	green
CREBZF	CREBZF	green
GARNL3	GARNL3	green
TIMM50	TIMM50	green
RBM43	RBM43	green
ZNF43	ZNF43	green
FBL	FBL	green
SSU72	SSU72	green
DNTTIP1	DNTTIP1	green
AP1S3	AP1S3	green
SRSF6	SRSF6	green
DCDC2	DCDC2	green
RAB33B	RAB33B	green
N6AMT1	N6AMT1	green
ADAM20	ADAM20	green
BRWD1	BRWD1	green
ZNF615	ZNF615	green
NFKBIB	NFKBIB	green
BCL7B	BCL7B	green
ALYREF	ALYREF	green
TPD52///TPD52	TPD52///TPD52	green
MIB1	MIB1	green
SNRPB	SNRPB	green
MOB1B	MOB1B	green
PCCA	PCCA	green
ZNF510	ZNF510	green
METTL15	METTL15	green
NPAT	NPAT	green
DDHD1	DDHD1	green
RRAGB	RRAGB	green
GATAD2A	GATAD2A	green
ZNF772	ZNF772	green
OR52H1	OR52H1	green
GUSBP5	GUSBP5	green
SHPRH	SHPRH	green
ATXN3///ATXN8///ATXN3	ATXN3///ATXN8///ATXN3	green
RBM41	RBM41	green
SUMO4	SUMO4	green
MCM9	MCM9	green
ZNF404	ZNF404	green
MIER3	MIER3	green
CMPK2	CMPK2	green
UBN2	UBN2	green
HDAC9	HDAC9	green
ZNF37BP	ZNF37BP	green
ATRX	ATRX	green
ZNF529	ZNF529	green
ATL2	ATL2	green
ZNF559-ZNF177///ZNF559	ZNF559-ZNF177///ZNF559	green
BMT2	BMT2	green
ZNF720	ZNF720	green
LPIN1	LPIN1	green
UBXN2A	UBXN2A	green
RAB2B	RAB2B	green
ZNF17	ZNF17	green
HDGF	HDGF	green
EIF4A3	EIF4A3	green
S100PBP	S100PBP	green
VAMP4	VAMP4	green
NSUN6	NSUN6	green
MBOAT7	MBOAT7	green
EIF3E	EIF3E	green
TTC33	TTC33	green
ZNF808	ZNF808	green
ZNF91	ZNF91	green
CHMP4C	CHMP4C	green
ZNF680	ZNF680	green
MTF2	MTF2	green
YWHAH	YWHAH	green
CCDC171	CCDC171	green
ZNF507	ZNF507	green
ZCCHC11	ZCCHC11	green
CASD1	CASD1	green
CDC42BPA	CDC42BPA	green
MED17	MED17	green
PRPF39	PRPF39	green
SCAMP1	SCAMP1	green
ZNF708	ZNF708	green
ZNF44	ZNF44	green
ZNF718///ZNF595	ZNF718///ZNF595	green
ZNF540	ZNF540	green
MAN2A1	MAN2A1	green
SRSF5	SRSF5	green
CDK2	CDK2	green
C19orf53	C19orf53	green
IFITM3	IFITM3	green
C5orf24	C5orf24	green
WDPCP	WDPCP	green
DCAF6	DCAF6	green
TEAD4	TEAD4	green
FBXO3	FBXO3	green
NAPB	NAPB	green
LOC401320	LOC401320	green
ZNF25	ZNF25	green
MIR99A	MIR99A	green
SLC35A1	SLC35A1	green
ZFX	ZFX	green
CXorf23	CXorf23	green
PHLDA2	PHLDA2	green
ZNF280C	ZNF280C	green
GABPA	GABPA	green
EXTL2	EXTL2	green
SOCS5	SOCS5	green
ZNF451	ZNF451	green
RAB35	RAB35	green
SERINC1	SERINC1	green
NAA16	NAA16	green
DMTF1	DMTF1	green
FAM149B1	FAM149B1	green
HHAT	HHAT	green
CLIC1	CLIC1	green
HCFC1	HCFC1	green
ZNF84	ZNF84	green
ZNF136	ZNF136	green
CPSF6	CPSF6	green
SLC35D1	SLC35D1	green
TTC21B	TTC21B	green
SDHAF4	SDHAF4	green
GCC2	GCC2	green
ZNF573	ZNF573	green
STX17	STX17	green
APC	APC	green
UPRT	UPRT	green
VPS36	VPS36	green
IFITM2	IFITM2	green
NUTF2	NUTF2	green
PHF3	PHF3	green
FRA10AC1	FRA10AC1	green
CCDC117	CCDC117	green
KLF8	KLF8	green
ZNF512	ZNF512	green
NUP188	NUP188	green
PDS5B	PDS5B	green
TRDMT1	TRDMT1	green
PKN2	PKN2	green
MAP4K3	MAP4K3	green
WHSC1L1	WHSC1L1	green
HCFC2	HCFC2	green
AKAP11	AKAP11	green
TFE3	TFE3	green
DOPEY1	DOPEY1	green
C7orf13	C7orf13	green
HSDL1	HSDL1	green
ATG10	ATG10	green
TATDN1	TATDN1	green
RICTOR	RICTOR	green
ZMYM5	ZMYM5	green
TNIP1	TNIP1	green
KIAA2026	KIAA2026	green
ZMYM2	ZMYM2	green
INTS6L	INTS6L	green
ZNF606	ZNF606	green
ABCF1	ABCF1	green
LIG3	LIG3	green
RBM5	RBM5	green
GYS1	GYS1	green
IKZF5	IKZF5	green
TMEM30A	TMEM30A	green
NIPSNAP3B	NIPSNAP3B	green
NEMP1	NEMP1	green
CCNK	CCNK	green
ERO1B	ERO1B	green
SZRD1	SZRD1	green
MAP4K5	MAP4K5	green
PUM2	PUM2	green
RFC1	RFC1	green
N4BP2L2	N4BP2L2	green
TBCK	TBCK	green
ZNF638	ZNF638	green
ZNF37A	ZNF37A	green
GPC5	GPC5	green
SF3B1	SF3B1	green
GOLGB1	GOLGB1	green
PGBD3///ERCC6	PGBD3///ERCC6	green
NKAPP1	NKAPP1	green
WBP11	WBP11	green
ATP7A	ATP7A	green
CCSER1	CCSER1	green
SH3GL1	SH3GL1	green
APPBP2	APPBP2	green
PHTF2	PHTF2	green
CCNT2	CCNT2	green
PITRM1	PITRM1	green
GEMIN8	GEMIN8	green
ZBTB33	ZBTB33	green
RUFY2	RUFY2	green
STAG2	STAG2	green
ZNF587///ZNF587B///ZNF587	ZNF587///ZNF587B///ZNF587	green
RPAP2	RPAP2	green
CLASP2	CLASP2	green
RNF126	RNF126	green
ZBED5	ZBED5	green
LARP1	LARP1	green
TERF1	TERF1	green
ZNF382	ZNF382	green
ZNF300P1	ZNF300P1	green
FTH1	FTH1	green
FNBP4	FNBP4	green
NF2	NF2	green
ZDHHC5	ZDHHC5	green
KIAA1109	KIAA1109	green
CSNK1G2	CSNK1G2	green
ZBTB11	ZBTB11	green
LMBRD1	LMBRD1	green
ZNF461	ZNF461	green
ZNF862	ZNF862	green
MAP1S	MAP1S	green
NKIRAS1	NKIRAS1	green
KHSRP	KHSRP	green
ZNF568	ZNF568	green
LCORL	LCORL	green
SOS1	SOS1	green
MLLT10	MLLT10	green
ZNF730	ZNF730	green
FAM13B	FAM13B	green
DDX6	DDX6	green
SPOPL	SPOPL	green
TRMT10B	TRMT10B	green
TUBB2A	TUBB2A	green
PHIP	PHIP	green
EIF3CL///EIF3C	EIF3CL///EIF3C	green
EIF4A2	EIF4A2	green
CRYZL1	CRYZL1	green
CDK16	CDK16	green
UBR2	UBR2	green
VASP	VASP	green
HP1BP3	HP1BP3	green
EPC2	EPC2	green
CAPRIN2	CAPRIN2	green
RSBN1L	RSBN1L	green
PIK3C3	PIK3C3	green
NEK1	NEK1	green
PCBP1	PCBP1	green
DUSP19	DUSP19	green
UTRN	UTRN	green
WWP1	WWP1	green
ABHD17A	ABHD17A	green
PCDHA8	PCDHA8	green
SMC1A	SMC1A	green
MEAF6	MEAF6	green
LOC100287896	LOC100287896	green
KDM5A	KDM5A	green
STRN4	STRN4	green
CRHR1-IT1	CRHR1-IT1	green
FNTA	FNTA	green
ERCC1	ERCC1	green
NSMCE4A	NSMCE4A	green
ATE1	ATE1	green
ZNF559-ZNF177///ZNF177	ZNF559-ZNF177///ZNF177	green
HNRNPH1	HNRNPH1	green
PITPNA	PITPNA	green
TMEM128	TMEM128	green
PHC3	PHC3	green
DDX17	DDX17	green
RSF1	RSF1	green
FNIP1	FNIP1	green
SNU13///ANXA2	SNU13///ANXA2	green
IFNGR2	IFNGR2	green
