nodeName	altName	nodeAttr[nodesPresent, ]
SERF1B///SERF1A	SERF1B///SERF1A	ivory
TCEAL9	TCEAL9	ivory
ZEB1	ZEB1	ivory
SMN2///SMN1	SMN2///SMN1	ivory
NEDD4	NEDD4	ivory
CFL2	CFL2	ivory
VCPKMT	VCPKMT	ivory
ZNF583	ZNF583	ivory
ARL13B	ARL13B	ivory
MED21	MED21	ivory
ZNF131	ZNF131	ivory
DYNLT3	DYNLT3	ivory
KIAA0232	KIAA0232	ivory
VPS37A	VPS37A	ivory
PNPLA8	PNPLA8	ivory
PCGF5	PCGF5	ivory
MIRLET7G	MIRLET7G	ivory
COQ10B	COQ10B	ivory
ATP5G2	ATP5G2	ivory
ZNF639	ZNF639	ivory
RAB11A	RAB11A	ivory
BCAP29	BCAP29	ivory
MIR181B1	MIR181B1	ivory
NCKAP1	NCKAP1	ivory
MIRLET7I	MIRLET7I	ivory
RPRD1A	RPRD1A	ivory
RAB11FIP2	RAB11FIP2	ivory
DNAJC21	DNAJC21	ivory
TRMT12	TRMT12	ivory
ARPP19	ARPP19	ivory
