nodeName	altName	nodeAttr[nodesPresent, ]
CARMN///MIR145	CARMN///MIR145	lightcyan
SNORD35A	SNORD35A	lightcyan
HCST	HCST	lightcyan
GPX1	GPX1	lightcyan
FLJ42393	FLJ42393	lightcyan
MIF///MIF-AS1///MIF	MIF///MIF-AS1///MIF	lightcyan
TSPO	TSPO	lightcyan
PKDCC	PKDCC	lightcyan
LY6E	LY6E	lightcyan
SEPT5-GP1BB	SEPT5-GP1BB	lightcyan
CCND3	CCND3	lightcyan
ATP6V0B	ATP6V0B	lightcyan
TMEM147	TMEM147	lightcyan
DDT	DDT	lightcyan
CST3	CST3	lightcyan
LMF2	LMF2	lightcyan
CLPTM1L	CLPTM1L	lightcyan
CYC1	CYC1	lightcyan
LOC100134822///LINC00266-1///PCMTD2	LOC100134822///LINC00266-1///PCMTD2	lightcyan
PINK1	PINK1	lightcyan
MFSD10	MFSD10	lightcyan
OCR1	OCR1	lightcyan
GLRX5	GLRX5	lightcyan
TMEM150A	TMEM150A	lightcyan
VPS51	VPS51	lightcyan
TMEM54	TMEM54	lightcyan
PSENEN	PSENEN	lightcyan
SLC35B2	SLC35B2	lightcyan
NDUFS7	NDUFS7	lightcyan
PQLC1	PQLC1	lightcyan
AGPAT2	AGPAT2	lightcyan
RPL13AP20	RPL13AP20	lightcyan
PITPNB	PITPNB	lightcyan
CLN3	CLN3	lightcyan
DDTL///LOC391322///DDT	DDTL///LOC391322///DDT	lightcyan
FAM53B	FAM53B	lightcyan
LOC100134822///SEPT14///LINC00266-1///PCMTD2	LOC100134822///SEPT14///LINC00266-1///PCMTD2	lightcyan
GNB2	GNB2	lightcyan
CDC34	CDC34	lightcyan
C15orf61	C15orf61	lightcyan
CIB1	CIB1	lightcyan
TMEM205	TMEM205	lightcyan
PSMB6	PSMB6	lightcyan
MRPS18A	MRPS18A	lightcyan
COX8A	COX8A	lightcyan
RNASEK-C17orf49///RNASEK	RNASEK-C17orf49///RNASEK	lightcyan
TNFRSF14	TNFRSF14	lightcyan
MAN2C1	MAN2C1	lightcyan
CYHR1	CYHR1	lightcyan
TMUB1	TMUB1	lightcyan
ST6GALNAC4	ST6GALNAC4	lightcyan
SELM///SELM	SELM///SELM	lightcyan
FAM219B	FAM219B	lightcyan
TMEM256-PLSCR3///TMEM256///TNK1	TMEM256-PLSCR3///TMEM256///TNK1	lightcyan
TMEM179B	TMEM179B	lightcyan
NDUFB11	NDUFB11	lightcyan
STK16	STK16	lightcyan
UBTD1	UBTD1	lightcyan
HIGD2A	HIGD2A	lightcyan
LINC01000///LINC00266-1///PCMTD2	LINC01000///LINC00266-1///PCMTD2	lightcyan
C12orf57///C12orf57	C12orf57///C12orf57	lightcyan
NARR///RAB34	NARR///RAB34	lightcyan
UQCRFS1	UQCRFS1	lightcyan
ORAI1	ORAI1	lightcyan
FCGRT	FCGRT	lightcyan
ST6GALNAC6	ST6GALNAC6	lightcyan
GNPTG	GNPTG	lightcyan
LAMTOR1	LAMTOR1	lightcyan
RHBDD2	RHBDD2	lightcyan
UROS	UROS	lightcyan
GRHPR	GRHPR	lightcyan
AP1M1	AP1M1	lightcyan
SUMF2	SUMF2	lightcyan
C16orf70	C16orf70	lightcyan
KLHDC3	KLHDC3	lightcyan
MSRB2	MSRB2	lightcyan
VAMP8	VAMP8	lightcyan
SLC25A1	SLC25A1	lightcyan
ANKDD1A	ANKDD1A	lightcyan
POLR2L	POLR2L	lightcyan
CCS	CCS	lightcyan
ABTB1	ABTB1	lightcyan
ZDHHC7	ZDHHC7	lightcyan
PFKL	PFKL	lightcyan
APMAP	APMAP	lightcyan
CEBPA	CEBPA	lightcyan
UBXN6	UBXN6	lightcyan
CD151	CD151	lightcyan
CARMN///MIR143	CARMN///MIR143	lightcyan
MRPS18B///MRPS18B	MRPS18B///MRPS18B	lightcyan
JMJD8	JMJD8	lightcyan
C21orf33	C21orf33	lightcyan
METTL23	METTL23	lightcyan
NENF	NENF	lightcyan
RIT1	RIT1	lightcyan
ELOVL1	ELOVL1	lightcyan
NDUFA3	NDUFA3	lightcyan
OCLM	OCLM	lightcyan
GPAA1	GPAA1	lightcyan
CSTF3	CSTF3	lightcyan
CRYL1	CRYL1	lightcyan
COX6A1	COX6A1	lightcyan
ARL2-SNX15///ARL2	ARL2-SNX15///ARL2	lightcyan
ARL6IP4	ARL6IP4	lightcyan
NR2F6	NR2F6	lightcyan
FAHD2A	FAHD2A	lightcyan
RABAC1	RABAC1	lightcyan
GUCD1	GUCD1	lightcyan
GUK1	GUK1	lightcyan
NSMCE1	NSMCE1	lightcyan
PDDC1	PDDC1	lightcyan
FAM134C	FAM134C	lightcyan
SYS1-DBNDD2///SYS1	SYS1-DBNDD2///SYS1	lightcyan
SDF2	SDF2	lightcyan
TUFM	TUFM	lightcyan
BTBD2	BTBD2	lightcyan
TCF25	TCF25	lightcyan
SAT2	SAT2	lightcyan
DHPS	DHPS	lightcyan
POLD4	POLD4	lightcyan
RPL13	RPL13	lightcyan
ZDHHC16	ZDHHC16	lightcyan
UQCR10	UQCR10	lightcyan
FBXW5	FBXW5	lightcyan
TMEM160	TMEM160	lightcyan
DNAJC30	DNAJC30	lightcyan
ZNF511-PRAP1///ZNF511	ZNF511-PRAP1///ZNF511	lightcyan
LOC100289656///DEXI	LOC100289656///DEXI	lightcyan
ARMC10	ARMC10	lightcyan
MAF1	MAF1	lightcyan
STUB1	STUB1	lightcyan
ILVBL	ILVBL	lightcyan
MRPL2	MRPL2	lightcyan
MTCH1	MTCH1	lightcyan
PTOV1	PTOV1	lightcyan
ACAA1	ACAA1	lightcyan
ARF5	ARF5	lightcyan
JTB	JTB	lightcyan
PNMA1	PNMA1	lightcyan
CDIPT	CDIPT	lightcyan
ATG101	ATG101	lightcyan
DPP7	DPP7	lightcyan
PGLS	PGLS	lightcyan
TSPAN4	TSPAN4	lightcyan
COQ2	COQ2	lightcyan
RNPEPL1	RNPEPL1	lightcyan
POU2F1	POU2F1	lightcyan
CHTF8	CHTF8	lightcyan
NDUFS8	NDUFS8	lightcyan
TUSC2	TUSC2	lightcyan
FAU	FAU	lightcyan
RPLP1	RPLP1	lightcyan
GPX4	GPX4	lightcyan
S100A6	S100A6	lightcyan
PGAP3	PGAP3	lightcyan
CHCHD2	CHCHD2	lightcyan
BABAM1///BABAM1	BABAM1///BABAM1	lightcyan
THAP11	THAP11	lightcyan
TIMM22///TIMM22	TIMM22///TIMM22	lightcyan
ZC3H13	ZC3H13	lightcyan
IP6K1	IP6K1	lightcyan
DCTN3	DCTN3	lightcyan
C12orf10	C12orf10	lightcyan
UBAC1	UBAC1	lightcyan
CRTAP	CRTAP	lightcyan
HAGH	HAGH	lightcyan
FASTK	FASTK	lightcyan
SPCS1	SPCS1	lightcyan
TSR3	TSR3	lightcyan
TMEM134	TMEM134	lightcyan
SPDYE16///SPDYE2B///SPDYE6///SPDYE8P///SPDYE2///SPDYE3///SPDYE7P///SPDYE1	SPDYE16///SPDYE2B///SPDYE6///SPDYE8P///SPDYE2///SPDYE3///SPDYE7P///SPDYE1	lightcyan
UQCRC1	UQCRC1	lightcyan
FAM134A///FAM134A	FAM134A///FAM134A	lightcyan
NME3	NME3	lightcyan
TMF1	TMF1	lightcyan
MRPL49	MRPL49	lightcyan
RPS28	RPS28	lightcyan
CUTA	CUTA	lightcyan
KIAA0141	KIAA0141	lightcyan
RASA2	RASA2	lightcyan
STK25	STK25	lightcyan
POMGNT1	POMGNT1	lightcyan
TRAPPC6A	TRAPPC6A	lightcyan
UBXN1	UBXN1	lightcyan
APH1A	APH1A	lightcyan
RNF187	RNF187	lightcyan
SLC35C2	SLC35C2	lightcyan
MIF4GD	MIF4GD	lightcyan
VPS28	VPS28	lightcyan
VDAC2	VDAC2	lightcyan
AKT1	AKT1	lightcyan
KRTAP10-5	KRTAP10-5	lightcyan
HIF1AN	HIF1AN	lightcyan
SLC25A6	SLC25A6	lightcyan
TOLLIP	TOLLIP	lightcyan
COA3	COA3	lightcyan
NUFIP2	NUFIP2	lightcyan
KRTCAP2	KRTCAP2	lightcyan
CPEB4	CPEB4	lightcyan
ACTR1B	ACTR1B	lightcyan
SHARPIN	SHARPIN	lightcyan
GSDMD	GSDMD	lightcyan
ST3GAL3	ST3GAL3	lightcyan
NGRN	NGRN	lightcyan
RCE1	RCE1	lightcyan
UCK1	UCK1	lightcyan
RNASEK-C17orf49///C17orf49	RNASEK-C17orf49///C17orf49	lightcyan
DHX15	DHX15	lightcyan
CLDND1	CLDND1	lightcyan
TMEM219	TMEM219	lightcyan
GIPC1	GIPC1	lightcyan
PPHLN1	PPHLN1	lightcyan
TMEM259	TMEM259	lightcyan
NDUFAF3	NDUFAF3	lightcyan
TMEM129	TMEM129	lightcyan
LOC100421561///FAM133CP///FAM133DP///FAM133B	LOC100421561///FAM133CP///FAM133DP///FAM133B	lightcyan
NEMF	NEMF	lightcyan
TMEM203	TMEM203	lightcyan
PHB2	PHB2	lightcyan
COMT	COMT	lightcyan
VKORC1	VKORC1	lightcyan
TANK	TANK	lightcyan
MVB12A	MVB12A	lightcyan
WDR83OS	WDR83OS	lightcyan
ZFYVE19	ZFYVE19	lightcyan
QPRT	QPRT	lightcyan
ORMDL3	ORMDL3	lightcyan
MPST	MPST	lightcyan
DGCR6L	DGCR6L	lightcyan
FECH	FECH	lightcyan
SCAF11	SCAF11	lightcyan
NDUFA7	NDUFA7	lightcyan
NUDT16L1	NUDT16L1	lightcyan
TPRA1	TPRA1	lightcyan
TMEM175	TMEM175	lightcyan
PSMG2	PSMG2	lightcyan
ECHS1	ECHS1	lightcyan
DNAJB2	DNAJB2	lightcyan
ARRDC1	ARRDC1	lightcyan
MFSD14B	MFSD14B	lightcyan
ABHD16A	ABHD16A	lightcyan
TRMT112	TRMT112	lightcyan
C7orf26	C7orf26	lightcyan
CORO1B///PTPRCAP	CORO1B///PTPRCAP	lightcyan
PITHD1	PITHD1	lightcyan
HDAC11	HDAC11	lightcyan
KCNQ1	KCNQ1	lightcyan
TRAPPC3	TRAPPC3	lightcyan
