nodeName	altName	nodeAttr[nodesPresent, ]
DEFA1B///DEFA3///DEFA1	DEFA1B///DEFA3///DEFA1	lightcyan1
HBB	HBB	lightcyan1
HBA2///HBA1	HBA2///HBA1	lightcyan1
PPBP	PPBP	lightcyan1
ITGB3	ITGB3	lightcyan1
TUBB1	TUBB1	lightcyan1
RAB27B	RAB27B	lightcyan1
CD226	CD226	lightcyan1
PLEK	PLEK	lightcyan1
RGS18	RGS18	lightcyan1
ITGA2B	ITGA2B	lightcyan1
ELOVL7	ELOVL7	lightcyan1
MMP9	MMP9	lightcyan1
HIST1H4H	HIST1H4H	lightcyan1
PF4	PF4	lightcyan1
MMP8	MMP8	lightcyan1
HBD	HBD	lightcyan1
SNCA	SNCA	lightcyan1
MIR223	MIR223	lightcyan1
CNST	CNST	lightcyan1
DENND2C	DENND2C	lightcyan1
HPSE	HPSE	lightcyan1
SSX2IP	SSX2IP	lightcyan1
TMEM91	TMEM91	lightcyan1
TUBA4A	TUBA4A	lightcyan1
NFE2	NFE2	lightcyan1
RNASE3	RNASE3	lightcyan1
LAT	LAT	lightcyan1
DEFA4	DEFA4	lightcyan1
MAP3K5	MAP3K5	lightcyan1
RUFY1	RUFY1	lightcyan1
BPI	BPI	lightcyan1
PADI4	PADI4	lightcyan1
TMEM40	TMEM40	lightcyan1
OLFM4	OLFM4	lightcyan1
EGF	EGF	lightcyan1
P2RX1	P2RX1	lightcyan1
CYP4F3	CYP4F3	lightcyan1
CA1	CA1	lightcyan1
TSPAN33	TSPAN33	lightcyan1
GP6	GP6	lightcyan1
CDKN2D	CDKN2D	lightcyan1
CLEC1B	CLEC1B	lightcyan1
GTPBP2	GTPBP2	lightcyan1
ALOX12	ALOX12	lightcyan1
CEACAM8	CEACAM8	lightcyan1
TREML1	TREML1	lightcyan1
SLFN14	SLFN14	lightcyan1
