nodeName	altName	nodeAttr[nodesPresent, ]
HLA-DRB1///HLA-DQB1	HLA-DRB1///HLA-DQB1	lightgreen
HLA-DQB1	HLA-DQB1	lightgreen
RGS1	RGS1	lightgreen
CCL19	CCL19	lightgreen
GZMK	GZMK	lightgreen
HLA-DRB5	HLA-DRB5	lightgreen
CD69	CD69	lightgreen
HLA-DQA1	HLA-DQA1	lightgreen
CCL5	CCL5	lightgreen
KLRC4-KLRK1///KLRK1	KLRC4-KLRK1///KLRK1	lightgreen
ITK	ITK	lightgreen
GBP5	GBP5	lightgreen
NKG7	NKG7	lightgreen
ANKRD22	ANKRD22	lightgreen
RASGRP1	RASGRP1	lightgreen
SLAMF7	SLAMF7	lightgreen
GPR174	GPR174	lightgreen
BTN3A2	BTN3A2	lightgreen
GZMA	GZMA	lightgreen
PRF1	PRF1	lightgreen
KLRC4-KLRK1	KLRC4-KLRK1	lightgreen
CD38	CD38	lightgreen
GVINP1	GVINP1	lightgreen
HLA-DQB2///HLA-DQB1	HLA-DQB2///HLA-DQB1	lightgreen
CXCL9	CXCL9	lightgreen
PRDM1	PRDM1	lightgreen
TNFSF8	TNFSF8	lightgreen
CXCR4	CXCR4	lightgreen
CYTIP	CYTIP	lightgreen
KCNA3	KCNA3	lightgreen
SLAMF6	SLAMF6	lightgreen
KLRC4-KLRK1///KLRC4	KLRC4-KLRK1///KLRC4	lightgreen
ITGA4	ITGA4	lightgreen
KLRG1	KLRG1	lightgreen
CD48	CD48	lightgreen
SLFN12L	SLFN12L	lightgreen
CD3G	CD3G	lightgreen
CD2	CD2	lightgreen
TRAT1	TRAT1	lightgreen
GPR171	GPR171	lightgreen
CD96	CD96	lightgreen
GZMB	GZMB	lightgreen
IKZF3	IKZF3	lightgreen
HLA-DOA	HLA-DOA	lightgreen
SLC4A7	SLC4A7	lightgreen
BST2	BST2	lightgreen
CCR4	CCR4	lightgreen
IL2RG	IL2RG	lightgreen
GRAP2	GRAP2	lightgreen
HLA-DMA	HLA-DMA	lightgreen
ARHGAP15	ARHGAP15	lightgreen
SYTL3	SYTL3	lightgreen
THEMIS	THEMIS	lightgreen
STAT4	STAT4	lightgreen
SH2D1A	SH2D1A	lightgreen
RHOH	RHOH	lightgreen
DOCK10	DOCK10	lightgreen
PARP15	PARP15	lightgreen
BTN3A3	BTN3A3	lightgreen
KLRD1	KLRD1	lightgreen
CTLA4	CTLA4	lightgreen
CD27	CD27	lightgreen
PYHIN1	PYHIN1	lightgreen
MCOLN2	MCOLN2	lightgreen
CD3E	CD3E	lightgreen
CAMK4	CAMK4	lightgreen
HCP5	HCP5	lightgreen
FGL2	FGL2	lightgreen
CTSW	CTSW	lightgreen
STAMBPL1	STAMBPL1	lightgreen
EMB	EMB	lightgreen
INPP5D	INPP5D	lightgreen
CD74///ROS1	CD74///ROS1	lightgreen
TXK	TXK	lightgreen
CLEC2D	CLEC2D	lightgreen
AIM1	AIM1	lightgreen
TRIM22	TRIM22	lightgreen
ATP2A3	ATP2A3	lightgreen
ETS1	ETS1	lightgreen
IKZF1	IKZF1	lightgreen
ARL4C	ARL4C	lightgreen
CD3D	CD3D	lightgreen
IPCEF1///CNKSR3	IPCEF1///CNKSR3	lightgreen
PSMB9	PSMB9	lightgreen
LRMP	LRMP	lightgreen
BTN3A1	BTN3A1	lightgreen
UBA7	UBA7	lightgreen
CD8A	CD8A	lightgreen
CXCL13	CXCL13	lightgreen
NFE2L3	NFE2L3	lightgreen
LGALS2	LGALS2	lightgreen
SIDT1	SIDT1	lightgreen
HLA-DMB	HLA-DMB	lightgreen
SFMBT2	SFMBT2	lightgreen
UBD	UBD	lightgreen
CEP128	CEP128	lightgreen
OXNAD1	OXNAD1	lightgreen
GNG2	GNG2	lightgreen
HLA-DOB	HLA-DOB	lightgreen
PTGDR	PTGDR	lightgreen
ITGB7	ITGB7	lightgreen
TRAF3IP3	TRAF3IP3	lightgreen
SEMA4D	SEMA4D	lightgreen
HLA-F///HLA-B	HLA-F///HLA-B	lightgreen
HELB	HELB	lightgreen
