nodeName	altName	nodeAttr[nodesPresent, ]
IGK///IGKC	IGK///IGKC	lightsteelblue1
IGHM///IGHV3-48///IGHV3-69-1	IGHM///IGHV3-48///IGHV3-69-1	lightsteelblue1
IGKC	IGKC	lightsteelblue1
LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH	LOC102723407///IGHV4-31///IGHM///IGHD///IGHA2///LOC102723407///SKAP2///IGHA2///IGHA1///IGH	lightsteelblue1
IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7	IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-69-1///IGHV3OR16-7	lightsteelblue1
SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	SCFV///IGLJ3///IGHV3-23///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	lightsteelblue1
JCHAIN	JCHAIN	lightsteelblue1
SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	SCFV///IGLJ3///IGHV3-23///IGHV3-41///IGHV4-31///IGHM///IGHG2///IGHG1///IGHA1///IGH///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-48///IGHV3-75///IGHV3-69-1///IGHV3OR16-7	lightsteelblue1
SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHG1///IGHD///C14orf99///IGHV3-48///IGHV3-69-1	lightsteelblue1
IGHV3-69-1///IGHV3OR16-7	IGHV3-69-1///IGHV3OR16-7	lightsteelblue1
SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	SCFV///IGLJ3///IGHM///IGHA1///SCFV///C14orf99///IGK///IGKV3-20///IGHV3-23///IGHV3-30///IGHV3-48///IGHV3-69-1	lightsteelblue1
IGHV3-48///IGHV3-69-1///IGHV3OR16-7	IGHV3-48///IGHV3-69-1///IGHV3OR16-7	lightsteelblue1
SCFV///IGHM///SCFV///IGHV3-30	SCFV///IGHM///SCFV///IGHV3-30	lightsteelblue1
IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1	IGHA1///SCFV///C14orf99///IGHV3-48///IGHV3-69-1	lightsteelblue1
PIM2	PIM2	lightsteelblue1
IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH	IGHM///IGHG1///IGHD///IGHA2///IGHA1///IGHA2///IGHA1///IGH	lightsteelblue1
FAM46C	FAM46C	lightsteelblue1
ITM2C	ITM2C	lightsteelblue1
KLHL6	KLHL6	lightsteelblue1
MZB1	MZB1	lightsteelblue1
PDK1	PDK1	lightsteelblue1
BCL2L11	BCL2L11	lightsteelblue1
ST6GAL1	ST6GAL1	lightsteelblue1
FCGR2B	FCGR2B	lightsteelblue1
PKI55	PKI55	lightsteelblue1
RAB30	RAB30	lightsteelblue1
CD79A	CD79A	lightsteelblue1
SPATS2	SPATS2	lightsteelblue1
HERPUD1	HERPUD1	lightsteelblue1
BMF	BMF	lightsteelblue1
BLNK	BLNK	lightsteelblue1
LRRK1	LRRK1	lightsteelblue1
EEF1E1-BLOC1S5///BLOC1S5-TXNDC5///TXNDC5///BLOC1S5	EEF1E1-BLOC1S5///BLOC1S5-TXNDC5///TXNDC5///BLOC1S5	lightsteelblue1
CREB3L2	CREB3L2	lightsteelblue1
FUT8	FUT8	lightsteelblue1
FCRL5	FCRL5	lightsteelblue1
DERL3	DERL3	lightsteelblue1
FAM69A	FAM69A	lightsteelblue1
CTSG	CTSG	lightsteelblue1
RALGPS2	RALGPS2	lightsteelblue1
CFAP97	CFAP97	lightsteelblue1
BAG1	BAG1	lightsteelblue1
IGLL3P///IGLL1	IGLL3P///IGLL1	lightsteelblue1
C11orf80	C11orf80	lightsteelblue1
IRF4	IRF4	lightsteelblue1
ZNF215	ZNF215	lightsteelblue1
DENND5B	DENND5B	lightsteelblue1
HSH2D	HSH2D	lightsteelblue1
MRPS21	MRPS21	lightsteelblue1
