nodeName	altName	nodeAttr[nodesPresent, ]
S100A12	S100A12	magenta
SFRP2	SFRP2	magenta
S100A9	S100A9	magenta
AQP9	AQP9	magenta
MGAM	MGAM	magenta
S100A8	S100A8	magenta
RANBP3L	RANBP3L	magenta
VNN2	VNN2	magenta
OGN	OGN	magenta
FABP4	FABP4	magenta
CPA3	CPA3	magenta
SLC18A2	SLC18A2	magenta
GEM	GEM	magenta
CXCR1	CXCR1	magenta
LRRC32	LRRC32	magenta
MS4A2	MS4A2	magenta
LRRN4	LRRN4	magenta
KIT	KIT	magenta
HPGDS	HPGDS	magenta
HDC	HDC	magenta
SELL	SELL	magenta
CR1	CR1	magenta
RNASE2	RNASE2	magenta
CXCR2	CXCR2	magenta
TPSB2///TPSD1///TPSAB1	TPSB2///TPSD1///TPSAB1	magenta
MTND2P28	MTND2P28	magenta
RBP4	RBP4	magenta
RGS13	RGS13	magenta
HLA-DQA2///HLA-DQA1	HLA-DQA2///HLA-DQA1	magenta
PROK2	PROK2	magenta
CD1C	CD1C	magenta
FPR1	FPR1	magenta
BMP1	BMP1	magenta
ITGAM	ITGAM	magenta
MXD1	MXD1	magenta
NT5E	NT5E	magenta
CSF3R	CSF3R	magenta
FCN1	FCN1	magenta
XAF1	XAF1	magenta
LILRB3	LILRB3	magenta
TLR1	TLR1	magenta
MFAP5	MFAP5	magenta
C7	C7	magenta
FZD7	FZD7	magenta
CD300E	CD300E	magenta
ADGRE2	ADGRE2	magenta
LILRB2	LILRB2	magenta
MNDA	MNDA	magenta
TRIM16	TRIM16	magenta
GGTA1P	GGTA1P	magenta
PI16	PI16	magenta
SPNS2	SPNS2	magenta
LYN	LYN	magenta
SIGLEC9	SIGLEC9	magenta
HLA-DPB1	HLA-DPB1	magenta
PYGL	PYGL	magenta
HIST2H4B	HIST2H4B	magenta
HIST2H4A	HIST2H4A	magenta
IFI6	IFI6	magenta
PLXNC1	PLXNC1	magenta
NAIP	NAIP	magenta
GCA	GCA	magenta
SESN1	SESN1	magenta
DYSF	DYSF	magenta
MSRB1	MSRB1	magenta
IL1RN	IL1RN	magenta
LILRA1	LILRA1	magenta
CDC25B	CDC25B	magenta
SLC16A4	SLC16A4	magenta
SLC25A37	SLC25A37	magenta
LILRA3	LILRA3	magenta
LEF1	LEF1	magenta
ADGRE1	ADGRE1	magenta
ACPP	ACPP	magenta
SCARA5	SCARA5	magenta
STK26	STK26	magenta
C1orf186	C1orf186	magenta
ABCC9	ABCC9	magenta
PTGDS	PTGDS	magenta
ARHGEF28	ARHGEF28	magenta
OLFML3	OLFML3	magenta
RASSF2	RASSF2	magenta
QPCT	QPCT	magenta
CFP	CFP	magenta
CASKIN2	CASKIN2	magenta
FCER1A	FCER1A	magenta
BACH1	BACH1	magenta
PLA2G5	PLA2G5	magenta
KLF12	KLF12	magenta
LILRB1	LILRB1	magenta
HLA-DPA1	HLA-DPA1	magenta
VWA5A	VWA5A	magenta
SORL1	SORL1	magenta
PTPRE	PTPRE	magenta
BCL2A1	BCL2A1	magenta
SERPINB9P1	SERPINB9P1	magenta
FCAR	FCAR	magenta
TBCEL	TBCEL	magenta
BBS2	BBS2	magenta
ABCA1	ABCA1	magenta
CD1E	CD1E	magenta
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	magenta
CPPED1	CPPED1	magenta
CEACAM1	CEACAM1	magenta
GLT1D1	GLT1D1	magenta
TRANK1	TRANK1	magenta
GPR141	GPR141	magenta
