nodeName	altName	nodeAttr[nodesPresent, ]
OLR1	OLR1	mediumpurple3
INHBA///INHBA	INHBA///INHBA	mediumpurple3
MSR1	MSR1	mediumpurple3
LY86	LY86	mediumpurple3
BHLHE41	BHLHE41	mediumpurple3
FBP1	FBP1	mediumpurple3
FABP3	FABP3	mediumpurple3
PPARG	PPARG	mediumpurple3
GPRIN3	GPRIN3	mediumpurple3
TREM1	TREM1	mediumpurple3
CD52	CD52	mediumpurple3
MS4A14///MS4A7	MS4A14///MS4A7	mediumpurple3
ADTRP	ADTRP	mediumpurple3
MCEMP1	MCEMP1	mediumpurple3
GPD1	GPD1	mediumpurple3
PCOLCE2	PCOLCE2	mediumpurple3
CDCP1	CDCP1	mediumpurple3
CXCL16	CXCL16	mediumpurple3
SLC47A1	SLC47A1	mediumpurple3
ALOX5	ALOX5	mediumpurple3
STAC	STAC	mediumpurple3
SIDT2	SIDT2	mediumpurple3
GALNT12	GALNT12	mediumpurple3
FFAR4	FFAR4	mediumpurple3
CD101	CD101	mediumpurple3
PNPLA6	PNPLA6	mediumpurple3
ATP6V0D2	ATP6V0D2	mediumpurple3
CORO2A	CORO2A	mediumpurple3
TCF7L2	TCF7L2	mediumpurple3
LTA4H	LTA4H	mediumpurple3
SPN	SPN	mediumpurple3
SVIL	SVIL	mediumpurple3
ADAMTSL4	ADAMTSL4	mediumpurple3
MANBA	MANBA	mediumpurple3
FIG4	FIG4	mediumpurple3
DNAJC5B	DNAJC5B	mediumpurple3
TRPV2	TRPV2	mediumpurple3
APOC4-APOC2///APOC2	APOC4-APOC2///APOC2	mediumpurple3
SGPP1	SGPP1	mediumpurple3
CLIP4	CLIP4	mediumpurple3
DCSTAMP	DCSTAMP	mediumpurple3
ACO1	ACO1	mediumpurple3
PEX14	PEX14	mediumpurple3
PDE1B	PDE1B	mediumpurple3
OASL	OASL	mediumpurple3
ITGAE	ITGAE	mediumpurple3
DNASE2B	DNASE2B	mediumpurple3
ADGRE4P	ADGRE4P	mediumpurple3
