nodeName	altName	nodeAttr[nodesPresent, ]
PHEX	PHEX	midnightblue
ENPP2	ENPP2	midnightblue
ANGPT2	ANGPT2	midnightblue
EDNRA	EDNRA	midnightblue
APLN	APLN	midnightblue
ZNF521	ZNF521	midnightblue
ADGRG6	ADGRG6	midnightblue
TRPC6	TRPC6	midnightblue
FAT3	FAT3	midnightblue
PLK2	PLK2	midnightblue
BCHE	BCHE	midnightblue
TGFB2	TGFB2	midnightblue
ABCG2	ABCG2	midnightblue
BMP3///BMP3	BMP3///BMP3	midnightblue
SEMA6D	SEMA6D	midnightblue
SGIP1	SGIP1	midnightblue
FRZB	FRZB	midnightblue
CHN1	CHN1	midnightblue
LRRC36	LRRC36	midnightblue
BMP5///BMP5	BMP5///BMP5	midnightblue
PCDHB16	PCDHB16	midnightblue
CPE	CPE	midnightblue
GUCY1A2	GUCY1A2	midnightblue
MEG3	MEG3	midnightblue
PLCB1	PLCB1	midnightblue
PREX2	PREX2	midnightblue
NR5A2	NR5A2	midnightblue
UACA	UACA	midnightblue
TNFRSF19	TNFRSF19	midnightblue
OVOS///OVOS2	OVOS///OVOS2	midnightblue
MFAP4	MFAP4	midnightblue
MCOLN3	MCOLN3	midnightblue
ABCA8	ABCA8	midnightblue
MAOB	MAOB	midnightblue
PCDH18	PCDH18	midnightblue
GPC3	GPC3	midnightblue
RNF152	RNF152	midnightblue
PDE5A	PDE5A	midnightblue
GNG11	GNG11	midnightblue
SLC35F2	SLC35F2	midnightblue
FAM13C	FAM13C	midnightblue
ZFPM2	ZFPM2	midnightblue
PCDH15	PCDH15	midnightblue
ITGA6	ITGA6	midnightblue
CXorf36	CXorf36	midnightblue
PTPRD	PTPRD	midnightblue
CNTN1	CNTN1	midnightblue
ANO1	ANO1	midnightblue
RHOJ	RHOJ	midnightblue
TMEM133	TMEM133	midnightblue
PCDHB5	PCDHB5	midnightblue
WNT2	WNT2	midnightblue
TNXB///TNXA	TNXB///TNXA	midnightblue
RERG	RERG	midnightblue
LTBP1	LTBP1	midnightblue
PGM5	PGM5	midnightblue
PTN	PTN	midnightblue
FAM162B	FAM162B	midnightblue
ZNF154	ZNF154	midnightblue
NDNF	NDNF	midnightblue
DPYSL3	DPYSL3	midnightblue
ABLIM3	ABLIM3	midnightblue
SLC12A2	SLC12A2	midnightblue
EDIL3	EDIL3	midnightblue
SAMD5	SAMD5	midnightblue
LAMA4	LAMA4	midnightblue
