nodeName	altName	nodeAttr[nodesPresent, ]
CHIAP2	CHIAP2	orange
MS4A15	MS4A15	orange
AGBL1	AGBL1	orange
CFTR	CFTR	orange
CRTAC1	CRTAC1	orange
VEPH1	VEPH1	orange
ACOXL	ACOXL	orange
CABLES1	CABLES1	orange
HHIP	HHIP	orange
SLCO4C1	SLCO4C1	orange
KCNJ15	KCNJ15	orange
MALL	MALL	orange
MICALCL	MICALCL	orange
SHC3	SHC3	orange
ESYT3	ESYT3	orange
FGFR2	FGFR2	orange
MFSD2A///MFSD2A	MFSD2A///MFSD2A	orange
TMEM163	TMEM163	orange
F11	F11	orange
SLC4A4	SLC4A4	orange
TMPRSS2///LOC285847///FKBP5	TMPRSS2///LOC285847///FKBP5	orange
SYT15	SYT15	orange
C2	C2	orange
PDE4D	PDE4D	orange
FLJ16734	FLJ16734	orange
CXADR	CXADR	orange
NHSL1	NHSL1	orange
GGTLC1	GGTLC1	orange
C16orf89	C16orf89	orange
ACTR3C	ACTR3C	orange
SHISA2	SHISA2	orange
ABCA3	ABCA3	orange
P3H2	P3H2	orange
TOX	TOX	orange
GCNT2	GCNT2	orange
FREM2	FREM2	orange
LPCAT1	LPCAT1	orange
DOK4	DOK4	orange
MLPH	MLPH	orange
DRAM1	DRAM1	orange
PRTG	PRTG	orange
MET	MET	orange
SFTPD	SFTPD	orange
TMEM125	TMEM125	orange
RHOBTB2	RHOBTB2	orange
PRKCQ	PRKCQ	orange
ARFGEF3	ARFGEF3	orange
PARM1	PARM1	orange
SLC22A3	SLC22A3	orange
TMEM63B	TMEM63B	orange
S100A14	S100A14	orange
AHCYL2	AHCYL2	orange
NAPSA	NAPSA	orange
SFTA2	SFTA2	orange
LIPH	LIPH	orange
ERBB4	ERBB4	orange
ARHGEF38	ARHGEF38	orange
ADGRV1	ADGRV1	orange
CTSH	CTSH	orange
MUC1	MUC1	orange
ATP11A	ATP11A	orange
LRRK2	LRRK2	orange
ITGB6///ITGB6	ITGB6///ITGB6	orange
CDKL2	CDKL2	orange
GGT2///GGT8P///GGTLC2///GGT3P///GGT1	GGT2///GGT8P///GGTLC2///GGT3P///GGT1	orange
MPP7	MPP7	orange
SLC34A2///SLC34A2	SLC34A2///SLC34A2	orange
STARD10	STARD10	orange
PXMP4	PXMP4	orange
SCIN	SCIN	orange
RAP1GAP	RAP1GAP	orange
TMEM243	TMEM243	orange
DHRS1	DHRS1	orange
ITPR3	ITPR3	orange
SNX30	SNX30	orange
RAB17	RAB17	orange
GPR160	GPR160	orange
LAMP3	LAMP3	orange
CPD	CPD	orange
DCBLD2	DCBLD2	orange
CLUHP3	CLUHP3	orange
ROS1///LRIG3///SLC34A2///ROS1	ROS1///LRIG3///SLC34A2///ROS1	orange
GGT2///GGTLC2///GGT3P///GGT1	GGT2///GGTLC2///GGT3P///GGT1	orange
ESRP2	ESRP2	orange
EPHX2	EPHX2	orange
PTPN3	PTPN3	orange
MYO5C	MYO5C	orange
TTC39A	TTC39A	orange
RNF128	RNF128	orange
KIAA1324L	KIAA1324L	orange
GGA2	GGA2	orange
BOK	BOK	orange
ST3GAL5	ST3GAL5	orange
TMEM41A	TMEM41A	orange
LAPTM4B	LAPTM4B	orange
KANK1	KANK1	orange
GGT2///GGT8P///GGTLC1///GGTLC2///GGT3P///GGT1	GGT2///GGT8P///GGTLC1///GGTLC2///GGT3P///GGT1	orange
LNX2	LNX2	orange
NAPSB	NAPSB	orange
TMEM116	TMEM116	orange
MRPL14	MRPL14	orange
PTPN13	PTPN13	orange
SMAGP	SMAGP	orange
PID1	PID1	orange
COLEC12	COLEC12	orange
MTRR	MTRR	orange
NECAB3	NECAB3	orange
UXS1	UXS1	orange
MECOM	MECOM	orange
MTUS1	MTUS1	orange
CORIN	CORIN	orange
MAL2	MAL2	orange
KIAA1958	KIAA1958	orange
ST7	ST7	orange
ACACA	ACACA	orange
ARHGAP44	ARHGAP44	orange
SPINT2	SPINT2	orange
LLGL2	LLGL2	orange
GGTLC2	GGTLC2	orange
FAM118B	FAM118B	orange
RAD1	RAD1	orange
DDAH1	DDAH1	orange
NCMAP	NCMAP	orange
BTBD9	BTBD9	orange
BSPRY	BSPRY	orange
NPC2	NPC2	orange
SFTPA2///SFTPA1///SFTPA2///SFTPA1	SFTPA2///SFTPA1///SFTPA2///SFTPA1	orange
PTPRK	PTPRK	orange
TMEM30B	TMEM30B	orange
UFD1L	UFD1L	orange
MMP15	MMP15	orange
CERS2	CERS2	orange
RASGRF1	RASGRF1	orange
SEZ6L2	SEZ6L2	orange
HSF4	HSF4	orange
EVPL	EVPL	orange
SFTPB	SFTPB	orange
ISOC1	ISOC1	orange
