nodeName	altName	nodeAttr[nodesPresent, ]
ESM1	ESM1	paleturquoise
RGS5	RGS5	paleturquoise
BMP6///BMP6	BMP6///BMP6	paleturquoise
AKR1C2	AKR1C2	paleturquoise
FASN	FASN	paleturquoise
SELP	SELP	paleturquoise
NQO1	NQO1	paleturquoise
AKR1C3	AKR1C3	paleturquoise
STC1	STC1	paleturquoise
AKR1C1	AKR1C1	paleturquoise
TMEM45B	TMEM45B	paleturquoise
PHLDB2	PHLDB2	paleturquoise
GJA1	GJA1	paleturquoise
GSTA4	GSTA4	paleturquoise
ACSM3	ACSM3	paleturquoise
CBSL///CBS	CBSL///CBS	paleturquoise
PDE10A	PDE10A	paleturquoise
TST	TST	paleturquoise
RRAGD	RRAGD	paleturquoise
FAH	FAH	paleturquoise
MTMR4	MTMR4	paleturquoise
HSD17B14	HSD17B14	paleturquoise
LONRF2	LONRF2	paleturquoise
MGST1	MGST1	paleturquoise
SHMT1	SHMT1	paleturquoise
LSS	LSS	paleturquoise
KNSTRN	KNSTRN	paleturquoise
RASEF	RASEF	paleturquoise
RFTN1	RFTN1	paleturquoise
SNORD56B	SNORD56B	paleturquoise
PRKCD	PRKCD	paleturquoise
PCYT2	PCYT2	paleturquoise
CDK17	CDK17	paleturquoise
MEGF9	MEGF9	paleturquoise
DPY19L1	DPY19L1	paleturquoise
ARRDC3	ARRDC3	paleturquoise
JMJD1C	JMJD1C	paleturquoise
MLX	MLX	paleturquoise
BCKDHA	BCKDHA	paleturquoise
C1orf210	C1orf210	paleturquoise
NAP1L5	NAP1L5	paleturquoise
NUPR1	NUPR1	paleturquoise
SKIL	SKIL	paleturquoise
MALT1	MALT1	paleturquoise
CHD1	CHD1	paleturquoise
CPT2	CPT2	paleturquoise
FAM49A	FAM49A	paleturquoise
DENND4A	DENND4A	paleturquoise
CREM	CREM	paleturquoise
HADH	HADH	paleturquoise
AKAP1	AKAP1	paleturquoise
MRPS25	MRPS25	paleturquoise
ABHD4	ABHD4	paleturquoise
SLC25A5	SLC25A5	paleturquoise
FAM135A	FAM135A	paleturquoise
UAP1L1	UAP1L1	paleturquoise
ITPK1	ITPK1	paleturquoise
AHI1	AHI1	paleturquoise
SFPQ	SFPQ	paleturquoise
MFSD13A	MFSD13A	paleturquoise
CLDN12	CLDN12	paleturquoise
ASPH	ASPH	paleturquoise
IRF2	IRF2	paleturquoise
TGIF2	TGIF2	paleturquoise
PPP2R1B	PPP2R1B	paleturquoise
RANBP2	RANBP2	paleturquoise
BTAF1	BTAF1	paleturquoise
SLC25A24	SLC25A24	paleturquoise
HMGCL	HMGCL	paleturquoise
MCCC2	MCCC2	paleturquoise
TMEM251	TMEM251	paleturquoise
NOD1	NOD1	paleturquoise
GMPR2	GMPR2	paleturquoise
HSD17B4	HSD17B4	paleturquoise
DDX3X	DDX3X	paleturquoise
NT5C3B	NT5C3B	paleturquoise
PPFIA1	PPFIA1	paleturquoise
TLCD1	TLCD1	paleturquoise
SNX27	SNX27	paleturquoise
TMEM53	TMEM53	paleturquoise
NIPSNAP1	NIPSNAP1	paleturquoise
ERGIC1	ERGIC1	paleturquoise
CSNK1A1	CSNK1A1	paleturquoise
SMOX	SMOX	paleturquoise
IGF2R	IGF2R	paleturquoise
RBM25	RBM25	paleturquoise
ACOX1	ACOX1	paleturquoise
