nodeName	altName	nodeAttr[nodesPresent, ]
POSTN	POSTN	pink
VSIG4	VSIG4	pink
ANPEP	ANPEP	pink
ART4	ART4	pink
HCK	HCK	pink
RFTN2	RFTN2	pink
FCGR1CP///FCGR1B///FCGR1A	FCGR1CP///FCGR1B///FCGR1A	pink
CYBB	CYBB	pink
CD14	CD14	pink
ITGAX	ITGAX	pink
LOX	LOX	pink
CCL4L1///CCL4L2///CCL4///CCL4L1	CCL4L1///CCL4L2///CCL4///CCL4L1	pink
MPEG1	MPEG1	pink
IL1B	IL1B	pink
CCL3	CCL3	pink
CTGF	CTGF	pink
PIK3AP1	PIK3AP1	pink
F2R	F2R	pink
UCP2	UCP2	pink
RGS7BP	RGS7BP	pink
ICAM3	ICAM3	pink
FMO3	FMO3	pink
IGSF6	IGSF6	pink
INSR	INSR	pink
PSTPIP2	PSTPIP2	pink
IL10RA	IL10RA	pink
MIR32	MIR32	pink
NCF2	NCF2	pink
EYA4	EYA4	pink
FCER1G	FCER1G	pink
ITGA8	ITGA8	pink
MYO1F	MYO1F	pink
FERMT3	FERMT3	pink
CYTH4	CYTH4	pink
ITGB2	ITGB2	pink
CCL4	CCL4	pink
CDO1	CDO1	pink
PCDHA10	PCDHA10	pink
CORO1A	CORO1A	pink
BIN2	BIN2	pink
MYO1G	MYO1G	pink
PGAP1	PGAP1	pink
GRB10	GRB10	pink
CST7	CST7	pink
MILR1///MILR1	MILR1///MILR1	pink
FCGR3B///FCGR3A	FCGR3B///FCGR3A	pink
EBF1///PDGFRB	EBF1///PDGFRB	pink
SIRPB1	SIRPB1	pink
ATP1A2	ATP1A2	pink
KCNJ2	KCNJ2	pink
PILRA	PILRA	pink
IFI30	IFI30	pink
TLR8	TLR8	pink
DOK2	DOK2	pink
FCGR3A	FCGR3A	pink
IL3RA	IL3RA	pink
PPARGC1A	PPARGC1A	pink
SCIMP	SCIMP	pink
SELPLG	SELPLG	pink
MUSK	MUSK	pink
EMP3	EMP3	pink
CCL3L3///CCL3L1///CCL3	CCL3L3///CCL3L1///CCL3	pink
MARK1	MARK1	pink
FST	FST	pink
KCNAB2	KCNAB2	pink
ID4	ID4	pink
C1orf162	C1orf162	pink
APBB1IP	APBB1IP	pink
ACACB	ACACB	pink
NCF4	NCF4	pink
DOCK2	DOCK2	pink
CCRL2///CCRL2	CCRL2///CCRL2	pink
ZNF189	ZNF189	pink
SBSPON	SBSPON	pink
FLVCR2	FLVCR2	pink
CLEC4A	CLEC4A	pink
RBMS3	RBMS3	pink
TIAM1	TIAM1	pink
SNORD113-4	SNORD113-4	pink
SUSD1	SUSD1	pink
ARHGAP30	ARHGAP30	pink
TLR2	TLR2	pink
DGKH	DGKH	pink
SNORD114-2	SNORD114-2	pink
LRRC1	LRRC1	pink
NLRC4	NLRC4	pink
ABCC3	ABCC3	pink
RORA	RORA	pink
CD53	CD53	pink
LCP1	LCP1	pink
VAV1	VAV1	pink
FSTL1	FSTL1	pink
RNF217	RNF217	pink
FGD2	FGD2	pink
TALDO1	TALDO1	pink
CLEC7A	CLEC7A	pink
CDC37L1	CDC37L1	pink
MBIP	MBIP	pink
KANSL1L	KANSL1L	pink
THEMIS2	THEMIS2	pink
CHML	CHML	pink
DESI2	DESI2	pink
HK3	HK3	pink
LST1	LST1	pink
LILRB4	LILRB4	pink
DMXL2	DMXL2	pink
PLCB2	PLCB2	pink
ITPR1	ITPR1	pink
PRKCB	PRKCB	pink
TMEM154	TMEM154	pink
GPC4	GPC4	pink
MPP1	MPP1	pink
SYK	SYK	pink
EVI2B	EVI2B	pink
PTPN6	PTPN6	pink
TNFRSF1B	TNFRSF1B	pink
CD300A	CD300A	pink
PTPRJ	PTPRJ	pink
NAAA	NAAA	pink
CSF2RB	CSF2RB	pink
G6PD	G6PD	pink
NAGA	NAGA	pink
SORBS2	SORBS2	pink
STXBP2	STXBP2	pink
IL17RA	IL17RA	pink
FLNB	FLNB	pink
RAPGEF3	RAPGEF3	pink
NCF1C///NCF1B///NCF1	NCF1C///NCF1B///NCF1	pink
HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2	HERC2P4///HERC2P9///HERC2P2///HERC2P3///HERC2	pink
TEAD1	TEAD1	pink
TPD52L1	TPD52L1	pink
SNORD113-3	SNORD113-3	pink
LRRC70	LRRC70	pink
STK10	STK10	pink
TRPC1	TRPC1	pink
ABLIM1	ABLIM1	pink
LPAR1	LPAR1	pink
TMEM106A	TMEM106A	pink
CNTN4	CNTN4	pink
COTL1	COTL1	pink
HERC2P9///HERC2P2///HERC2P3///HERC2	HERC2P9///HERC2P2///HERC2P3///HERC2	pink
TNAP	TNAP	pink
SQRDL	SQRDL	pink
SULT1E1	SULT1E1	pink
SIRPA	SIRPA	pink
DTNA	DTNA	pink
SPI1	SPI1	pink
LCP2	LCP2	pink
LMNB1	LMNB1	pink
NFIA	NFIA	pink
CTTNBP2	CTTNBP2	pink
PLIN3	PLIN3	pink
CACNB2	CACNB2	pink
SLC7A7	SLC7A7	pink
EFHD2	EFHD2	pink
CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3///CT45A8	CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3///CT45A8	pink
AIF1	AIF1	pink
ZNF483	ZNF483	pink
JAK3	JAK3	pink
PLXNA1	PLXNA1	pink
CAMSAP2	CAMSAP2	pink
PALLD	PALLD	pink
LMBR1	LMBR1	pink
FKBP7	FKBP7	pink
HERC2P4///HERC2P2///HERC2P3///HERC2	HERC2P4///HERC2P2///HERC2P3///HERC2	pink
TRIM25	TRIM25	pink
GRK6	GRK6	pink
SCARB1	SCARB1	pink
FMNL1	FMNL1	pink
XPO6	XPO6	pink
CHIC2///CHIC2	CHIC2///CHIC2	pink
PFN1P2	PFN1P2	pink
USP6NL	USP6NL	pink
NRROS	NRROS	pink
FKBP15	FKBP15	pink
UBTD2	UBTD2	pink
NOX4	NOX4	pink
CASP8	CASP8	pink
FLOT2	FLOT2	pink
PIK3CD	PIK3CD	pink
GPR65	GPR65	pink
ARRB2	ARRB2	pink
CRYBG3	CRYBG3	pink
MGAT1	MGAT1	pink
NAGK	NAGK	pink
CSK	CSK	pink
STX4	STX4	pink
SREBF1	SREBF1	pink
TDRP	TDRP	pink
PTPN14	PTPN14	pink
ISM1	ISM1	pink
SIRPB2	SIRPB2	pink
MYD88	MYD88	pink
TLR5	TLR5	pink
PROCR	PROCR	pink
UBE2J1	UBE2J1	pink
CSPG4P5	CSPG4P5	pink
