nodeName	altName	nodeAttr[nodesPresent, ]
GRIA1	GRIA1	plum1
AGR2	AGR2	plum1
CDH13	CDH13	plum1
ADAMTSL3	ADAMTSL3	plum1
PRELP	PRELP	plum1
SVEP1///SVEP1	SVEP1///SVEP1	plum1
HIP1	HIP1	plum1
AOC3	AOC3	plum1
PTPRS	PTPRS	plum1
FGFR4	FGFR4	plum1
ADGRD1	ADGRD1	plum1
IGFBP5	IGFBP5	plum1
ADCY9	ADCY9	plum1
FBLN5	FBLN5	plum1
CHRDL1	CHRDL1	plum1
PRDX4	PRDX4	plum1
HEG1	HEG1	plum1
CAMK2N1	CAMK2N1	plum1
PEAK1	PEAK1	plum1
SEC11C	SEC11C	plum1
MAL	MAL	plum1
AMOTL2	AMOTL2	plum1
FHL1	FHL1	plum1
NPFF	NPFF	plum1
TNS1	TNS1	plum1
KANK2	KANK2	plum1
PPP1R13B	PPP1R13B	plum1
APOO	APOO	plum1
GDF10///GDF10	GDF10///GDF10	plum1
ADARB1	ADARB1	plum1
NEO1	NEO1	plum1
FARP1	FARP1	plum1
LAMB2	LAMB2	plum1
NDST1	NDST1	plum1
SLC44A2	SLC44A2	plum1
PTRF	PTRF	plum1
RECK	RECK	plum1
SPTBN1	SPTBN1	plum1
WNT2B	WNT2B	plum1
MAML3	MAML3	plum1
SPECC1L-ADORA2A///SPECC1L	SPECC1L-ADORA2A///SPECC1L	plum1
TSPAN9	TSPAN9	plum1
CRIP2	CRIP2	plum1
SYNE1	SYNE1	plum1
SYT17	SYT17	plum1
AGAP1	AGAP1	plum1
DKK3	DKK3	plum1
APP	APP	plum1
SLC12A4///LCAT	SLC12A4///LCAT	plum1
SPTAN1	SPTAN1	plum1
GNA11	GNA11	plum1
NPR2	NPR2	plum1
TJP2	TJP2	plum1
ADD1	ADD1	plum1
N4BP1	N4BP1	plum1
ZBTB4	ZBTB4	plum1
AHNAK	AHNAK	plum1
SSR4	SSR4	plum1
MYO1C	MYO1C	plum1
RHBDF1	RHBDF1	plum1
NRBP2	NRBP2	plum1
MUM1	MUM1	plum1
TAOK2	TAOK2	plum1
NASP	NASP	plum1
PIP4K2B	PIP4K2B	plum1
DPYSL2	DPYSL2	plum1
PARVA	PARVA	plum1
CCDC92	CCDC92	plum1
CTIF	CTIF	plum1
APLP2	APLP2	plum1
KIF1B	KIF1B	plum1
ATF7	ATF7	plum1
AP2B1	AP2B1	plum1
