nodeName	altName	nodeAttr[nodesPresent, ]
FGG	FGG	purple
FOSB	FOSB	purple
CCL2///CCL2	CCL2///CCL2	purple
IL6	IL6	purple
SERPINE1	SERPINE1	purple
PTGS2	PTGS2	purple
CXCL2	CXCL2	purple
SOCS3	SOCS3	purple
AREG	AREG	purple
FOS	FOS	purple
MIR21	MIR21	purple
NR4A2	NR4A2	purple
LRP2	LRP2	purple
CH25H	CH25H	purple
NR4A1	NR4A1	purple
CYR61	CYR61	purple
EGR1	EGR1	purple
ADAMTS9	ADAMTS9	purple
CXCL1	CXCL1	purple
ZFP36	ZFP36	purple
SLC6A14	SLC6A14	purple
SELE	SELE	purple
PDLIM3	PDLIM3	purple
RND1	RND1	purple
MMP19	MMP19	purple
DEPTOR	DEPTOR	purple
SLC5A8	SLC5A8	purple
TNFAIP6	TNFAIP6	purple
IER3	IER3	purple
STEAP4	STEAP4	purple
ICAM1	ICAM1	purple
TNFAIP3	TNFAIP3	purple
CXCL8	CXCL8	purple
IRF1	IRF1	purple
ELF3	ELF3	purple
THBS1	THBS1	purple
NNMT	NNMT	purple
NR4A3	NR4A3	purple
SLC26A9	SLC26A9	purple
BMP2	BMP2	purple
WEE1	WEE1	purple
SNAI2	SNAI2	purple
SPRY4	SPRY4	purple
JUNB	JUNB	purple
PER2	PER2	purple
RNF122	RNF122	purple
HBEGF	HBEGF	purple
MIR27A	MIR27A	purple
TRIB1	TRIB1	purple
GADD45B	GADD45B	purple
G0S2	G0S2	purple
THBD	THBD	purple
JUND	JUND	purple
GPAM	GPAM	purple
RGS16	RGS16	purple
GFPT2	GFPT2	purple
BHLHE40	BHLHE40	purple
CD83	CD83	purple
ADAMTS4	ADAMTS4	purple
NAMPT	NAMPT	purple
C8orf4	C8orf4	purple
JUN	JUN	purple
MIR221	MIR221	purple
SOD2	SOD2	purple
LOC102724428///SIK1	LOC102724428///SIK1	purple
PPP1R15A	PPP1R15A	purple
ADAMTS1	ADAMTS1	purple
NFKBIZ	NFKBIZ	purple
PLK3	PLK3	purple
ITPKC	ITPKC	purple
HSPA1B///HSPA1A	HSPA1B///HSPA1A	purple
FGA	FGA	purple
NFIL3	NFIL3	purple
BCL3	BCL3	purple
TMEM88	TMEM88	purple
SAMD4A	SAMD4A	purple
MEDAG	MEDAG	purple
MYC	MYC	purple
GPR183	GPR183	purple
C11orf96	C11orf96	purple
SERPINB1	SERPINB1	purple
CX3CL1	CX3CL1	purple
IER2	IER2	purple
DUSP5	DUSP5	purple
PPRC1	PPRC1	purple
CMAHP	CMAHP	purple
HIVEP2	HIVEP2	purple
CCL20	CCL20	purple
BTG2	BTG2	purple
BIRC3	BIRC3	purple
PIM1	PIM1	purple
DUSP1	DUSP1	purple
SGPP2	SGPP2	purple
SLC7A2	SLC7A2	purple
RNF19B	RNF19B	purple
SNORD14C	SNORD14C	purple
RDH10	RDH10	purple
MIR24-2	MIR24-2	purple
CNKSR3///CNKSR3	CNKSR3///CNKSR3	purple
EGR2	EGR2	purple
IL32	IL32	purple
C9orf131	C9orf131	purple
SNORD4B	SNORD4B	purple
UAP1	UAP1	purple
MGC32805	MGC32805	purple
FOSL2	FOSL2	purple
RGS2	RGS2	purple
C10orf113	C10orf113	purple
IRX3	IRX3	purple
KLF6	KLF6	purple
DNAJB1	DNAJB1	purple
ATP1B3	ATP1B3	purple
PTGIR	PTGIR	purple
TNFRSF21	TNFRSF21	purple
F3	F3	purple
NLRP3	NLRP3	purple
DUSP6	DUSP6	purple
SAMSN1	SAMSN1	purple
PIGA	PIGA	purple
MIDN	MIDN	purple
TIPARP	TIPARP	purple
ATF3	ATF3	purple
MAP3K8	MAP3K8	purple
CDKN1A	CDKN1A	purple
EMP1	EMP1	purple
DCUN1D3	DCUN1D3	purple
MB21D2	MB21D2	purple
ELL2	ELL2	purple
ODC1	ODC1	purple
KLF10	KLF10	purple
MYADM	MYADM	purple
SIK2	SIK2	purple
LMNA	LMNA	purple
TNFRSF10D	TNFRSF10D	purple
B3GNT5	B3GNT5	purple
GADD45A	GADD45A	purple
PELI1	PELI1	purple
SLC2A3	SLC2A3	purple
ZC3H12A	ZC3H12A	purple
MOP-1	MOP-1	purple
SGMS2	SGMS2	purple
NFATC2///NFATC2	NFATC2///NFATC2	purple
ARID5B	ARID5B	purple
HSPB8	HSPB8	purple
ZNF429	ZNF429	purple
ZBTB21	ZBTB21	purple
STX11	STX11	purple
ADAMTSL4-AS1	ADAMTSL4-AS1	purple
DUSP16	DUSP16	purple
CLDN7	CLDN7	purple
GAREM1	GAREM1	purple
LRRFIP1	LRRFIP1	purple
AKAP12	AKAP12	purple
LDLR	LDLR	purple
ICAM4	ICAM4	purple
LINC00260	LINC00260	purple
NFKB1	NFKB1	purple
ARID5A	ARID5A	purple
CRY1	CRY1	purple
STXBP1	STXBP1	purple
BAG3	BAG3	purple
NFKB2	NFKB2	purple
NCOA7	NCOA7	purple
RFX2	RFX2	purple
PLEKHG2	PLEKHG2	purple
KDM6B	KDM6B	purple
MIR23A	MIR23A	purple
DBT	DBT	purple
PRKAB2	PRKAB2	purple
CCNL1	CCNL1	purple
TNFRSF10B	TNFRSF10B	purple
TNIP3	TNIP3	purple
B4GALT5	B4GALT5	purple
ARL5B	ARL5B	purple
B4GALT1	B4GALT1	purple
ACSL4	ACSL4	purple
SDC4///ROS1	SDC4///ROS1	purple
SLC22A23	SLC22A23	purple
RELB	RELB	purple
MICAL2	MICAL2	purple
CSF1	CSF1	purple
TIFA	TIFA	purple
MIR29A	MIR29A	purple
SNORD14E	SNORD14E	purple
CSF3	CSF3	purple
SLC25A25	SLC25A25	purple
SPSB1	SPSB1	purple
HIVEP1	HIVEP1	purple
RRAD	RRAD	purple
ANKRD28	ANKRD28	purple
GNA15	GNA15	purple
AXIN2	AXIN2	purple
SEMA4B	SEMA4B	purple
CCNJL	CCNJL	purple
KIAA1683	KIAA1683	purple
DET1	DET1	purple
OSMR	OSMR	purple
CDC42EP1	CDC42EP1	purple
PTP4A1	PTP4A1	purple
SLC25A44	SLC25A44	purple
PTCD2	PTCD2	purple
MFHAS1	MFHAS1	purple
UPP1	UPP1	purple
GPR4	GPR4	purple
SBNO2	SBNO2	purple
BTG3	BTG3	purple
PPP1R10	PPP1R10	purple
SMURF1	SMURF1	purple
LONRF3	LONRF3	purple
EPHA2	EPHA2	purple
SKP2	SKP2	purple
GCH1	GCH1	purple
SLC12A7	SLC12A7	purple
ETS2	ETS2	purple
FAS	FAS	purple
YBX3	YBX3	purple
LIF	LIF	purple
MAP2K3	MAP2K3	purple
DUSP14	DUSP14	purple
FRG1JP///LOC283788	FRG1JP///LOC283788	purple
REL	REL	purple
TSC22D2	TSC22D2	purple
RCBTB1	RCBTB1	purple
SERTAD1	SERTAD1	purple
SNORA67	SNORA67	purple
CA13	CA13	purple
ESRP1///RAF1	ESRP1///RAF1	purple
MOB3C	MOB3C	purple
DLGAP1-AS1	DLGAP1-AS1	purple
DSN1	DSN1	purple
ELF4	ELF4	purple
COX11	COX11	purple
LOC728554///THOC3	LOC728554///THOC3	purple
ADH5///ADH5	ADH5///ADH5	purple
VPS37B	VPS37B	purple
ALDH1A3	ALDH1A3	purple
CFAP20	CFAP20	purple
ZNF589	ZNF589	purple
ABCC5	ABCC5	purple
ATP2B4	ATP2B4	purple
ERN1	ERN1	purple
TMEM60	TMEM60	purple
CREB5	CREB5	purple
PPP1R15B	PPP1R15B	purple
LITAF	LITAF	purple
ZNF175	ZNF175	purple
DOT1L	DOT1L	purple
RIPK2	RIPK2	purple
PLEKHO1	PLEKHO1	purple
MAFK	MAFK	purple
NFATC1	NFATC1	purple
RALGDS	RALGDS	purple
DIAPH1	DIAPH1	purple
ZNF57	ZNF57	purple
BAIAP2L1	BAIAP2L1	purple
RARA///BCOR	RARA///BCOR	purple
SSH1	SSH1	purple
FLRT3	FLRT3	purple
NAB2	NAB2	purple
SCARNA9L	SCARNA9L	purple
SEMA4A	SEMA4A	purple
LRIG3///LRIG3	LRIG3///LRIG3	purple
TMEM55A	TMEM55A	purple
OARD1	OARD1	purple
JOSD1	JOSD1	purple
C4orf19	C4orf19	purple
CYP2R1	CYP2R1	purple
PPP1R3B	PPP1R3B	purple
SLC25A33	SLC25A33	purple
KRT16P1///KRT16P3///KRT16P2///KRT16	KRT16P1///KRT16P3///KRT16P2///KRT16	purple
IFFO2	IFFO2	purple
MPZL3	MPZL3	purple
SRGN	SRGN	purple
TP53INP2	TP53INP2	purple
COL8A1	COL8A1	purple
IRAK2	IRAK2	purple
NSUN5P2///NSUN5P1///NSUN5	NSUN5P2///NSUN5P1///NSUN5	purple
ZNF740	ZNF740	purple
SLC20A1	SLC20A1	purple
FGF2	FGF2	purple
MPHOSPH9	MPHOSPH9	purple
ABL1	ABL1	purple
GPR176	GPR176	purple
BAZ1A	BAZ1A	purple
MCL1	MCL1	purple
ADAM17	ADAM17	purple
EPS8	EPS8	purple
KCNK1	KCNK1	purple
TOP1	TOP1	purple
METTL6	METTL6	purple
SDE2	SDE2	purple
ZNF503	ZNF503	purple
ZNF334	ZNF334	purple
PLAGL2	PLAGL2	purple
ZNF564	ZNF564	purple
DPH5	DPH5	purple
ACAT1	ACAT1	purple
LOC100130713	LOC100130713	purple
LOC102724238///LOC554249///GLIDR	LOC102724238///LOC554249///GLIDR	purple
BCL10	BCL10	purple
ZSWIM6	ZSWIM6	purple
RCAN1	RCAN1	purple
METRNL	METRNL	purple
CCNG1	CCNG1	purple
TMEM80	TMEM80	purple
ZNF792	ZNF792	purple
CDK5RAP3	CDK5RAP3	purple
SAT1	SAT1	purple
CHSY1	CHSY1	purple
CXCL3	CXCL3	purple
MCM7	MCM7	purple
RASGEF1B	RASGEF1B	purple
SERTAD3	SERTAD3	purple
DACT1	DACT1	purple
FRG1BP	FRG1BP	purple
FAM217B	FAM217B	purple
DIS3L	DIS3L	purple
AAED1	AAED1	purple
PPARD	PPARD	purple
LRRC8D	LRRC8D	purple
POLR3E	POLR3E	purple
PPP4R1	PPP4R1	purple
PALM2-AKAP2///PALM2///AKAP2	PALM2-AKAP2///PALM2///AKAP2	purple
RABGEF1	RABGEF1	purple
IFRD1	IFRD1	purple
ZNF431	ZNF431	purple
AGPAT4	AGPAT4	purple
