nodeName	altName	nodeAttr[nodesPresent, ]
SAA2	SAA2	red
CPB2	CPB2	red
PER3	PER3	red
RTKN2	RTKN2	red
WIF1	WIF1	red
PIR-FIGF///FIGF	PIR-FIGF///FIGF	red
CCL18	CCL18	red
LOC102724229	LOC102724229	red
LCN2	LCN2	red
NR1D1	NR1D1	red
SLC1A1	SLC1A1	red
MIR23B///C9orf3	MIR23B///C9orf3	red
NR1D2	NR1D2	red
LINC00312	LINC00312	red
OR5P2	OR5P2	red
PLTP	PLTP	red
CA2	CA2	red
ACADL	ACADL	red
MIR27B///C9orf3	MIR27B///C9orf3	red
MME	MME	red
MTHFD2	MTHFD2	red
LOC105375355///UPK3B	LOC105375355///UPK3B	red
CFB	CFB	red
CD36	CD36	red
SLC19A3	SLC19A3	red
NPAS2	NPAS2	red
SAA1	SAA1	red
TLL1	TLL1	red
F13A1	F13A1	red
CLEC1A	CLEC1A	red
ANOS1	ANOS1	red
SEMA5A	SEMA5A	red
THSD7A	THSD7A	red
TNNC1	TNNC1	red
FAM189A2	FAM189A2	red
SCEL	SCEL	red
LAMA3	LAMA3	red
CACNA1D	CACNA1D	red
MIR224///GABRE	MIR224///GABRE	red
NECAB1	NECAB1	red
ST6GALNAC5	ST6GALNAC5	red
NCKAP5	NCKAP5	red
ARNTL	ARNTL	red
IGSF10	IGSF10	red
OR5P3	OR5P3	red
SERPINF1///SERPINF1	SERPINF1///SERPINF1	red
CNTN6	CNTN6	red
CYP7B1	CYP7B1	red
LOC102724229///RASA4B///RASA4CP///POLR2J4///RASA4	LOC102724229///RASA4B///RASA4CP///POLR2J4///RASA4	red
OVCH2	OVCH2	red
COL12A1	COL12A1	red
RASA4B///RASA4CP///RASA4	RASA4B///RASA4CP///RASA4	red
PTCH2	PTCH2	red
LMCD1	LMCD1	red
PLEKHH2	PLEKHH2	red
AGER	AGER	red
DAPK2	DAPK2	red
GALNT5///GALNT5	GALNT5///GALNT5	red
MAP2	MAP2	red
CNTNAP3B///CNTNAP3P2///CNTNAP3	CNTNAP3B///CNTNAP3P2///CNTNAP3	red
GSTM3	GSTM3	red
EXPH5	EXPH5	red
SNHG1///SNORD29	SNHG1///SNORD29	red
SLIT2	SLIT2	red
NRG1	NRG1	red
GPM6A	GPM6A	red
ANXA3	ANXA3	red
STARD9	STARD9	red
WWC2	WWC2	red
FILIP1	FILIP1	red
EXOC6	EXOC6	red
HSPA7///HSPA6	HSPA7///HSPA6	red
ADGRL3	ADGRL3	red
ADGRF1	ADGRF1	red
GABRE	GABRE	red
AFAP1L1	AFAP1L1	red
COL4A3	COL4A3	red
OR5P1P	OR5P1P	red
TMEM74B	TMEM74B	red
CLDN18	CLDN18	red
USP13	USP13	red
ANKRD29	ANKRD29	red
OTUD1	OTUD1	red
STEAP3	STEAP3	red
SLC44A3	SLC44A3	red
EPB41L5	EPB41L5	red
IGF1R	IGF1R	red
PTPN21	PTPN21	red
SPOCK2	SPOCK2	red
RAPGEF5	RAPGEF5	red
PDZD2	PDZD2	red
TSPAN13	TSPAN13	red
BEX5	BEX5	red
SYDE2	SYDE2	red
C1orf198	C1orf198	red
LHFP	LHFP	red
CGNL1	CGNL1	red
SECISBP2L	SECISBP2L	red
SEMA3E	SEMA3E	red
CCL13	CCL13	red
SULT1A2	SULT1A2	red
PPP1R9A	PPP1R9A	red
SCAI	SCAI	red
GIPC2	GIPC2	red
ADIRF	ADIRF	red
GRK3	GRK3	red
RBP1	RBP1	red
MAGI1	MAGI1	red
PARD6B	PARD6B	red
TTLL7	TTLL7	red
PARD3	PARD3	red
ITLN2	ITLN2	red
LIMD1	LIMD1	red
SNORD28	SNORD28	red
PLEKHA1	PLEKHA1	red
CAV1	CAV1	red
SEMA3B	SEMA3B	red
NECTIN3	NECTIN3	red
PAQR5	PAQR5	red
TUFT1	TUFT1	red
THRB	THRB	red
SIGLEC10	SIGLEC10	red
OCLN///LOC647859	OCLN///LOC647859	red
SOGA3///KIAA0408	SOGA3///KIAA0408	red
FLT4	FLT4	red
TBC1D4	TBC1D4	red
NR3C2	NR3C2	red
SLC5A9	SLC5A9	red
GAB1	GAB1	red
CLIC5	CLIC5	red
RGCC	RGCC	red
FAM129A	FAM129A	red
GRAMD2	GRAMD2	red
PCDHGB4	PCDHGB4	red
LRP6	LRP6	red
RNF144A	RNF144A	red
TMEM108	TMEM108	red
NTN4	NTN4	red
UNC13B	UNC13B	red
SERTM1	SERTM1	red
SNX25	SNX25	red
SPRY2	SPRY2	red
LDLRAD3	LDLRAD3	red
ZFYVE9	ZFYVE9	red
PCYOX1	PCYOX1	red
FAM84B	FAM84B	red
KIAA0355	KIAA0355	red
LIMCH1	LIMCH1	red
DACH1	DACH1	red
RORC	RORC	red
SESTD1	SESTD1	red
JPH1	JPH1	red
HSPA6	HSPA6	red
SHANK2	SHANK2	red
CAV2///LOC105375463///CAV2	CAV2///LOC105375463///CAV2	red
PAWR	PAWR	red
NBEAL1	NBEAL1	red
PRKG2	PRKG2	red
RUVBL1///RUVBL1	RUVBL1///RUVBL1	red
CYB5R2	CYB5R2	red
CHRM3	CHRM3	red
TMEM47	TMEM47	red
MIR24-1///C9orf3	MIR24-1///C9orf3	red
MAP3K13	MAP3K13	red
SLC15A2	SLC15A2	red
EPCAM	EPCAM	red
CECR2	CECR2	red
LMO7	LMO7	red
EMP2	EMP2	red
KBTBD2	KBTBD2	red
DNM3	DNM3	red
ZSCAN31	ZSCAN31	red
STX2	STX2	red
PFKP	PFKP	red
RRP7BP	RRP7BP	red
FOXO4	FOXO4	red
IL2RA	IL2RA	red
PPP2R3A	PPP2R3A	red
FANCC	FANCC	red
TTC7B	TTC7B	red
DSG2	DSG2	red
CYP3A7-CYP3A51P///CYP3A7	CYP3A7-CYP3A51P///CYP3A7	red
TEF	TEF	red
EOGT	EOGT	red
ATP13A1	ATP13A1	red
HNF1B	HNF1B	red
CLCN4	CLCN4	red
SCAPER	SCAPER	red
COL4A4	COL4A4	red
MYRF	MYRF	red
FRY	FRY	red
PPP2R5A	PPP2R5A	red
GKAP1	GKAP1	red
YES1	YES1	red
PDLIM7	PDLIM7	red
OVCH1	OVCH1	red
CD55	CD55	red
MVB12B	MVB12B	red
AFDN	AFDN	red
GPRASP1	GPRASP1	red
GRPEL2	GRPEL2	red
TMOD3	TMOD3	red
VSIG2	VSIG2	red
TMSB15A	TMSB15A	red
RUFY3	RUFY3	red
SFTPC	SFTPC	red
RAB3IP	RAB3IP	red
RGL3	RGL3	red
RRP7A	RRP7A	red
TAPT1	TAPT1	red
RASSF8	RASSF8	red
CIART	CIART	red
RYBP	RYBP	red
EHBP1	EHBP1	red
PATJ	PATJ	red
ARHGAP5	ARHGAP5	red
NKX2-1	NKX2-1	red
TPT1-AS1	TPT1-AS1	red
STON2	STON2	red
FNIP2	FNIP2	red
KDM7A	KDM7A	red
HILPDA	HILPDA	red
WWTR1	WWTR1	red
SDC1	SDC1	red
FERMT2	FERMT2	red
ERMP1	ERMP1	red
RASSF7	RASSF7	red
KAT2B	KAT2B	red
LOC102724562///MST1L///MST1P2///MST1	LOC102724562///MST1L///MST1P2///MST1	red
AJUBA	AJUBA	red
AMPD3	AMPD3	red
BEX4	BEX4	red
SMIM11A	SMIM11A	red
TRAK2	TRAK2	red
NSF	NSF	red
SETSIP///SET	SETSIP///SET	red
STARD7	STARD7	red
