nodeName	altName	nodeAttr[nodesPresent, ]
FKBP5///LOC285847///FKBP5	FKBP5///LOC285847///FKBP5	royalblue
ALOX15B	ALOX15B	royalblue
CLEC4E	CLEC4E	royalblue
FMO5	FMO5	royalblue
PDK4	PDK4	royalblue
TTN	TTN	royalblue
DDIT4	DDIT4	royalblue
ZBTB16	ZBTB16	royalblue
CCDC141	CCDC141	royalblue
ARRDC2	ARRDC2	royalblue
TSC22D3	TSC22D3	royalblue
RASGRP3	RASGRP3	royalblue
SLC19A2	SLC19A2	royalblue
PCDH17	PCDH17	royalblue
IL20RA	IL20RA	royalblue
PLA2G10	PLA2G10	royalblue
TFCP2L1	TFCP2L1	royalblue
PGC	PGC	royalblue
SYBU	SYBU	royalblue
KLF15	KLF15	royalblue
TACC2	TACC2	royalblue
DUOXA1	DUOXA1	royalblue
SLC27A3	SLC27A3	royalblue
ERRFI1	ERRFI1	royalblue
IRAK3	IRAK3	royalblue
DUOX1	DUOX1	royalblue
PLA2G4F	PLA2G4F	royalblue
PKP2	PKP2	royalblue
RHOB	RHOB	royalblue
APOLD1	APOLD1	royalblue
ST8SIA4	ST8SIA4	royalblue
PRR15L	PRR15L	royalblue
MX2	MX2	royalblue
IGFBP3	IGFBP3	royalblue
PER1	PER1	royalblue
JADE1	JADE1	royalblue
PIK3C2B	PIK3C2B	royalblue
NUDT16	NUDT16	royalblue
CX3CR1	CX3CR1	royalblue
TM4SF1	TM4SF1	royalblue
TMC5	TMC5	royalblue
POLR3H	POLR3H	royalblue
ARHGAP10	ARHGAP10	royalblue
KLF9	KLF9	royalblue
FBXO32	FBXO32	royalblue
RHOBTB3	RHOBTB3	royalblue
NPR1	NPR1	royalblue
PIP5K1B	PIP5K1B	royalblue
CASP1	CASP1	royalblue
RNF115	RNF115	royalblue
PCSK2	PCSK2	royalblue
SCNN1A	SCNN1A	royalblue
FOXO3B///FOXO3	FOXO3B///FOXO3	royalblue
PLAU	PLAU	royalblue
IFIH1	IFIH1	royalblue
ATP2B1	ATP2B1	royalblue
TMEM268	TMEM268	royalblue
GATSL3	GATSL3	royalblue
RASD1	RASD1	royalblue
SLPI	SLPI	royalblue
