nodeName	altName	nodeAttr[nodesPresent, ]
TNFSF10	TNFSF10	saddlebrown
CLEC3B	CLEC3B	saddlebrown
LDB2	LDB2	saddlebrown
DKK2	DKK2	saddlebrown
GJA5	GJA5	saddlebrown
HIGD1B	HIGD1B	saddlebrown
GBP4	GBP4	saddlebrown
DISP1	DISP1	saddlebrown
EFNB2	EFNB2	saddlebrown
PRICKLE2	PRICKLE2	saddlebrown
HHEX	HHEX	saddlebrown
DLL4	DLL4	saddlebrown
GNA14	GNA14	saddlebrown
ST8SIA6	ST8SIA6	saddlebrown
TBX4	TBX4	saddlebrown
NETO2	NETO2	saddlebrown
CALCRL	CALCRL	saddlebrown
JAM2	JAM2	saddlebrown
GPR146	GPR146	saddlebrown
RAMP2	RAMP2	saddlebrown
SEMA3G	SEMA3G	saddlebrown
KDR	KDR	saddlebrown
CLEC4M	CLEC4M	saddlebrown
TSPAN18	TSPAN18	saddlebrown
CD93	CD93	saddlebrown
BMPER	BMPER	saddlebrown
RAMP3	RAMP3	saddlebrown
ERG	ERG	saddlebrown
ADCY4	ADCY4	saddlebrown
GIMAP6	GIMAP6	saddlebrown
GIMAP7	GIMAP7	saddlebrown
TSPAN12	TSPAN12	saddlebrown
TIE1	TIE1	saddlebrown
SMAD7	SMAD7	saddlebrown
MMRN2	MMRN2	saddlebrown
SIPA1L2	SIPA1L2	saddlebrown
MYCT1	MYCT1	saddlebrown
VEGFC	VEGFC	saddlebrown
GRAP	GRAP	saddlebrown
CYYR1	CYYR1	saddlebrown
KCNK17	KCNK17	saddlebrown
FXYD6-FXYD2///FXYD6	FXYD6-FXYD2///FXYD6	saddlebrown
ZNF608	ZNF608	saddlebrown
TSPAN15	TSPAN15	saddlebrown
TSPAN11	TSPAN11	saddlebrown
HOXA5	HOXA5	saddlebrown
NCALD	NCALD	saddlebrown
CDH5	CDH5	saddlebrown
KIAA1217	KIAA1217	saddlebrown
SMAD9	SMAD9	saddlebrown
MEIS1	MEIS1	saddlebrown
RGS9	RGS9	saddlebrown
PCDH12	PCDH12	saddlebrown
GIMAP1-GIMAP5///GIMAP1	GIMAP1-GIMAP5///GIMAP1	saddlebrown
FGD5	FGD5	saddlebrown
KIAA1462	KIAA1462	saddlebrown
ROBO4	ROBO4	saddlebrown
BAALC	BAALC	saddlebrown
ANKRD50	ANKRD50	saddlebrown
GIMAP4	GIMAP4	saddlebrown
NLGN4X	NLGN4X	saddlebrown
GUCY1B3	GUCY1B3	saddlebrown
DOCK6	DOCK6	saddlebrown
SNRK	SNRK	saddlebrown
NOTCH1	NOTCH1	saddlebrown
GRK5	GRK5	saddlebrown
RAPGEF4	RAPGEF4	saddlebrown
THSD1	THSD1	saddlebrown
TMEM140	TMEM140	saddlebrown
SMURF2	SMURF2	saddlebrown
RALA	RALA	saddlebrown
EPN2	EPN2	saddlebrown
PLPP3	PLPP3	saddlebrown
KLF11	KLF11	saddlebrown
EPHB4	EPHB4	saddlebrown
RASL12	RASL12	saddlebrown
PKNOX2	PKNOX2	saddlebrown
PRPSAP1	PRPSAP1	saddlebrown
ARAP3	ARAP3	saddlebrown
CPNE2	CPNE2	saddlebrown
SHROOM4	SHROOM4	saddlebrown
MYO10	MYO10	saddlebrown
ARHGEF15	ARHGEF15	saddlebrown
TBX2	TBX2	saddlebrown
LAMC3	LAMC3	saddlebrown
USP31	USP31	saddlebrown
BEND7	BEND7	saddlebrown
EGFL7	EGFL7	saddlebrown
FLI1	FLI1	saddlebrown
COX4I2	COX4I2	saddlebrown
MFSD4A	MFSD4A	saddlebrown
GRAPL///GRAP	GRAPL///GRAP	saddlebrown
HOXA2	HOXA2	saddlebrown
TJP1	TJP1	saddlebrown
C1QTNF5///MFRP	C1QTNF5///MFRP	saddlebrown
PPM1F	PPM1F	saddlebrown
ESAM	ESAM	saddlebrown
APOL3	APOL3	saddlebrown
ARHGAP31	ARHGAP31	saddlebrown
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	saddlebrown
TEAD2	TEAD2	saddlebrown
GATA3	GATA3	saddlebrown
MAPK3	MAPK3	saddlebrown
KCTD15	KCTD15	saddlebrown
TRIB2	TRIB2	saddlebrown
CCM2L	CCM2L	saddlebrown
CRMP1	CRMP1	saddlebrown
MAPRE2	MAPRE2	saddlebrown
FAM69B	FAM69B	saddlebrown
RAMP2-AS1	RAMP2-AS1	saddlebrown
TMX2-CTNND1///CTNND1	TMX2-CTNND1///CTNND1	saddlebrown
NOS1	NOS1	saddlebrown
NMUR1	NMUR1	saddlebrown
BTN2A1	BTN2A1	saddlebrown
QRICH2	QRICH2	saddlebrown
HLX	HLX	saddlebrown
GDPD3	GDPD3	saddlebrown
NTRK2	NTRK2	saddlebrown
RPS27L	RPS27L	saddlebrown
GBP7	GBP7	saddlebrown
