nodeName	altName	nodeAttr[nodesPresent, ]
CEMIP	CEMIP	sienna3
ALDH1L2	ALDH1L2	sienna3
HIST1H3I	HIST1H3I	sienna3
TMEM45A	TMEM45A	sienna3
HIST1H2BM	HIST1H2BM	sienna3
SMPDL3A	SMPDL3A	sienna3
TGFBI	TGFBI	sienna3
DHFR	DHFR	sienna3
HIST1H3B	HIST1H3B	sienna3
LOC1720///DHFR	LOC1720///DHFR	sienna3
HIST1H2BF	HIST1H2BF	sienna3
RACGAP1	RACGAP1	sienna3
KDELR3	KDELR3	sienna3
GGH	GGH	sienna3
CKAP2	CKAP2	sienna3
EMILIN1	EMILIN1	sienna3
SLC18B1	SLC18B1	sienna3
TDO2	TDO2	sienna3
HIST1H2BK///H2BFS///HIST1H2BO///HIST1H2BD	HIST1H2BK///H2BFS///HIST1H2BO///HIST1H2BD	sienna3
MYO5A	MYO5A	sienna3
HIST2H3D///HIST2H3A///HIST2H3C	HIST2H3D///HIST2H3A///HIST2H3C	sienna3
ZWILCH	ZWILCH	sienna3
HIST1H1B	HIST1H1B	sienna3
RAB13	RAB13	sienna3
IDH2	IDH2	sienna3
TYMS	TYMS	sienna3
PTTG1	PTTG1	sienna3
GPX7	GPX7	sienna3
UCHL1	UCHL1	sienna3
TOP2A	TOP2A	sienna3
STMN1	STMN1	sienna3
MCM6	MCM6	sienna3
TTYH3	TTYH3	sienna3
KIF23	KIF23	sienna3
ECM1	ECM1	sienna3
KDELC2	KDELC2	sienna3
CCNA2	CCNA2	sienna3
KIAA0101	KIAA0101	sienna3
PCNA	PCNA	sienna3
HELLS	HELLS	sienna3
NR1H3	NR1H3	sienna3
TPST1	TPST1	sienna3
HIST1H2BH///HIST1H2BH	HIST1H2BH///HIST1H2BH	sienna3
ARHGAP11B	ARHGAP11B	sienna3
RRM2	RRM2	sienna3
MKI67	MKI67	sienna3
PRC1	PRC1	sienna3
PCF11	PCF11	sienna3
KNTC1	KNTC1	sienna3
GAL3ST4	GAL3ST4	sienna3
EZH2	EZH2	sienna3
APOBEC3B	APOBEC3B	sienna3
BRCA2	BRCA2	sienna3
HIST1H4L	HIST1H4L	sienna3
WDR76	WDR76	sienna3
HIST1H3F	HIST1H3F	sienna3
DTL	DTL	sienna3
NUSAP1	NUSAP1	sienna3
RRM1	RRM1	sienna3
RBM8A	RBM8A	sienna3
CDK1	CDK1	sienna3
RCN3	RCN3	sienna3
ARHGAP11A	ARHGAP11A	sienna3
ATAD5	ATAD5	sienna3
ANLN	ANLN	sienna3
HIST1H2AB	HIST1H2AB	sienna3
PAPLN///NDRG2	PAPLN///NDRG2	sienna3
BRIP1	BRIP1	sienna3
HIST1H3H	HIST1H3H	sienna3
NCAPG2	NCAPG2	sienna3
KIAA1524	KIAA1524	sienna3
GMNN	GMNN	sienna3
HIST1H3H///HIST1H2AI	HIST1H3H///HIST1H2AI	sienna3
KIF11	KIF11	sienna3
FANCI	FANCI	sienna3
HIST1H2AI	HIST1H2AI	sienna3
P3H1	P3H1	sienna3
LGI2	LGI2	sienna3
