nodeName	altName	nodeAttr[nodesPresent, ]
MT1M	MT1M	steelblue
SLCO4A1	SLCO4A1	steelblue
MT1X	MT1X	steelblue
MT1A	MT1A	steelblue
IL33	IL33	steelblue
ADM	ADM	steelblue
FPR2	FPR2	steelblue
EMCN	EMCN	steelblue
KLF4	KLF4	steelblue
CSRNP1	CSRNP1	steelblue
MT1G	MT1G	steelblue
MT1F	MT1F	steelblue
MT1E	MT1E	steelblue
MT1P3	MT1P3	steelblue
MT1JP	MT1JP	steelblue
CRISPLD2	CRISPLD2	steelblue
NUTF2///MT1L	NUTF2///MT1L	steelblue
MT1DP	MT1DP	steelblue
SLC5A4	SLC5A4	steelblue
SDR16C5	SDR16C5	steelblue
SLED1	SLED1	steelblue
F2RL3	F2RL3	steelblue
MT2A	MT2A	steelblue
FAM150B	FAM150B	steelblue
ITGA5	ITGA5	steelblue
LRRC8A	LRRC8A	steelblue
IFIT2	IFIT2	steelblue
FSTL3	FSTL3	steelblue
JDP2	JDP2	steelblue
FGD6	FGD6	steelblue
ACSL1	ACSL1	steelblue
ARHGAP26	ARHGAP26	steelblue
ERV3-1	ERV3-1	steelblue
PRICKLE1	PRICKLE1	steelblue
GUCY1A3	GUCY1A3	steelblue
RUNX1T1	RUNX1T1	steelblue
RASSF9	RASSF9	steelblue
CNR1	CNR1	steelblue
SLC5A3	SLC5A3	steelblue
CLMN	CLMN	steelblue
MRPS6///SLC5A3	MRPS6///SLC5A3	steelblue
NFKBIA	NFKBIA	steelblue
FZD5	FZD5	steelblue
ITPRIP	ITPRIP	steelblue
SPTSSA	SPTSSA	steelblue
EVA1C	EVA1C	steelblue
LURAP1L	LURAP1L	steelblue
CEBPD	CEBPD	steelblue
ZNF117	ZNF117	steelblue
LPAR6	LPAR6	steelblue
BCL2L1	BCL2L1	steelblue
ANKMY2	ANKMY2	steelblue
MAP3K1	MAP3K1	steelblue
EAF1	EAF1	steelblue
C1QTNF1	C1QTNF1	steelblue
ST3GAL6	ST3GAL6	steelblue
MAP1LC3B	MAP1LC3B	steelblue
MAP1LC3B2///MAP1LC3B	MAP1LC3B2///MAP1LC3B	steelblue
ATP8A1	ATP8A1	steelblue
MT1B	MT1B	steelblue
EZR///ROS1	EZR///ROS1	steelblue
ATP1A1	ATP1A1	steelblue
TTC3	TTC3	steelblue
ACVR2A	ACVR2A	steelblue
SAP30	SAP30	steelblue
CCDC14	CCDC14	steelblue
RCBTB2	RCBTB2	steelblue
H6PD	H6PD	steelblue
FANCL	FANCL	steelblue
ZEB2	ZEB2	steelblue
PHC2	PHC2	steelblue
ID2	ID2	steelblue
RDX	RDX	steelblue
NAPA	NAPA	steelblue
STIM2	STIM2	steelblue
RFX7	RFX7	steelblue
NAA40	NAA40	steelblue
PPFIBP2	PPFIBP2	steelblue
BMP4	BMP4	steelblue
CEBPB	CEBPB	steelblue
SERPINI1	SERPINI1	steelblue
MT1H	MT1H	steelblue
DOCK7	DOCK7	steelblue
ASL	ASL	steelblue
ZNF624	ZNF624	steelblue
PHC1	PHC1	steelblue
UBR7	UBR7	steelblue
MT1HL1	MT1HL1	steelblue
PRMT2	PRMT2	steelblue
AKIRIN2	AKIRIN2	steelblue
MED29	MED29	steelblue
DNAJC13	DNAJC13	steelblue
TNFAIP8L3	TNFAIP8L3	steelblue
ANKRD13A	ANKRD13A	steelblue
LINC00310	LINC00310	steelblue
