nodeName	altName	nodeAttr[nodesPresent, ]
HP	HP	turquoise
GSTM1	GSTM1	turquoise
CYP1B1	CYP1B1	turquoise
TNC	TNC	turquoise
GDF15	GDF15	turquoise
LOC100131131	LOC100131131	turquoise
CTSE	CTSE	turquoise
PLA2G2A	PLA2G2A	turquoise
TSPAN8	TSPAN8	turquoise
CHI3L2	CHI3L2	turquoise
PDE8B	PDE8B	turquoise
HEY1	HEY1	turquoise
MIR218-1	MIR218-1	turquoise
LRRN3	LRRN3	turquoise
TMEM176A	TMEM176A	turquoise
ABCA10	ABCA10	turquoise
P2RY14	P2RY14	turquoise
ALPL	ALPL	turquoise
RARRES1	RARRES1	turquoise
TIMP1	TIMP1	turquoise
CAB39L	CAB39L	turquoise
FHL5	FHL5	turquoise
FADS1	FADS1	turquoise
OR2A9P///OR2A20P	OR2A9P///OR2A20P	turquoise
ACKR1	ACKR1	turquoise
NEGR1	NEGR1	turquoise
HLF	HLF	turquoise
GSTM5	GSTM5	turquoise
CYP4X1	CYP4X1	turquoise
ZNF90	ZNF90	turquoise
FADS2	FADS2	turquoise
HMGCS1	HMGCS1	turquoise
KCNT2	KCNT2	turquoise
ANXA8L1///ANXA8	ANXA8L1///ANXA8	turquoise
C1R	C1R	turquoise
OMD	OMD	turquoise
MSMO1	MSMO1	turquoise
GSTM4	GSTM4	turquoise
KCTD3	KCTD3	turquoise
ADGRG1	ADGRG1	turquoise
C5AR1	C5AR1	turquoise
SERPINH1	SERPINH1	turquoise
DHCR7	DHCR7	turquoise
PPIF	PPIF	turquoise
DNM1P46///DNM1P46	DNM1P46///DNM1P46	turquoise
FGF14	FGF14	turquoise
PLAUR	PLAUR	turquoise
MIRLET7F1	MIRLET7F1	turquoise
VCAN	VCAN	turquoise
ZNF682	ZNF682	turquoise
RPL23AP32	RPL23AP32	turquoise
NME1-NME2///NME1	NME1-NME2///NME1	turquoise
ERVK11-1///GSTM2	ERVK11-1///GSTM2	turquoise
ITIH5	ITIH5	turquoise
CEACAM5	CEACAM5	turquoise
SNORD116-21	SNORD116-21	turquoise
TUBA1C	TUBA1C	turquoise
HSD17B7P2	HSD17B7P2	turquoise
CTAGE8///CTAGE4///CTAGE11P///CTAGE9///CTAGE15///CTAGE6	CTAGE8///CTAGE4///CTAGE11P///CTAGE9///CTAGE15///CTAGE6	turquoise
SLC50A1	SLC50A1	turquoise
KLF3-AS1	KLF3-AS1	turquoise
MATN3	MATN3	turquoise
ANKRD36///ANKRD36B	ANKRD36///ANKRD36B	turquoise
ANKRD36B	ANKRD36B	turquoise
MAP1LC3C	MAP1LC3C	turquoise
ANGPT1	ANGPT1	turquoise
LINC00893	LINC00893	turquoise
FMO2	FMO2	turquoise
HYOU1	HYOU1	turquoise
CSGALNACT1	CSGALNACT1	turquoise
B3GAT3	B3GAT3	turquoise
ACAT2	ACAT2	turquoise
RNPC3///AMY2B	RNPC3///AMY2B	turquoise
BDH2	BDH2	turquoise
IFI27	IFI27	turquoise
TYMP	TYMP	turquoise
IFITM1	IFITM1	turquoise
KLRB1	KLRB1	turquoise
KCNQ3	KCNQ3	turquoise
MEST	MEST	turquoise
CASS4	CASS4	turquoise
ZNF704	ZNF704	turquoise
SLC35B1	SLC35B1	turquoise
NPY1R///NPY1R	NPY1R///NPY1R	turquoise
AMZ2P1	AMZ2P1	turquoise
AIMP2///EIF2AK1	AIMP2///EIF2AK1	turquoise
TMEM56-RWDD3///TMEM56	TMEM56-RWDD3///TMEM56	turquoise
TMEM176B	TMEM176B	turquoise
PDIA4	PDIA4	turquoise
B3GALT2	B3GALT2	turquoise
INSIG1	INSIG1	turquoise
SQLE	SQLE	turquoise
RNPC3	RNPC3	turquoise
ZNF528	ZNF528	turquoise
CYP4Z1	CYP4Z1	turquoise
PREB	PREB	turquoise
ACCS	ACCS	turquoise
SNORD64///PWAR5	SNORD64///PWAR5	turquoise
PDCD4	PDCD4	turquoise
HPR	HPR	turquoise
ANKRD36BP2///ANKRD36///ANKRD36B	ANKRD36BP2///ANKRD36///ANKRD36B	turquoise
TMOD2	TMOD2	turquoise
LINC00965///LINC00965	LINC00965///LINC00965	turquoise
MYBL1	MYBL1	turquoise
LBH	LBH	turquoise
STEAP1	STEAP1	turquoise
TRAM2	TRAM2	turquoise
ACSS2	ACSS2	turquoise
FKBP4	FKBP4	turquoise
NANS	NANS	turquoise
FAM184A	FAM184A	turquoise
AHCY	AHCY	turquoise
CPED1	CPED1	turquoise
CFLAR	CFLAR	turquoise
AARS	AARS	turquoise
LINC01089	LINC01089	turquoise
ATIC	ATIC	turquoise
PSME2	PSME2	turquoise
YARS	YARS	turquoise
GPI///GPI	GPI///GPI	turquoise
SRM	SRM	turquoise
TCP11L2	TCP11L2	turquoise
GLIS3	GLIS3	turquoise
KPNA2	KPNA2	turquoise
SLC31A1	SLC31A1	turquoise
RPS6KA5	RPS6KA5	turquoise
SNORA70F	SNORA70F	turquoise
MTURN	MTURN	turquoise
MICA	MICA	turquoise
LINC00597	LINC00597	turquoise
PLD1	PLD1	turquoise
HSPB1	HSPB1	turquoise
SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	turquoise
COL21A1	COL21A1	turquoise
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	turquoise
MIR600HG	MIR600HG	turquoise
PLOD3	PLOD3	turquoise
MSTO2P///MSTO1	MSTO2P///MSTO1	turquoise
SRPRB	SRPRB	turquoise
SLAIN1	SLAIN1	turquoise
FAM124B	FAM124B	turquoise
BAK1	BAK1	turquoise
DGKE	DGKE	turquoise
ALCAM	ALCAM	turquoise
IFI35	IFI35	turquoise
ANKRD36	ANKRD36	turquoise
EIF1AY	EIF1AY	turquoise
MLKL	MLKL	turquoise
ZMAT1	ZMAT1	turquoise
LOC728323///FBXO25	LOC728323///FBXO25	turquoise
GOT1	GOT1	turquoise
ZNF486	ZNF486	turquoise
CXCL5	CXCL5	turquoise
HSPA5	HSPA5	turquoise
N4BP2L1	N4BP2L1	turquoise
ZC3H6	ZC3H6	turquoise
GOLGA8R///GOLGA8O///GOLGA8N	GOLGA8R///GOLGA8O///GOLGA8N	turquoise
GSAP	GSAP	turquoise
LOC102724093///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	LOC102724093///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	turquoise
SEC24D	SEC24D	turquoise
CD33	CD33	turquoise
CEP68	CEP68	turquoise
PRAF2	PRAF2	turquoise
MTERF2	MTERF2	turquoise
ORM1	ORM1	turquoise
ALDH18A1	ALDH18A1	turquoise
GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	turquoise
HMGA1	HMGA1	turquoise
C1S	C1S	turquoise
CTNS	CTNS	turquoise
HSD17B7P2///HSD17B7	HSD17B7P2///HSD17B7	turquoise
CLSTN3	CLSTN3	turquoise
ZBTB20	ZBTB20	turquoise
IMPDH2	IMPDH2	turquoise
NET1	NET1	turquoise
SLC46A1	SLC46A1	turquoise
POLD2	POLD2	turquoise
ENO1	ENO1	turquoise
SNORA71C	SNORA71C	turquoise
CYP51A1	CYP51A1	turquoise
GTF3A	GTF3A	turquoise
SLC39A7	SLC39A7	turquoise
SNORD36A///SNORD36C///RPL7A	SNORD36A///SNORD36C///RPL7A	turquoise
IL1R1	IL1R1	turquoise
C1RL	C1RL	turquoise
ADH1B	ADH1B	turquoise
C1QBP	C1QBP	turquoise
TSTA3	TSTA3	turquoise
PLCL1	PLCL1	turquoise
ZNF83	ZNF83	turquoise
DHCR24	DHCR24	turquoise
ANK3	ANK3	turquoise
SLC38A5	SLC38A5	turquoise
VARS	VARS	turquoise
MLEC	MLEC	turquoise
GOLGA8R///GOLGA8O///GOLGA8N///GOLGA8IP	GOLGA8R///GOLGA8O///GOLGA8N///GOLGA8IP	turquoise
LRP8	LRP8	turquoise
AHSA2	AHSA2	turquoise
HMGCR	HMGCR	turquoise
DDX3Y	DDX3Y	turquoise
GALE	GALE	turquoise
MRPL24	MRPL24	turquoise
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	turquoise
ALDOC	ALDOC	turquoise
ABCA5	ABCA5	turquoise
PPIB	PPIB	turquoise
PCGF3	PCGF3	turquoise
DDX39A	DDX39A	turquoise
MANF	MANF	turquoise
TTLL4	TTLL4	turquoise
NOC2L	NOC2L	turquoise
NAT10	NAT10	turquoise
TMEM208	TMEM208	turquoise
STARD4	STARD4	turquoise
PLOD1	PLOD1	turquoise
DIXDC1	DIXDC1	turquoise
LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	turquoise
CNDP2	CNDP2	turquoise
ARMC6	ARMC6	turquoise
MVD	MVD	turquoise
