nodeName	altName	nodeAttr[nodesPresent, ]
IDO1	IDO1	violet
CXCL10	CXCL10	violet
TARP	TARP	violet
ITGAL	ITGAL	violet
OAS1	OAS1	violet
FPR3	FPR3	violet
CCDC88C	CCDC88C	violet
GBP1P1///GBP3///GBP1	GBP1P1///GBP3///GBP1	violet
AOAH	AOAH	violet
MX1	MX1	violet
NCKAP1L	NCKAP1L	violet
SERPINB9	SERPINB9	violet
SH3BGRL2	SH3BGRL2	violet
VGLL3	VGLL3	violet
USP53	USP53	violet
CSF1R	CSF1R	violet
CECR1	CECR1	violet
EPSTI1	EPSTI1	violet
OAS3	OAS3	violet
RAC2	RAC2	violet
APOL1	APOL1	violet
GBP2	GBP2	violet
STAT1	STAT1	violet
ADCY7	ADCY7	violet
OAS2	OAS2	violet
TAP1	TAP1	violet
TAP2	TAP2	violet
IFIT3	IFIT3	violet
LAP3	LAP3	violet
ZDBF2	ZDBF2	violet
JAML	JAML	violet
DENND2D	DENND2D	violet
IRF8	IRF8	violet
DOCK8	DOCK8	violet
RASSF5	RASSF5	violet
PTPRC	PTPRC	violet
CD86	CD86	violet
LPXN	LPXN	violet
LSP1	LSP1	violet
PARP14	PARP14	violet
LAPTM5	LAPTM5	violet
FYB	FYB	violet
ARAP1	ARAP1	violet
RFX5	RFX5	violet
LOC100996732///LOC654342///LOC645166///LSP1	LOC100996732///LOC654342///LOC645166///LSP1	violet
LYZ	LYZ	violet
RASA3	RASA3	violet
WDFY4	WDFY4	violet
ARHGAP25	ARHGAP25	violet
PSMB10	PSMB10	violet
TRIM14	TRIM14	violet
CYFIP2	CYFIP2	violet
BTK	BTK	violet
WARS	WARS	violet
TLR7	TLR7	violet
PIK3CG	PIK3CG	violet
WIPF1	WIPF1	violet
CXCL11	CXCL11	violet
SLFN11	SLFN11	violet
CXorf21	CXorf21	violet
ARHGAP4	ARHGAP4	violet
SP110	SP110	violet
TARP///TRGC2	TARP///TRGC2	violet
PARVG	PARVG	violet
MB21D1	MB21D1	violet
CTSS	CTSS	violet
RAB29	RAB29	violet
RNF213	RNF213	violet
SLC8A1	SLC8A1	violet
APOL6	APOL6	violet
TRIM38	TRIM38	violet
TAPBP	TAPBP	violet
IQCJ-SCHIP1///SCHIP1	IQCJ-SCHIP1///SCHIP1	violet
SNX7	SNX7	violet
HAPLN3	HAPLN3	violet
ROCK2	ROCK2	violet
TAPBPL	TAPBPL	violet
PSD4	PSD4	violet
DSTN	DSTN	violet
TRAFD1	TRAFD1	violet
TMC6	TMC6	violet
MOV10	MOV10	violet
AP1G2	AP1G2	violet
BTN2A2	BTN2A2	violet
PAK1	PAK1	violet
MIR142	MIR142	violet
MYO18A///TIAF1	MYO18A///TIAF1	violet
GAB3	GAB3	violet
VOPP1	VOPP1	violet
APOL2	APOL2	violet
FAM78A	FAM78A	violet
RNASET2	RNASET2	violet
RNF166	RNF166	violet
SAMD8	SAMD8	violet
NUAK2	NUAK2	violet
CLIC4	CLIC4	violet
DGKZ	DGKZ	violet
FGD3	FGD3	violet
CORO7-PAM16///CORO7	CORO7-PAM16///CORO7	violet
ARHGEF1	ARHGEF1	violet
RCC2	RCC2	violet
MED12	MED12	violet
ZNF710	ZNF710	violet
ANGEL1	ANGEL1	violet
LTB	LTB	violet
ATG16L2	ATG16L2	violet
IL18BP	IL18BP	violet
IRF9	IRF9	violet
KLHDC4	KLHDC4	violet
DCAF7	DCAF7	violet
