nodeName	altName	nodeAttr[nodesPresent, ]
HAS2	HAS2	yellow
IL1RL1	IL1RL1	yellow
VCAM1	VCAM1	yellow
BTNL9	BTNL9	yellow
CA3	CA3	yellow
PKHD1L1	PKHD1L1	yellow
IL18R1///IL18R1	IL18R1///IL18R1	yellow
AOX1	AOX1	yellow
FAM107A	FAM107A	yellow
FIBIN	FIBIN	yellow
HIF3A	HIF3A	yellow
PRRX1	PRRX1	yellow
STEAP2	STEAP2	yellow
TGFB3	TGFB3	yellow
MMRN1	MMRN1	yellow
C1orf132///MIR29C	C1orf132///MIR29C	yellow
AFF3	AFF3	yellow
FGF7	FGF7	yellow
APOD	APOD	yellow
ST6GALNAC3	ST6GALNAC3	yellow
GALNT18	GALNT18	yellow
GALNT15	GALNT15	yellow
KCNMB4	KCNMB4	yellow
ANGPTL1	ANGPTL1	yellow
SCN7A	SCN7A	yellow
TMTC1	TMTC1	yellow
PIK3R3	PIK3R3	yellow
TGFBR3	TGFBR3	yellow
NEXN	NEXN	yellow
SRPX	SRPX	yellow
CCL15-CCL14///CCL15///CCL14	CCL15-CCL14///CCL15///CCL14	yellow
NID1	NID1	yellow
VLDLR	VLDLR	yellow
SERPINE2	SERPINE2	yellow
RGN	RGN	yellow
AASS	AASS	yellow
RIDA	RIDA	yellow
CD163L1	CD163L1	yellow
PDGFRA	PDGFRA	yellow
CD200	CD200	yellow
SLCO2A1	SLCO2A1	yellow
TFPI2	TFPI2	yellow
WISP2	WISP2	yellow
INMT-FAM188B///INMT	INMT-FAM188B///INMT	yellow
SRPX2	SRPX2	yellow
RPGR	RPGR	yellow
CD109	CD109	yellow
TMEM204	TMEM204	yellow
AQP3	AQP3	yellow
CA4	CA4	yellow
NUAK1	NUAK1	yellow
CCL23	CCL23	yellow
TIMP4	TIMP4	yellow
SEMA3A	SEMA3A	yellow
TBX5	TBX5	yellow
IFNGR1	IFNGR1	yellow
SPON1	SPON1	yellow
KIAA1549	KIAA1549	yellow
PIK3R1	PIK3R1	yellow
TMOD1	TMOD1	yellow
SDPR	SDPR	yellow
GRASP	GRASP	yellow
GPX3///GPX3	GPX3///GPX3	yellow
FZD4	FZD4	yellow
PIR-FIGF///PIR	PIR-FIGF///PIR	yellow
MPP3	MPP3	yellow
HCAR3	HCAR3	yellow
LAMA2	LAMA2	yellow
DGKG	DGKG	yellow
PLLP	PLLP	yellow
NDRG2	NDRG2	yellow
CLDN5	CLDN5	yellow
AFF2	AFF2	yellow
SLC9A3R2	SLC9A3R2	yellow
PQLC2L	PQLC2L	yellow
LAMB1	LAMB1	yellow
NDRG4	NDRG4	yellow
OPHN1	OPHN1	yellow
FGF7P3///FGF7P6///FGF7	FGF7P3///FGF7P6///FGF7	yellow
METTL7A	METTL7A	yellow
UGCG	UGCG	yellow
DSEL	DSEL	yellow
IGFBP4	IGFBP4	yellow
ITGA10	ITGA10	yellow
TFRC	TFRC	yellow
ARHGAP6	ARHGAP6	yellow
NKD1	NKD1	yellow
ADIPOR2	ADIPOR2	yellow
ANKS1A	ANKS1A	yellow
CYSLTR1	CYSLTR1	yellow
RPS6KA2	RPS6KA2	yellow
FLT1	FLT1	yellow
BAIAP2	BAIAP2	yellow
GHR	GHR	yellow
MFGE8	MFGE8	yellow
CTH	CTH	yellow
ATOH8	ATOH8	yellow
FNBP1L	FNBP1L	yellow
CACHD1	CACHD1	yellow
VCL	VCL	yellow
STARD13	STARD13	yellow
TMEM106C	TMEM106C	yellow
ENC1	ENC1	yellow
WASF3	WASF3	yellow
LMOD1	LMOD1	yellow
STARD8	STARD8	yellow
P2RY1	P2RY1	yellow
APCDD1	APCDD1	yellow
BNIP3	BNIP3	yellow
TAL1///TAL1	TAL1///TAL1	yellow
LRCH1	LRCH1	yellow
PPM1K	PPM1K	yellow
MAP3K6	MAP3K6	yellow
GPM6B	GPM6B	yellow
DOCK9	DOCK9	yellow
FAM105A	FAM105A	yellow
MKL2	MKL2	yellow
GLIPR2	GLIPR2	yellow
TINAGL1	TINAGL1	yellow
FYN	FYN	yellow
PLOD2	PLOD2	yellow
SORT1	SORT1	yellow
