	fromNode	toNode	weight	direction	fromAltName	toAltName
1	ITGA2	PTX3	0.0227882061660332	undirected	ITGA2	PTX3
2	ITGA2	MTHFD1L	0.035753736503276	undirected	ITGA2	MTHFD1L
3	ITGA2	CYP4B1	0.02124561104664	undirected	ITGA2	CYP4B1
4	ITGA2	SLC7A1	0.0237231856994716	undirected	ITGA2	SLC7A1
5	ITGA2	ADHFE1	0.0310959850452141	undirected	ITGA2	ADHFE1
6	ITGA2	SLC39A14	0.0216227816323265	undirected	ITGA2	SLC39A14
7	ITGA2	FAXDC2	0.039019391868496	undirected	ITGA2	FAXDC2
8	ITGA2	DDX21	0.0319083669393499	undirected	ITGA2	DDX21
9	ITGA2	KLHL24	0.0279378362740475	undirected	ITGA2	KLHL24
10	ITGA2	BZW2	0.0262959753300716	undirected	ITGA2	BZW2
11	ITGA2	NPNT	0.0205742780370202	undirected	ITGA2	NPNT
12	ITGA2	PUM3	0.0402025346547167	undirected	ITGA2	PUM3
13	ITGA2	HIF1A	0.0443608108406916	undirected	ITGA2	HIF1A
14	ITGA2	NOL6	0.0216138705239051	undirected	ITGA2	NOL6
15	ITGA2	SH3D19	0.0245886726059309	undirected	ITGA2	SH3D19
16	ITGA2	PNO1///PNO1	0.0290060038565952	undirected	ITGA2	PNO1///PNO1
17	ITGA2	PTPN2	0.0208696327943814	undirected	ITGA2	PTPN2
18	ITGA2	RRP12	0.0339407198925732	undirected	ITGA2	RRP12
19	ITGA2	THRA	0.0207543374268514	undirected	ITGA2	THRA
20	ITGA2	GNL3	0.0335663502370362	undirected	ITGA2	GNL3
21	ITGA2	UTP4	0.0207404226730003	undirected	ITGA2	UTP4
22	ITGA2	NOP2	0.0251017433542285	undirected	ITGA2	NOP2
23	ITGA2	PAK1IP1	0.0224372354443211	undirected	ITGA2	PAK1IP1
24	ITGA2	IPO4	0.0252514936986127	undirected	ITGA2	IPO4
25	ITGA2	NOLC1	0.0282285342838946	undirected	ITGA2	NOLC1
26	ITGA2	ARNTL2	0.0246109152874788	undirected	ITGA2	ARNTL2
27	ITGA2	ABCE1	0.0317937661332515	undirected	ITGA2	ABCE1
28	ITGA2	KLHDC2	0.0216301646466732	undirected	ITGA2	KLHDC2
29	ITGA2	MAK16	0.022233277814082	undirected	ITGA2	MAK16
30	ITGA2	NOP58	0.0213014041203524	undirected	ITGA2	NOP58
31	ITGA2	GNL2	0.0272556015167499	undirected	ITGA2	GNL2
32	ITGA2	BYSL	0.0345166787222139	undirected	ITGA2	BYSL
33	ITGA2	NOP16	0.0256168385245892	undirected	ITGA2	NOP16
34	ITGA2	URB1	0.023122720952132	undirected	ITGA2	URB1
35	ITGA2	RNASE4///ANG	0.0233257582821206	undirected	ITGA2	RNASE4///ANG
36	ITGA2	GPATCH4	0.0209346802098696	undirected	ITGA2	GPATCH4
37	ITGA2	WDR43	0.0262417669792583	undirected	ITGA2	WDR43
38	ITGA2	TSR1	0.0354196565415825	undirected	ITGA2	TSR1
39	ITGA2	CCT5	0.0218938804950208	undirected	ITGA2	CCT5
40	ITGA2	NAA15	0.0271486620396734	undirected	ITGA2	NAA15
41	ITGA2	GTPBP4	0.0335616552961392	undirected	ITGA2	GTPBP4
42	ITGA2	UTP20	0.0360663451032268	undirected	ITGA2	UTP20
43	ITGA2	HSPA9	0.0231963252693306	undirected	ITGA2	HSPA9
44	ITGA2	MRTO4	0.0286299069764398	undirected	ITGA2	MRTO4
45	ITGA2	WDR3	0.0221317442467256	undirected	ITGA2	WDR3
46	ITGA2	DKC1	0.0271407799320547	undirected	ITGA2	DKC1
47	ITGA2	CCT2	0.0260805215946943	undirected	ITGA2	CCT2
48	ITGA2	URB2	0.0223634350221606	undirected	ITGA2	URB2
49	ITGA2	XPO5	0.0223235735237519	undirected	ITGA2	XPO5
50	ITGA2	BTD	0.0200946151566452	undirected	ITGA2	BTD
51	ITGA2	HEATR1	0.0301653956504854	undirected	ITGA2	HEATR1
52	PTX3	PPP1R3C	0.0345328243221141	undirected	PTX3	PPP1R3C
