	fromNode	toNode	weight	direction	fromAltName	toAltName
1	TNFRSF12A	TRIM23	0.0250379569645659	undirected	TNFRSF12A	TRIM23
2	TNFRSF12A	MAPKAPK2	0.0385145775472965	undirected	TNFRSF12A	MAPKAPK2
3	TNFRSF12A	SEPSECS	0.0292175290063236	undirected	TNFRSF12A	SEPSECS
4	TNFRSF12A	ZNF292	0.0239253783208025	undirected	TNFRSF12A	ZNF292
5	TNFRSF12A	ERMARD	0.0207908289733448	undirected	TNFRSF12A	ERMARD
6	TNFRSF12A	ZNF280D	0.0314092940896635	undirected	TNFRSF12A	ZNF280D
7	TNFRSF12A	SNAPC3	0.0204210478880561	undirected	TNFRSF12A	SNAPC3
8	TNFRSF12A	C2CD5	0.050040179368667	undirected	TNFRSF12A	C2CD5
9	TNFRSF12A	SACM1L	0.0210808487014791	undirected	TNFRSF12A	SACM1L
10	TNFRSF12A	ZNF518A	0.0213499691604323	undirected	TNFRSF12A	ZNF518A
11	TNFRSF12A	STAT3	0.0230042632230384	undirected	TNFRSF12A	STAT3
12	TNFRSF12A	SH2B3	0.021989945711588	undirected	TNFRSF12A	SH2B3
13	TNFRSF12A	BIVM-ERCC5///ERCC5	0.0212979677946793	undirected	TNFRSF12A	BIVM-ERCC5///ERCC5
14	TNFRSF12A	AKAP10	0.0207982844462874	undirected	TNFRSF12A	AKAP10
15	IL4R	LYPLAL1	0.0239095733066609	undirected	IL4R	LYPLAL1
16	IL4R	TBC1D19	0.0246769371279894	undirected	IL4R	TBC1D19
17	IL4R	TNFRSF1A	0.0221728154825103	undirected	IL4R	TNFRSF1A
18	IL4R	FURIN	0.0207192025027043	undirected	IL4R	FURIN
19	IL4R	MAPKAPK2	0.0287505730380503	undirected	IL4R	MAPKAPK2
20	IL4R	RELA	0.0235750873478217	undirected	IL4R	RELA
21	IL4R	ANKRD26	0.0223141872218063	undirected	IL4R	ANKRD26
22	IL4R	COG6	0.0205922489547592	undirected	IL4R	COG6
23	IL4R	TTC8	0.0243885884500756	undirected	IL4R	TTC8
