	fromNode	toNode	weight	direction	fromAltName	toAltName
1	THY1	TM4SF18	0.0204601870471648	undirected	THY1	TM4SF18
2	THY1	COL6A6	0.0231719506303121	undirected	THY1	COL6A6
3	THY1	CCDC80	0.0539957327620934	undirected	THY1	CCDC80
4	THY1	SFRP4	0.0330111147826405	undirected	THY1	SFRP4
5	THY1	NREP	0.0314403732635249	undirected	THY1	NREP
6	THY1	FRAS1	0.028054672064513	undirected	THY1	FRAS1
7	THY1	LTBP2	0.0266180829549756	undirected	THY1	LTBP2
8	THY1	MXRA5	0.0509093821318903	undirected	THY1	MXRA5
9	THY1	CXCL12	0.0413079095415715	undirected	THY1	CXCL12
10	THY1	PIEZO2	0.0425589282481791	undirected	THY1	PIEZO2
11	THY1	CCL21	0.0430176656600108	undirected	THY1	CCL21
12	THY1	HMCN1	0.0235173956198794	undirected	THY1	HMCN1
13	THY1	H19///RPS12	0.0201025633487518	undirected	THY1	H19///RPS12
14	THY1	TSHZ2	0.0326012683517221	undirected	THY1	TSHZ2
15	THY1	COL14A1	0.0288689871559383	undirected	THY1	COL14A1
16	THY1	PDE7B	0.0271473941611568	undirected	THY1	PDE7B
17	THY1	GLT8D2	0.0268011892377924	undirected	THY1	GLT8D2
18	THY1	COL15A1	0.0247876353428952	undirected	THY1	COL15A1
19	THY1	PLPPR4	0.0345889398900777	undirected	THY1	PLPPR4
20	THY1	PAMR1	0.0232133792104983	undirected	THY1	PAMR1
21	THY1	ANGPTL2	0.0272440603807529	undirected	THY1	ANGPTL2
22	THY1	CFH	0.0245245512212084	undirected	THY1	CFH
23	THY1	ANTXR1	0.039595700968977	undirected	THY1	ANTXR1
24	THY1	MFAP2	0.0328225424780988	undirected	THY1	MFAP2
25	THY1	FRMD6	0.0324042754738383	undirected	THY1	FRMD6
26	THY1	SULF1	0.0276134905944844	undirected	THY1	SULF1
27	THY1	GXYLT2	0.0222855349817237	undirected	THY1	GXYLT2
28	THY1	ENAH	0.0297510774827765	undirected	THY1	ENAH
29	THY1	BICC1	0.0318113446483543	undirected	THY1	BICC1
30	THY1	FLRT2	0.0218883562543244	undirected	THY1	FLRT2
31	THY1	LUM	0.0302109038145535	undirected	THY1	LUM
32	THY1	CACNA1C	0.0202501434929126	undirected	THY1	CACNA1C
33	THY1	ROBO1	0.0266120025794253	undirected	THY1	ROBO1
34	THY1	ANK2	0.0260267037444016	undirected	THY1	ANK2
35	THY1	IGFBP7	0.0345443590287882	undirected	THY1	IGFBP7
36	THY1	LAMP5	0.0202599089565463	undirected	THY1	LAMP5
37	THY1	CPXM2	0.0200459932894766	undirected	THY1	CPXM2
38	THY1	PDGFRL	0.0214601428400376	undirected	THY1	PDGFRL
39	THY1	BNC2	0.0272009897635296	undirected	THY1	BNC2
40	THY1	FBLN2	0.0310240720335098	undirected	THY1	FBLN2
41	THY1	ADGRA2	0.0267819314844681	undirected	THY1	ADGRA2
42	THY1	SEPT8	0.0246542280570731	undirected	THY1	SEPT8
43	THY1	MGC24103	0.0241713203010717	undirected	THY1	MGC24103
44	THY1	RBFOX2	0.0208472313682555	undirected	THY1	RBFOX2
45	THY1	KCNE4	0.0348036958430238	undirected	THY1	KCNE4
46	THY1	FNDC1	0.0229100344642107	undirected	THY1	FNDC1
47	THY1	BOC	0.0229912102126063	undirected	THY1	BOC
48	THY1	MDK	0.0210108580760513	undirected	THY1	MDK
49	THY1	ABCA2	0.0208045819348055	undirected	THY1	ABCA2
50	THY1	CTHRC1	0.035640776434386	undirected	THY1	CTHRC1
51	THY1	CDH2	0.0283204850581125	undirected	THY1	CDH2
52	THY1	COL16A1	0.0332581975134379	undirected	THY1	COL16A1
53	ASPN	COL6A6	0.0295038043068454	undirected	ASPN	COL6A6
54	ASPN	ITGBL1	0.0377743898812499	undirected	ASPN	ITGBL1
55	ASPN	ROBO2	0.0422963953369664	undirected	ASPN	ROBO2
56	ASPN	SFRP4	0.0388429081978386	undirected	ASPN	SFRP4
57	ASPN	NREP	0.0253801134537067	undirected	ASPN	NREP
58	ASPN	FRAS1	0.0309756157408061	undirected	ASPN	FRAS1
59	ASPN	LTBP2	0.0221264622990331	undirected	ASPN	LTBP2
60	ASPN	DPT	0.0318844275252702	undirected	ASPN	DPT
61	ASPN	HMCN1	0.0335520025633144	undirected	ASPN	HMCN1
62	ASPN	TSHZ2	0.0206309052851944	undirected	ASPN	TSHZ2
63	ASPN	SEMA3D	0.0316453804664959	undirected	ASPN	SEMA3D
64	ASPN	PDE7B	0.0308026645529177	undirected	ASPN	PDE7B
65	ASPN	GLT8D2	0.0367504264799148	undirected	ASPN	GLT8D2
66	ASPN	LINC01140	0.0305945686593418	undirected	ASPN	LINC01140
