	fromNode	toNode	weight	direction	fromAltName	toAltName
1	CARMN///MIR145	CARMN///MIR143	0.0995179481363058	undirected	CARMN///MIR145	CARMN///MIR143
2	SNORD35A	MIF///MIF-AS1///MIF	0.0219571587030402	undirected	SNORD35A	MIF///MIF-AS1///MIF
3	SNORD35A	TMEM147	0.023239608523974	undirected	SNORD35A	TMEM147
4	SNORD35A	CYC1	0.0201567512983907	undirected	SNORD35A	CYC1
5	SNORD35A	UQCRFS1	0.0225514944690513	undirected	SNORD35A	UQCRFS1
6	HCST	GPX1	0.0233336572641259	undirected	HCST	GPX1
7	HCST	MIF///MIF-AS1///MIF	0.0367931014728999	undirected	HCST	MIF///MIF-AS1///MIF
8	HCST	TSPO	0.0291839210702645	undirected	HCST	TSPO
9	HCST	ATP6V0B	0.0307532349970982	undirected	HCST	ATP6V0B
10	HCST	TMEM147	0.0384919130075615	undirected	HCST	TMEM147
11	HCST	CST3	0.0202566603325202	undirected	HCST	CST3
12	HCST	CYC1	0.0250663952874145	undirected	HCST	CYC1
13	HCST	PSMB6	0.0323296822678389	undirected	HCST	PSMB6
14	HCST	COX8A	0.0338005703140712	undirected	HCST	COX8A
15	HCST	RNASEK-C17orf49///RNASEK	0.0316347370409944	undirected	HCST	RNASEK-C17orf49///RNASEK
16	HCST	SELM///SELM	0.0204548674873721	undirected	HCST	SELM///SELM
17	HCST	TMEM179B	0.0312609299651519	undirected	HCST	TMEM179B
18	HCST	NDUFB11	0.0282846589898972	undirected	HCST	NDUFB11
19	HCST	UQCRFS1	0.024854724326581	undirected	HCST	UQCRFS1
20	HCST	LAMTOR1	0.0349355726789719	undirected	HCST	LAMTOR1
21	HCST	UROS	0.0220022907287977	undirected	HCST	UROS
22	HCST	MSRB2	0.0216198164155346	undirected	HCST	MSRB2
23	HCST	ELOVL1	0.0270367966516565	undirected	HCST	ELOVL1
24	HCST	NDUFA3	0.0313824229745441	undirected	HCST	NDUFA3
25	HCST	COX6A1	0.027971282617619	undirected	HCST	COX6A1
26	HCST	TUFM	0.0287343191796131	undirected	HCST	TUFM
27	HCST	CHCHD2	0.0240726270398458	undirected	HCST	CHCHD2
28	HCST	SPCS1	0.0296207279756445	undirected	HCST	SPCS1
29	HCST	TSR3	0.0203777078553695	undirected	HCST	TSR3
30	HCST	SPDYE16///SPDYE2B///SPDYE6///SPDYE8P///SPDYE2///SPDYE3///SPDYE7P///SPDYE1	0.0205455533351323	undirected	HCST	SPDYE16///SPDYE2B///SPDYE6///SPDYE8P///SPDYE2///SPDYE3///SPDYE7P///SPDYE1
31	HCST	UQCRC1	0.0204832668426092	undirected	HCST	UQCRC1
32	HCST	CUTA	0.0230014903182535	undirected	HCST	CUTA
33	HCST	APH1A	0.0220900181223486	undirected	HCST	APH1A
34	HCST	SLC35C2	0.021979353701731	undirected	HCST	SLC35C2
35	HCST	GSDMD	0.0287600745511128	undirected	HCST	GSDMD
36	GPX1	MIF///MIF-AS1///MIF	0.0642494999396904	undirected	GPX1	MIF///MIF-AS1///MIF
37	GPX1	TSPO	0.0444769808792789	undirected	GPX1	TSPO
38	GPX1	CCND3	0.020165583851266	undirected	GPX1	CCND3
39	GPX1	ATP6V0B	0.0494271617844548	undirected	GPX1	ATP6V0B
40	GPX1	TMEM147	0.0642286775010208	undirected	GPX1	TMEM147
41	GPX1	CST3	0.0230016865108755	undirected	GPX1	CST3
42	GPX1	LMF2	0.0236439992258587	undirected	GPX1	LMF2
43	GPX1	CLPTM1L	0.0232984601319363	undirected	GPX1	CLPTM1L
44	GPX1	CYC1	0.0606190865877641	undirected	GPX1	CYC1
45	GPX1	MFSD10	0.0230985637026208	undirected	GPX1	MFSD10
