	fromNode	toNode	weight	direction	fromAltName	toAltName
1	DEFA1B///DEFA3///DEFA1	TUBB1	0.0229181645128414	undirected	DEFA1B///DEFA3///DEFA1	TUBB1
2	DEFA1B///DEFA3///DEFA1	RGS18	0.032025178728308	undirected	DEFA1B///DEFA3///DEFA1	RGS18
3	DEFA1B///DEFA3///DEFA1	ITGA2B	0.0250814020783215	undirected	DEFA1B///DEFA3///DEFA1	ITGA2B
4	DEFA1B///DEFA3///DEFA1	MMP8	0.0212827464261797	undirected	DEFA1B///DEFA3///DEFA1	MMP8
5	DEFA1B///DEFA3///DEFA1	RNASE3	0.0359192840009187	undirected	DEFA1B///DEFA3///DEFA1	RNASE3
6	DEFA1B///DEFA3///DEFA1	DEFA4	0.0543968789929753	undirected	DEFA1B///DEFA3///DEFA1	DEFA4
7	DEFA1B///DEFA3///DEFA1	BPI	0.0659236469091009	undirected	DEFA1B///DEFA3///DEFA1	BPI
8	DEFA1B///DEFA3///DEFA1	TMEM40	0.0200662975248873	undirected	DEFA1B///DEFA3///DEFA1	TMEM40
9	DEFA1B///DEFA3///DEFA1	OLFM4	0.0308935304679938	undirected	DEFA1B///DEFA3///DEFA1	OLFM4
10	DEFA1B///DEFA3///DEFA1	ALOX12	0.0204592301611619	undirected	DEFA1B///DEFA3///DEFA1	ALOX12
11	DEFA1B///DEFA3///DEFA1	CEACAM8	0.0566070967976253	undirected	DEFA1B///DEFA3///DEFA1	CEACAM8
12	HBB	HBA2///HBA1	0.174649604830279	undirected	HBB	HBA2///HBA1
13	HBB	HBD	0.0804011045577219	undirected	HBB	HBD
14	HBB	CA1	0.0345507126944062	undirected	HBB	CA1
15	HBA2///HBA1	HBD	0.0772152617230144	undirected	HBA2///HBA1	HBD
16	HBA2///HBA1	CA1	0.0306172646626342	undirected	HBA2///HBA1	CA1
17	PPBP	ITGB3	0.214065330027335	undirected	PPBP	ITGB3
18	PPBP	TUBB1	0.240371316282377	undirected	PPBP	TUBB1
19	PPBP	RAB27B	0.0287397270527219	undirected	PPBP	RAB27B
20	PPBP	CD226	0.119069848300032	undirected	PPBP	CD226
21	PPBP	PLEK	0.0298293072864844	undirected	PPBP	PLEK
22	PPBP	RGS18	0.124249431580198	undirected	PPBP	RGS18
23	PPBP	ITGA2B	0.259395983399258	undirected	PPBP	ITGA2B
24	PPBP	PF4	0.176109481787688	undirected	PPBP	PF4
25	PPBP	HBD	0.0697259325393529	undirected	PPBP	HBD
26	PPBP	SNCA	0.043792084176061	undirected	PPBP	SNCA
