	fromNode	toNode	weight	direction	fromAltName	toAltName
1	HLA-DRB1///HLA-DQB1	HLA-DQB1	0.225100014485778	undirected	HLA-DRB1///HLA-DQB1	HLA-DQB1
2	HLA-DRB1///HLA-DQB1	HLA-DRB5	0.179139404842229	undirected	HLA-DRB1///HLA-DQB1	HLA-DRB5
3	HLA-DRB1///HLA-DQB1	HLA-DQA1	0.107761941018183	undirected	HLA-DRB1///HLA-DQB1	HLA-DQA1
4	HLA-DRB1///HLA-DQB1	HLA-DQB2///HLA-DQB1	0.0494234080073302	undirected	HLA-DRB1///HLA-DQB1	HLA-DQB2///HLA-DQB1
5	HLA-DQB1	HLA-DRB5	0.0810445782001192	undirected	HLA-DQB1	HLA-DRB5
6	HLA-DQB1	HLA-DQA1	0.136077294994905	undirected	HLA-DQB1	HLA-DQA1
7	HLA-DQB1	HLA-DQB2///HLA-DQB1	0.0359089366985266	undirected	HLA-DQB1	HLA-DQB2///HLA-DQB1
8	RGS1	GZMK	0.0218751957986963	undirected	RGS1	GZMK
9	RGS1	CD69	0.0559217624688479	undirected	RGS1	CD69
10	RGS1	ITK	0.0448010578189967	undirected	RGS1	ITK
11	RGS1	PRDM1	0.0407034029518023	undirected	RGS1	PRDM1
12	RGS1	TNFSF8	0.0274331823682429	undirected	RGS1	TNFSF8
13	RGS1	CXCR4	0.0487045753868291	undirected	RGS1	CXCR4
14	RGS1	TRAT1	0.0296439453620214	undirected	RGS1	TRAT1
15	RGS1	GPR171	0.0348690895437082	undirected	RGS1	GPR171
16	RGS1	CD96	0.0231745560296655	undirected	RGS1	CD96
17	RGS1	IKZF3	0.0299909225984172	undirected	RGS1	IKZF3
18	RGS1	SYTL3	0.0328051233263267	undirected	RGS1	SYTL3
19	RGS1	RHOH	0.0288787191843861	undirected	RGS1	RHOH
20	RGS1	CTLA4	0.0356436768056493	undirected	RGS1	CTLA4
21	RGS1	CNOT6L	0.0272375389990976	undirected	RGS1	CNOT6L
22	CCL19	GBP5	0.0262664737137315	undirected	CCL19	GBP5
23	CCL19	SLAMF7	0.026760521288763	undirected	CCL19	SLAMF7
24	CCL19	GPR174	0.0374779039017437	undirected	CCL19	GPR174
25	CCL19	CXCL9	0.0234767798079269	undirected	CCL19	CXCL9
26	CCL19	CD3G	0.0409760775975516	undirected	CCL19	CD3G
27	CCL19	CD2	0.0268313692449087	undirected	CCL19	CD2
28	CCL19	TRAT1	0.0236059828808105	undirected	CCL19	TRAT1
29	CCL19	IKZF3	0.0241946237650493	undirected	CCL19	IKZF3
30	CCL19	IL2RG	0.0382297515847783	undirected	CCL19	IL2RG
31	CCL19	THEMIS	0.0239388150098455	undirected	CCL19	THEMIS
32	CCL19	SH2D1A	0.0230023927367775	undirected	CCL19	SH2D1A
33	CCL19	CD27	0.0268107308135457	undirected	CCL19	CD27
34	CCL19	CD3D	0.0269559031951825	undirected	CCL19	CD3D
35	CCL19	SIDT1	0.0250353564312359	undirected	CCL19	SIDT1
36	CCL19	UBD	0.022425005367486	undirected	CCL19	UBD
37	CCL19	ITGB7	0.0394242853110338	undirected	CCL19	ITGB7
38	CCL19	TRAF3IP3	0.0213067248382462	undirected	CCL19	TRAF3IP3
39	CCL19	MS4A1	0.0232529599015762	undirected	CCL19	MS4A1
40	CCL19	TAGAP	0.0226548745232602	undirected	CCL19	TAGAP
41	CCL19	CD5	0.0267904704024024	undirected	CCL19	CD5
42	CCL19	NLRC5	0.0200600397533012	undirected	CCL19	NLRC5
43	CCL19	SEPT1	0.0384887408198838	undirected	CCL19	SEPT1
44	CCL19	SEPT6	0.0368162941206216	undirected	CCL19	SEPT6
45	CCL19	APOBEC3G	0.0219892017175141	undirected	CCL19	APOBEC3G
46	CCL19	NUP210	0.044037792474561	undirected	CCL19	NUP210
47	CCL19	SP140	0.0402497672717521	undirected	CCL19	SP140
48	CCL19	RASAL3	0.0221581242374656	undirected	CCL19	RASAL3
49	CCL19	CCR7	0.0348565879095026	undirected	CCL19	CCR7
50	CCL19	TMEM156	0.025753228511557	undirected	CCL19	TMEM156
51	CCL19	FCMR	0.0236242595057031	undirected	CCL19	FCMR
52	CCL19	CD28	0.0321133177388002	undirected	CCL19	CD28
53	CCL19	LY9	0.0215509928204689	undirected	CCL19	LY9
54	CCL19	TNFRSF9	0.0201792991985416	undirected	CCL19	TNFRSF9
55	CCL19	SKAP1	0.0263007805504623	undirected	CCL19	SKAP1
56	CCL19	PVRIG	0.0238070376454821	undirected	CCL19	PVRIG
57	CCL19	FCRL3	0.0201523530148808	undirected	CCL19	FCRL3
58	GZMK	CD69	0.0286550609466651	undirected	GZMK	CD69
59	GZMK	CCL5	0.0912453543207893	undirected	GZMK	CCL5
