	fromNode	toNode	weight	direction	fromAltName	toAltName
1	S100A12	S100A9	0.14083129246687	undirected	S100A12	S100A9
2	S100A12	AQP9	0.10451956827429	undirected	S100A12	AQP9
3	S100A12	MGAM	0.110248138310641	undirected	S100A12	MGAM
4	S100A12	S100A8	0.115954766866717	undirected	S100A12	S100A8
5	S100A12	VNN2	0.0882680550463086	undirected	S100A12	VNN2
6	S100A12	CPA3	0.0211664359126762	undirected	S100A12	CPA3
7	S100A12	CXCR1	0.0990232010362717	undirected	S100A12	CXCR1
8	S100A12	MS4A2	0.0202817398324148	undirected	S100A12	MS4A2
9	S100A12	SELL	0.0639010706227316	undirected	S100A12	SELL
10	S100A12	CR1	0.0798465635123035	undirected	S100A12	CR1
11	S100A12	RNASE2	0.0570681763288313	undirected	S100A12	RNASE2
12	S100A12	CXCR2	0.0900149188482382	undirected	S100A12	CXCR2
13	S100A12	TPSB2///TPSD1///TPSAB1	0.0224523873399157	undirected	S100A12	TPSB2///TPSD1///TPSAB1
14	S100A12	PROK2	0.0660170606205271	undirected	S100A12	PROK2
15	S100A12	FPR1	0.080485239844632	undirected	S100A12	FPR1
16	S100A12	ITGAM	0.0520422649604953	undirected	S100A12	ITGAM
17	S100A12	MXD1	0.0625457323663423	undirected	S100A12	MXD1
18	S100A12	CSF3R	0.0728965546563236	undirected	S100A12	CSF3R
19	S100A12	FCN1	0.0217434350462337	undirected	S100A12	FCN1
20	S100A12	LILRB3	0.0738281645735644	undirected	S100A12	LILRB3
21	S100A12	TLR1	0.0581144168795276	undirected	S100A12	TLR1
22	S100A12	FZD7	0.0229018014056922	undirected	S100A12	FZD7
23	S100A12	CD300E	0.0224756125867107	undirected	S100A12	CD300E
24	S100A12	ADGRE2	0.049655362609115	undirected	S100A12	ADGRE2
25	S100A12	LILRB2	0.0545702326650483	undirected	S100A12	LILRB2
26	S100A12	MNDA	0.069809586650174	undirected	S100A12	MNDA
27	S100A12	LYN	0.0308879263755386	undirected	S100A12	LYN
28	S100A12	SIGLEC9	0.0552975035164216	undirected	S100A12	SIGLEC9
29	S100A12	PYGL	0.0919764698723116	undirected	S100A12	PYGL
30	S100A12	PLXNC1	0.0309832416111494	undirected	S100A12	PLXNC1
31	S100A12	NAIP	0.020158178178786	undirected	S100A12	NAIP
32	S100A12	GCA	0.065669117345323	undirected	S100A12	GCA
33	S100A12	MSRB1	0.0567460975942379	undirected	S100A12	MSRB1
