	fromNode	toNode	weight	direction	fromAltName	toAltName
1	PHEX	FAT3	0.0240411162317828	undirected	PHEX	FAT3
2	PHEX	SEMA6D	0.0216005799213056	undirected	PHEX	SEMA6D
3	PHEX	PREX2	0.0266242941931174	undirected	PHEX	PREX2
4	PHEX	UACA	0.0351860825427173	undirected	PHEX	UACA
5	PHEX	ABCA8	0.0236074933039049	undirected	PHEX	ABCA8
6	PHEX	PDE5A	0.0257964326306877	undirected	PHEX	PDE5A
7	PHEX	PCDH15	0.0229215622771176	undirected	PHEX	PCDH15
8	PHEX	PTPRD	0.0284186365337332	undirected	PHEX	PTPRD
9	PHEX	EDIL3	0.0252320551691917	undirected	PHEX	EDIL3
10	PHEX	PLCE1	0.0261239277897767	undirected	PHEX	PLCE1
11	PHEX	C1QTNF7	0.0275944375914685	undirected	PHEX	C1QTNF7
12	PHEX	PRKG1	0.0297577537767774	undirected	PHEX	PRKG1
13	PHEX	PLSCR4	0.0251610645138074	undirected	PHEX	PLSCR4
14	PHEX	GNAI1	0.024376547122064	undirected	PHEX	GNAI1
15	PHEX	GULP1	0.0204953604728703	undirected	PHEX	GULP1
16	PHEX	DST	0.0329573893579685	undirected	PHEX	DST
17	PHEX	MACF1	0.0239361459641338	undirected	PHEX	MACF1
18	PHEX	EXOC6B	0.02000128862969	undirected	PHEX	EXOC6B
19	PHEX	KIF13A	0.0254644764544133	undirected	PHEX	KIF13A
20	PHEX	NFIB	0.0200279139979106	undirected	PHEX	NFIB
21	PHEX	DOCK4	0.0251372813398021	undirected	PHEX	DOCK4
22	PHEX	BMPR1A	0.0258774071903081	undirected	PHEX	BMPR1A
23	PHEX	SPIN1	0.0210596354353457	undirected	PHEX	SPIN1
24	PHEX	PTK2	0.0200910984414115	undirected	PHEX	PTK2
25	ENPP2	ANGPT2	0.0508591697130749	undirected	ENPP2	ANGPT2
26	ENPP2	ZNF521	0.0272811367784752	undirected	ENPP2	ZNF521
27	ENPP2	TRPC6	0.0245475900417608	undirected	ENPP2	TRPC6
28	ENPP2	PLK2	0.0444116131504712	undirected	ENPP2	PLK2
29	ENPP2	ABCG2	0.0212208405019132	undirected	ENPP2	ABCG2
30	ENPP2	PLCB1	0.0221122738615895	undirected	ENPP2	PLCB1
31	ENPP2	NR5A2	0.0309881501536709	undirected	ENPP2	NR5A2
32	ENPP2	UACA	0.0207157620243652	undirected	ENPP2	UACA
33	ENPP2	ZFPM2	0.0213982184131631	undirected	ENPP2	ZFPM2
34	ENPP2	CXorf36	0.0217357563090013	undirected	ENPP2	CXorf36
35	ENPP2	RHOJ	0.0308137007145336	undirected	ENPP2	RHOJ
