	fromNode	toNode	weight	direction	fromAltName	toAltName
1	CHIAP2	ACOXL	0.0269141256445248	undirected	CHIAP2	ACOXL
2	CHIAP2	FGFR2	0.0273087488433705	undirected	CHIAP2	FGFR2
3	CHIAP2	FLJ16734	0.0214707212792417	undirected	CHIAP2	FLJ16734
4	CHIAP2	ADGRV1	0.0224122464440744	undirected	CHIAP2	ADGRV1
5	MS4A15	LIPH	0.0203656356118643	undirected	MS4A15	LIPH
6	MS4A15	RAD1	0.0272303789378445	undirected	MS4A15	RAD1
7	AGBL1	MALL	0.0258746770428963	undirected	AGBL1	MALL
8	AGBL1	SLC4A4	0.024923979623601	undirected	AGBL1	SLC4A4
9	AGBL1	ATP11A	0.0200202713449035	undirected	AGBL1	ATP11A
10	AGBL1	BTBD9	0.0245743917028675	undirected	AGBL1	BTBD9
11	CFTR	KCNJ15	0.0301437109609904	undirected	CFTR	KCNJ15
12	CFTR	ARHGEF38	0.0278670618495174	undirected	CFTR	ARHGEF38
13	CFTR	MTRR	0.023099279729667	undirected	CFTR	MTRR
14	CFTR	FAM118B	0.0216622786742574	undirected	CFTR	FAM118B
15	CRTAC1	ACOXL	0.0329032663267559	undirected	CRTAC1	ACOXL
16	CRTAC1	MALL	0.0259891802695382	undirected	CRTAC1	MALL
17	CRTAC1	ESYT3	0.022271183724246	undirected	CRTAC1	ESYT3
18	CRTAC1	FGFR2	0.0239936373668056	undirected	CRTAC1	FGFR2
19	CRTAC1	MFSD2A///MFSD2A	0.0429591810827578	undirected	CRTAC1	MFSD2A///MFSD2A
20	CRTAC1	TMEM163	0.0324934873866594	undirected	CRTAC1	TMEM163
21	CRTAC1	F11	0.0236993821717192	undirected	CRTAC1	F11
22	CRTAC1	TMPRSS2///LOC285847///FKBP5	0.0249101398470056	undirected	CRTAC1	TMPRSS2///LOC285847///FKBP5
23	CRTAC1	C16orf89	0.0464837584807865	undirected	CRTAC1	C16orf89
24	CRTAC1	P3H2	0.049011775556079	undirected	CRTAC1	P3H2
25	CRTAC1	TOX	0.0205045127793438	undirected	CRTAC1	TOX
26	CRTAC1	MET	0.0248520511712096	undirected	CRTAC1	MET
27	CRTAC1	SFTPD	0.0355267051826497	undirected	CRTAC1	SFTPD
28	CRTAC1	NAPSA	0.0246748160333369	undirected	CRTAC1	NAPSA
29	CRTAC1	ERBB4	0.0296584446530421	undirected	CRTAC1	ERBB4
30	CRTAC1	ADGRV1	0.0216253425015961	undirected	CRTAC1	ADGRV1
31	CRTAC1	CTSH	0.0306279685434901	undirected	CRTAC1	CTSH
32	CRTAC1	CDKL2	0.0230703731115871	undirected	CRTAC1	CDKL2
33	CRTAC1	RAP1GAP	0.0334250827432412	undirected	CRTAC1	RAP1GAP
34	CRTAC1	TMEM243	0.023423654847934	undirected	CRTAC1	TMEM243
35	CRTAC1	SNX30	0.0426048570587884	undirected	CRTAC1	SNX30
36	CRTAC1	LAMP3	0.0313874175284118	undirected	CRTAC1	LAMP3
37	CRTAC1	ROS1///LRIG3///SLC34A2///ROS1	0.0338732415112525	undirected	CRTAC1	ROS1///LRIG3///SLC34A2///ROS1
38	CRTAC1	KIAA1324L	0.0267152730536281	undirected	CRTAC1	KIAA1324L
39	CRTAC1	KANK1	0.0201944877468337	undirected	CRTAC1	KANK1
40	CRTAC1	NAPSB	0.0261898561168743	undirected	CRTAC1	NAPSB
41	CRTAC1	PTPN13	0.021695480293469	undirected	CRTAC1	PTPN13
42	CRTAC1	NECAB3	0.0221112539689951	undirected	CRTAC1	NECAB3
