	fromNode	toNode	weight	direction	fromAltName	toAltName
1	ESM1	BMP6///BMP6	0.0303577395742011	undirected	ESM1	BMP6///BMP6
2	RGS5	CBSL///CBS	0.0219101180169967	undirected	RGS5	CBSL///CBS
3	RGS5	MEGF9	0.0218655985721672	undirected	RGS5	MEGF9
4	RGS5	MLX	0.0247775813162608	undirected	RGS5	MLX
5	BMP6///BMP6	MFSD13A	0.0200949103164927	undirected	BMP6///BMP6	MFSD13A
6	AKR1C2	NQO1	0.0218759978838058	undirected	AKR1C2	NQO1
7	AKR1C2	AKR1C3	0.0460155610709908	undirected	AKR1C2	AKR1C3
8	AKR1C2	AKR1C1	0.0703842635907504	undirected	AKR1C2	AKR1C1
9	AKR1C2	RFTN1	0.0280522892047828	undirected	AKR1C2	RFTN1
10	AKR1C2	SLC25A24	0.0220902708628867	undirected	AKR1C2	SLC25A24
11	FASN	SHMT1	0.0210708303653373	undirected	FASN	SHMT1
12	FASN	LSS	0.0284933670292609	undirected	FASN	LSS
13	FASN	PRKCD	0.0242126387965527	undirected	FASN	PRKCD
14	FASN	PCYT2	0.0201412552209491	undirected	FASN	PCYT2
15	FASN	MLX	0.02318081309155	undirected	FASN	MLX
16	FASN	CPT2	0.0208627410795748	undirected	FASN	CPT2
17	FASN	AKAP1	0.021041810228941	undirected	FASN	AKAP1
18	FASN	SLC25A5	0.0200111608994989	undirected	FASN	SLC25A5
19	FASN	MCCC2	0.0218764924364901	undirected	FASN	MCCC2
20	FASN	ERGIC1	0.0204855571966938	undirected	FASN	ERGIC1
21	FASN	ACOX1	0.0227262671788176	undirected	FASN	ACOX1
22	SELP	SMOX	0.0254193915271695	undirected	SELP	SMOX
23	NQO1	AKR1C3	0.0201498384617983	undirected	NQO1	AKR1C3
24	NQO1	AKR1C1	0.021443005862687	undirected	NQO1	AKR1C1
25	NQO1	MGST1	0.0202040336690106	undirected	NQO1	MGST1
26	NQO1	ASPH	0.0207386610042308	undirected	NQO1	ASPH
27	AKR1C3	AKR1C1	0.0612836479249728	undirected	AKR1C3	AKR1C1
28	STC1	CREM	0.0307200455388218	undirected	STC1	CREM
29	AKR1C1	RFTN1	0.0267098821338034	undirected	AKR1C1	RFTN1
30	AKR1C1	SLC25A24	0.0232525890174993	undirected	AKR1C1	SLC25A24
31	AKR1C1	NOD1	0.0222929086758238	undirected	AKR1C1	NOD1
32	TMEM45B	CLDN12	0.0236672545130222	undirected	TMEM45B	CLDN12
33	PHLDB2	GJA1	0.0243794647170484	undirected	PHLDB2	GJA1
34	PHLDB2	GSTA4	0.0202664025758373	undirected	PHLDB2	GSTA4
35	PHLDB2	MTMR4	0.0221128260860602	undirected	PHLDB2	MTMR4
36	PHLDB2	CDK17	0.0227158873358592	undirected	PHLDB2	CDK17
37	PHLDB2	DPY19L1	0.0223255242166957	undirected	PHLDB2	DPY19L1
38	PHLDB2	CHD1	0.0202588522755186	undirected	PHLDB2	CHD1
39	PHLDB2	CREM	0.0241241407907523	undirected	PHLDB2	CREM
40	GJA1	CREM	0.0264624845126407	undirected	GJA1	CREM
41	GSTA4	MLX	0.0217297570832034	undirected	GSTA4	MLX
42	GSTA4	AKAP1	0.0243747263322792	undirected	GSTA4	AKAP1
43	GSTA4	MRPS25	0.02332720454508	undirected	GSTA4	MRPS25
44	GSTA4	HSD17B4	0.0229914770645937	undirected	GSTA4	HSD17B4
45	ACSM3	HSD17B4	0.0330897677259935	undirected	ACSM3	HSD17B4
46	CBSL///CBS	MGST1	0.0239682887529882	undirected	CBSL///CBS	MGST1
47	CBSL///CBS	PCYT2	0.0203517589108642	undirected	CBSL///CBS	PCYT2
48	CBSL///CBS	MEGF9	0.0223765608140847	undirected	CBSL///CBS	MEGF9
49	CBSL///CBS	MLX	0.0271049435795548	undirected	CBSL///CBS	MLX
50	CBSL///CBS	NT5C3B	0.0206126856867722	undirected	CBSL///CBS	NT5C3B
51	CBSL///CBS	PPFIA1	0.0221731806581763	undirected	CBSL///CBS	PPFIA1
52	PDE10A	CDK17	0.0203447152917732	undirected	PDE10A	CDK17
53	TST	MLX	0.0222919502611557	undirected	TST	MLX
54	RRAGD	HSD17B14	0.0248015424211024	undirected	RRAGD	HSD17B14
55	RRAGD	MFSD13A	0.0242206778339004	undirected	RRAGD	MFSD13A
56	RRAGD	TMEM251	0.0216365828619737	undirected	RRAGD	TMEM251
57	FAH	MGST1	0.0213765031190292	undirected	FAH	MGST1
58	MTMR4	FAM49A	0.0203614121589665	undirected	MTMR4	FAM49A
59	MTMR4	CREM	0.0201743569883177	undirected	MTMR4	CREM
60	LONRF2	RASEF	0.0221422934330598	undirected	LONRF2	RASEF
61	MGST1	SHMT1	0.0211066784627313	undirected	MGST1	SHMT1
62	MGST1	MLX	0.0230947133857182	undirected	MGST1	MLX
63	MGST1	ASPH	0.0315902028297526	undirected	MGST1	ASPH
64	SHMT1	MLX	0.0240653149739872	undirected	SHMT1	MLX
65	SHMT1	CPT2	0.0211206458085405	undirected	SHMT1	CPT2
66	SHMT1	HSD17B4	0.0254405772470679	undirected	SHMT1	HSD17B4
67	LSS	PCYT2	0.0256496940210923	undirected	LSS	PCYT2
68	LSS	MLX	0.0247470234153739	undirected	LSS	MLX
69	KNSTRN	RFTN1	0.0218872859877562	undirected	KNSTRN	RFTN1
70	RASEF	AHI1	0.0308779081905325	undirected	RASEF	AHI1
71	RFTN1	SLC25A24	0.0263695423557288	undirected	RFTN1	SLC25A24
72	RFTN1	NOD1	0.0367700772399162	undirected	RFTN1	NOD1
73	SNORD56B	CREM	0.0277863317560261	undirected	SNORD56B	CREM
74	PRKCD	CDK17	0.0218736648442491	undirected	PRKCD	CDK17
75	PRKCD	MLX	0.0224438267657066	undirected	PRKCD	MLX
76	PCYT2	MLX	0.027778173907733	undirected	PCYT2	MLX
77	CDK17	DPY19L1	0.021649781721711	undirected	CDK17	DPY19L1
78	CDK17	JMJD1C	0.022548948111138	undirected	CDK17	JMJD1C
79	CDK17	SKIL	0.0216449981929175	undirected	CDK17	SKIL
