	fromNode	toNode	weight	direction	fromAltName	toAltName
1	TNFSF10	LDB2	0.0391941392298025	undirected	TNFSF10	LDB2
2	TNFSF10	GJA5	0.0254951420407179	undirected	TNFSF10	GJA5
3	TNFSF10	GBP4	0.056637865169751	undirected	TNFSF10	GBP4
4	TNFSF10	DISP1	0.0414216934518068	undirected	TNFSF10	DISP1
5	TNFSF10	EFNB2	0.0473955994673699	undirected	TNFSF10	EFNB2
6	TNFSF10	DLL4	0.0225052093276045	undirected	TNFSF10	DLL4
7	TNFSF10	GNA14	0.0648929347928423	undirected	TNFSF10	GNA14
8	TNFSF10	ST8SIA6	0.0241551941755517	undirected	TNFSF10	ST8SIA6
9	TNFSF10	CALCRL	0.0548215526897046	undirected	TNFSF10	CALCRL
10	TNFSF10	JAM2	0.0255137188445152	undirected	TNFSF10	JAM2
11	TNFSF10	GPR146	0.0442486541892737	undirected	TNFSF10	GPR146
12	TNFSF10	RAMP2	0.0347384710202307	undirected	TNFSF10	RAMP2
13	TNFSF10	RAMP3	0.0367037714479362	undirected	TNFSF10	RAMP3
14	TNFSF10	GIMAP6	0.0214226211455476	undirected	TNFSF10	GIMAP6
15	TNFSF10	GIMAP7	0.0481927448087478	undirected	TNFSF10	GIMAP7
16	TNFSF10	TSPAN12	0.0325862547204175	undirected	TNFSF10	TSPAN12
17	TNFSF10	CYYR1	0.0218208895935034	undirected	TNFSF10	CYYR1
18	TNFSF10	ZNF608	0.0362142661685185	undirected	TNFSF10	ZNF608
19	TNFSF10	HOXA5	0.0209952724186861	undirected	TNFSF10	HOXA5
20	TNFSF10	KIAA1217	0.021653514080862	undirected	TNFSF10	KIAA1217
21	TNFSF10	MEIS1	0.021556907147129	undirected	TNFSF10	MEIS1
22	TNFSF10	RGS9	0.0229103195186143	undirected	TNFSF10	RGS9
23	TNFSF10	PCDH12	0.0295611728964305	undirected	TNFSF10	PCDH12
24	TNFSF10	GIMAP1-GIMAP5///GIMAP1	0.0254072242698383	undirected	TNFSF10	GIMAP1-GIMAP5///GIMAP1
25	TNFSF10	KIAA1462	0.0311325717060298	undirected	TNFSF10	KIAA1462
26	TNFSF10	BAALC	0.0383187042357774	undirected	TNFSF10	BAALC
27	TNFSF10	GIMAP4	0.0356573963819332	undirected	TNFSF10	GIMAP4
28	TNFSF10	NLGN4X	0.0391993392921546	undirected	TNFSF10	NLGN4X
29	TNFSF10	THSD1	0.0203161763975407	undirected	TNFSF10	THSD1
30	TNFSF10	TMEM140	0.0323576057236072	undirected	TNFSF10	TMEM140
31	TNFSF10	RALA	0.0250234788373235	undirected	TNFSF10	RALA
32	TNFSF10	PRPSAP1	0.0304722444236275	undirected	TNFSF10	PRPSAP1
33	TNFSF10	ARAP3	0.0258685145099168	undirected	TNFSF10	ARAP3
34	TNFSF10	ARHGEF15	0.027770780361157	undirected	TNFSF10	ARHGEF15
35	TNFSF10	EGFL7	0.0207894257777571	undirected	TNFSF10	EGFL7
36	TNFSF10	FLI1	0.038119337409235	undirected	TNFSF10	FLI1
37	TNFSF10	MFSD4A	0.0434561962916199	undirected	TNFSF10	MFSD4A
