	fromNode	toNode	weight	direction	fromAltName	toAltName
1	MT1M	SLCO4A1	0.0360343251465713	undirected	MT1M	SLCO4A1
2	MT1M	MT1X	0.168865387306072	undirected	MT1M	MT1X
3	MT1M	MT1A	0.146112902484397	undirected	MT1M	MT1A
4	MT1M	IL33	0.0226984954609354	undirected	MT1M	IL33
5	MT1M	MT1G	0.132478624826445	undirected	MT1M	MT1G
6	MT1M	MT1F	0.0827775176925658	undirected	MT1M	MT1F
7	MT1M	MT1E	0.167325827771427	undirected	MT1M	MT1E
8	MT1M	MT1P3	0.176002850092621	undirected	MT1M	MT1P3
9	MT1M	MT1JP	0.166725696585582	undirected	MT1M	MT1JP
10	MT1M	CRISPLD2	0.0551016216684089	undirected	MT1M	CRISPLD2
11	MT1M	NUTF2///MT1L	0.144638394306565	undirected	MT1M	NUTF2///MT1L
12	MT1M	MT1DP	0.16802384570805	undirected	MT1M	MT1DP
13	MT1M	SDR16C5	0.0371987066155902	undirected	MT1M	SDR16C5
14	MT1M	SLED1	0.0222597486735473	undirected	MT1M	SLED1
15	MT1M	F2RL3	0.0571976061562413	undirected	MT1M	F2RL3
16	MT1M	MT2A	0.133570126855776	undirected	MT1M	MT2A
17	MT1M	FAM150B	0.0457002031949008	undirected	MT1M	FAM150B
18	MT1M	LRRC8A	0.0450676370461283	undirected	MT1M	LRRC8A
19	MT1M	FSTL3	0.0422094089455681	undirected	MT1M	FSTL3
20	MT1M	FGD6	0.0715976872620795	undirected	MT1M	FGD6
21	MT1M	ACSL1	0.0279939188814856	undirected	MT1M	ACSL1
22	MT1M	ARHGAP26	0.0292271459248887	undirected	MT1M	ARHGAP26
23	MT1M	PRICKLE1	0.0469672407045755	undirected	MT1M	PRICKLE1
24	MT1M	RUNX1T1	0.0221359456355918	undirected	MT1M	RUNX1T1
25	MT1M	CNR1	0.0449532422598607	undirected	MT1M	CNR1
26	MT1M	SLC5A3	0.035589073822787	undirected	MT1M	SLC5A3
27	MT1M	CLMN	0.0341184368818174	undirected	MT1M	CLMN
28	MT1M	MRPS6///SLC5A3	0.0407715792915197	undirected	MT1M	MRPS6///SLC5A3
29	MT1M	NFKBIA	0.0322845983648447	undirected	MT1M	NFKBIA
30	MT1M	ITPRIP	0.0390410877824166	undirected	MT1M	ITPRIP
31	MT1M	SPTSSA	0.0350954311629504	undirected	MT1M	SPTSSA
32	MT1M	EVA1C	0.0500024839361777	undirected	MT1M	EVA1C
33	MT1M	LPAR6	0.0475668219896955	undirected	MT1M	LPAR6
34	MT1M	BCL2L1	0.025910169225485	undirected	MT1M	BCL2L1
35	MT1M	MAP3K1	0.0457715218639922	undirected	MT1M	MAP3K1
36	MT1M	C1QTNF1	0.0320260988793631	undirected	MT1M	C1QTNF1
37	MT1M	ST3GAL6	0.0216438682214078	undirected	MT1M	ST3GAL6
38	MT1M	MAP1LC3B	0.0327290473677796	undirected	MT1M	MAP1LC3B
39	MT1M	MAP1LC3B2///MAP1LC3B	0.0229327546722784	undirected	MT1M	MAP1LC3B2///MAP1LC3B
40	MT1M	MT1B	0.109179445074746	undirected	MT1M	MT1B
41	MT1M	ATP1A1	0.0484284402508481	undirected	MT1M	ATP1A1
42	MT1M	SAP30	0.0387748927386821	undirected	MT1M	SAP30
43	MT1M	ZEB2	0.0332449119435208	undirected	MT1M	ZEB2
44	MT1M	PHC2	0.068159718467713	undirected	MT1M	PHC2
45	MT1M	ID2	0.0291786152625175	undirected	MT1M	ID2
46	MT1M	STIM2	0.0342833422884876	undirected	MT1M	STIM2
47	MT1M	PPFIBP2	0.0416194337398305	undirected	MT1M	PPFIBP2
48	MT1M	BMP4	0.0330923597923806	undirected	MT1M	BMP4
49	MT1M	MT1H	0.0756060824665436	undirected	MT1M	MT1H
50	MT1M	ZNF624	0.0680337914453117	undirected	MT1M	ZNF624
51	MT1M	MT1HL1	0.113162217980735	undirected	MT1M	MT1HL1
52	MT1M	AKIRIN2	0.0219878645706142	undirected	MT1M	AKIRIN2
