	fromNode	toNode	weight	direction	fromAltName	toAltName
1	IDO1	CXCL10	0.0443630656583531	undirected	IDO1	CXCL10
2	IDO1	GBP1P1///GBP3///GBP1	0.0411917903111708	undirected	IDO1	GBP1P1///GBP3///GBP1
3	IDO1	STAT1	0.0223917082869184	undirected	IDO1	STAT1
4	IDO1	TAP1	0.0274335574294835	undirected	IDO1	TAP1
5	IDO1	TAP2	0.0202274509722552	undirected	IDO1	TAP2
6	IDO1	WARS	0.0360380127154182	undirected	IDO1	WARS
7	IDO1	CXCL11	0.0280412486749312	undirected	IDO1	CXCL11
8	IDO1	APOL6	0.0264793516514391	undirected	IDO1	APOL6
9	CXCL10	GBP1P1///GBP3///GBP1	0.0732087251113867	undirected	CXCL10	GBP1P1///GBP3///GBP1
10	CXCL10	APOL1	0.0211442728695959	undirected	CXCL10	APOL1
11	CXCL10	GBP2	0.0329530929113724	undirected	CXCL10	GBP2
12	CXCL10	STAT1	0.0485408910831944	undirected	CXCL10	STAT1
13	CXCL10	TAP1	0.0530750277533725	undirected	CXCL10	TAP1
14	CXCL10	TAP2	0.0418717834249519	undirected	CXCL10	TAP2
15	CXCL10	LAP3	0.0447222679854547	undirected	CXCL10	LAP3
16	CXCL10	PTPRC	0.0214811544298528	undirected	CXCL10	PTPRC
17	CXCL10	PARP14	0.028433861468755	undirected	CXCL10	PARP14
18	CXCL10	RFX5	0.024665697399722	undirected	CXCL10	RFX5
19	CXCL10	CXCL11	0.113337447910183	undirected	CXCL10	CXCL11
20	CXCL10	APOL6	0.0547494646430464	undirected	CXCL10	APOL6
21	CXCL10	HAPLN3	0.0276780484030339	undirected	CXCL10	HAPLN3
22	CXCL10	NUAK2	0.0226039837950613	undirected	CXCL10	NUAK2
23	TARP	ITGAL	0.0484402460832466	undirected	TARP	ITGAL
24	TARP	AOAH	0.0338064100382451	undirected	TARP	AOAH
25	TARP	NCKAP1L	0.0206767478617549	undirected	TARP	NCKAP1L
26	TARP	RAC2	0.0473913285556953	undirected	TARP	RAC2
27	TARP	DENND2D	0.0279947725651174	undirected	TARP	DENND2D
28	TARP	DOCK8	0.0200956132412556	undirected	TARP	DOCK8
29	TARP	PTPRC	0.0341026715464474	undirected	TARP	PTPRC
30	TARP	LSP1	0.0243888683725622	undirected	TARP	LSP1
31	TARP	FYB	0.0212708211906047	undirected	TARP	FYB
32	TARP	RFX5	0.0207447045200619	undirected	TARP	RFX5
33	TARP	CYFIP2	0.0333359713306568	undirected	TARP	CYFIP2
34	TARP	PIK3CG	0.0226041167678624	undirected	TARP	PIK3CG
35	TARP	WIPF1	0.023042599104995	undirected	TARP	WIPF1
36	TARP	TARP///TRGC2	0.0666323957668202	undirected	TARP	TARP///TRGC2
37	ITGAL	CCDC88C	0.0229583000641689	undirected	ITGAL	CCDC88C
38	ITGAL	AOAH	0.0720180233635352	undirected	ITGAL	AOAH
39	ITGAL	NCKAP1L	0.0535427229143028	undirected	ITGAL	NCKAP1L
40	ITGAL	SH3BGRL2	0.0234301881263146	undirected	ITGAL	SH3BGRL2
41	ITGAL	CSF1R	0.0308373690973136	undirected	ITGAL	CSF1R
42	ITGAL	CECR1	0.0328272098780821	undirected	ITGAL	CECR1
43	ITGAL	RAC2	0.0667667468871276	undirected	ITGAL	RAC2
44	ITGAL	STAT1	0.0320847446234557	undirected	ITGAL	STAT1
