	fromNode	toNode	weight	direction	fromAltName	toAltName
1	DMBT1	FAM20A	0.0339867746250423	undirected	DMBT1	FAM20A
2	DMBT1	SERPINA1	0.0266053502101355	undirected	DMBT1	SERPINA1
3	DMBT1	CXCL17	0.0291718639017586	undirected	DMBT1	CXCL17
4	DMBT1	RRBP1	0.0208368110317139	undirected	DMBT1	RRBP1
5	DMBT1	MKLN1	0.0219670415869866	undirected	DMBT1	MKLN1
6	DMBT1	PIAS1	0.020068604422444	undirected	DMBT1	PIAS1
7	DMBT1	MIGA1	0.0216345760626873	undirected	DMBT1	MIGA1
8	DMBT1	USP33	0.0201632138464165	undirected	DMBT1	USP33
9	DMBT1	FBXO8	0.0217530643679571	undirected	DMBT1	FBXO8
10	DMBT1	FBXL3	0.0222974100091406	undirected	DMBT1	FBXL3
11	CHI3L1	FAM20A	0.0310912872371543	undirected	CHI3L1	FAM20A
12	CHI3L1	SERPINA1	0.0356130655147765	undirected	CHI3L1	SERPINA1
13	CHI3L1	RRBP1	0.0248719644844084	undirected	CHI3L1	RRBP1
14	CHI3L1	FBXL3	0.022267094011341	undirected	CHI3L1	FBXL3
15	MIR30C2	FAM20A	0.0226658604667221	undirected	MIR30C2	FAM20A
16	MIR30C2	ANKRD20A21P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1	0.0200804823466677	undirected	MIR30C2	ANKRD20A21P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1
17	MIR30C2	RRBP1	0.0200066389062308	undirected	MIR30C2	RRBP1
18	MIR30C2	MKLN1	0.0331806833932872	undirected	MIR30C2	MKLN1
19	MIR30C2	MIGA1	0.0210842162239064	undirected	MIR30C2	MIGA1
20	MIR30C2	LYSMD4	0.0217824586057544	undirected	MIR30C2	LYSMD4
21	MIR30C2	USP33	0.0207773985012093	undirected	MIR30C2	USP33
22	MIR30C2	FBXL3	0.0252369863983928	undirected	MIR30C2	FBXL3
23	FAM20A	BBS10	0.0288807393725953	undirected	FAM20A	BBS10
24	FAM20A	PTP4A3	0.0432797179830782	undirected	FAM20A	PTP4A3
